planned_map_id,archetype,source_type,anchor_id,trace_id,generator_type,seed,builder,input_reference,output_directory,config_hash,enabled,skip_reason,generator_parameters,extracted_parameters,parameter_extractor,trace_support,window_size_m,variant_type,offset_m,network_type,batch_target
v2_osm_cambridge_haggle_exact_500m_0m_seed,dense_urban_irregular,osm,cambridge_haggle,,,3242687280,osm,osm_anchor:cambridge_haggle,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_cambridge_haggle_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Cambridge UK (Haggle)"",""center_lat"":52.205,""center_lon"":0.12,""crs"":""EPSG:27700"",""height_m"":500,""osm_network_type"":""all"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,all,100
v2_osm_dieselnet_amherst_exact_500m_0m_seed,bus_route_urban_suburban,osm,dieselnet_amherst,,,1963491001,osm,osm_anchor:dieselnet_amherst,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_dieselnet_amherst_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""DieselNet / PVTA Amherst"",""center_lat"":42.38,""center_lon"":-72.525,""crs"":""EPSG:32618"",""height_m"":500,""osm_network_type"":""drive"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,umass_diesel_20080914,500,exact,0,drive,100
v2_osm_helsinki_archipelago_exact_500m_0m_seed,island_or_partitioned,osm,helsinki_archipelago,,,587897237,osm,osm_anchor:helsinki_archipelago,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_helsinki_archipelago_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":true,""anchor_distance_m"":0.0,""anchor_label"":""Helsinki archipelago partitioned"",""center_lat"":60.16,""center_lon"":24.92,""crs"":""EPSG:3067"",""height_m"":500,""osm_network_type"":""all"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,all,100
v2_osm_helsinki_disrupted_exact_500m_0m_seed,industrial_disrupted,osm,helsinki_disrupted,,,2622850351,osm,osm_anchor:helsinki_disrupted,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_helsinki_disrupted_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Helsinki Kalasatama / Disrupted"",""center_lat"":60.188,""center_lon"":24.98,""crs"":""EPSG:3067"",""height_m"":500,""osm_network_type"":""all"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,all,100
v2_osm_helsinki_downtown_exact_500m_0m_seed,dense_urban_irregular,osm,helsinki_downtown,,,2970506046,osm,osm_anchor:helsinki_downtown,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_helsinki_downtown_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Helsinki Downtown"",""center_lat"":60.1715,""center_lon"":24.94,""crs"":""EPSG:3067"",""height_m"":500,""osm_network_type"":""drive"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,drive,100
v2_osm_kallio_community_exact_500m_0m_seed,compact_residential,osm,kallio_community,,,1630124615,osm,osm_anchor:kallio_community,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_kallio_community_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Kallio Community Compact"",""center_lat"":60.184,""center_lon"":24.9475,""crs"":""EPSG:3067"",""height_m"":500,""osm_network_type"":""all"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,all,100
v2_osm_kumpula_campus_exact_500m_0m_seed,campus_compact,osm,kumpula_campus,,,1739419360,osm,osm_anchor:kumpula_campus,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_kumpula_campus_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Kumpula Campus"",""center_lat"":60.207,""center_lon"":24.968,""crs"":""EPSG:3067"",""height_m"":500,""osm_network_type"":""all"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,all,100
v2_osm_lapland_rural_sparse_exact_500m_0m_seed,rural_roads,osm,lapland_rural_sparse,,,559656464,osm,osm_anchor:lapland_rural_sparse,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_lapland_rural_sparse_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Lapland rural roads"",""center_lat"":66.5,""center_lon"":25.73,""crs"":""EPSG:3067"",""height_m"":500,""osm_network_type"":""drive"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,drive,100
v2_osm_london_industrial_corridor_exact_500m_0m_seed,industrial_disrupted,osm,london_industrial_corridor,,,3296943461,osm,osm_anchor:london_industrial_corridor,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_london_industrial_corridor_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""London industrial corridor"",""center_lat"":51.515,""center_lon"":-0.015,""crs"":""EPSG:27700"",""height_m"":500,""osm_network_type"":""drive"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,drive,100
v2_osm_manhattan_midtown_exact_500m_0m_seed,urban_grid,osm,manhattan_midtown,,,4065951951,osm,osm_anchor:manhattan_midtown,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_manhattan_midtown_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""Manhattan Midtown"",""center_lat"":40.757,""center_lon"":-73.9805,""crs"":""EPSG:32618"",""height_m"":500,""osm_network_type"":""drive"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,,500,exact,0,drive,100
v2_osm_mit_campus_reality_exact_500m_0m_seed,campus_compact,osm,mit_campus_reality,,,334407003,osm,osm_anchor:mit_campus_reality,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_osm_mit_campus_reality_exact_500m_0m_seed,2150301fb651c754,True,,"{""_allow_partitioned"":false,""anchor_distance_m"":0.0,""anchor_label"":""MIT Campus (Reality Mining)"",""center_lat"":42.36,""center_lon"":-71.09,""crs"":""EPSG:32619"",""height_m"":500,""osm_network_type"":""all"",""variant_type"":""exact"",""width_m"":500,""window_size_m"":500.0}",,,dartmouth_wardriving_20060602,500,exact,0,all,100
