N,C_eps,D95,D50,delta_C_per_100,n_archetypes,n_cells,order
100,0.23118279569892472,44.143810748308674,1.2138718794711687,nan,14,26,batch_target_then_map_id
200,0.3424731182795699,44.143810748308674,0.9406170159497782,0.11129032258064515,14,26,batch_target_then_map_id
300,0.4096774193548387,44.143810748308674,0.7670496789071513,0.06720430107526881,14,26,batch_target_then_map_id
400,0.4596774193548387,44.143810748308674,0.6174022304478672,0.04999999999999999,14,26,batch_target_then_map_id
500,0.4736559139784946,44.143810748308674,0.5261088268758016,0.013978494623655913,14,26,batch_target_then_map_id
600,0.48333333333333334,44.143810748308674,0.4921771092971475,0.009677419354838734,14,26,batch_target_then_map_id
700,0.48978494623655916,44.143810748308674,0.4476927600849572,0.006451612903225823,14,26,batch_target_then_map_id
800,0.49408602150537634,44.143810748308674,0.40219138322325176,0.004301075268817178,14,26,batch_target_then_map_id
900,0.5381720430107527,21.37201827546964,0.04922213308414172,0.04408602150537638,14,26,batch_target_then_map_id
1000,0.5709677419354838,16.4147229653022,8.429369702178807e-08,0.03279569892473111,14,26,batch_target_then_map_id
1100,0.614516129032258,16.207200880387195,5.960464477539063e-08,0.043548387096774215,14,26,batch_target_then_map_id
1200,0.6650537634408602,15.124987502140332,4.2146848510894035e-08,0.05053763440860215,14,28,batch_target_then_map_id
1300,0.7419354838709677,7.090261067838261,2.1073424255447017e-08,0.07688172043010755,14,29,batch_target_then_map_id
1400,0.8231182795698925,3.6643518260568433,0.0,0.08118279569892473,14,29,batch_target_then_map_id
1500,0.8790322580645161,1.4050115256539055,0.0,0.05591397849462365,15,31,batch_target_then_map_id
1600,0.9145161290322581,0.7331193312850361,0.0,0.03548387096774197,15,31,batch_target_then_map_id
1700,0.9440860215053763,0.4819288687366008,0.0,0.029569892473118253,15,31,batch_target_then_map_id
1800,0.9747311827956989,1.3486991523486091e-06,0.0,0.030645161290322576,15,31,batch_target_then_map_id
1860,1.0,1.4600096599955427e-07,0.0,0.042114695340501794,15,31,batch_target_then_map_id
