N,eps,C_eps_q025,C_eps_median,C_eps_q975,D50_median,D90_median,D95_q025,D95_median,D95_q975,Dmax_median,delta_C_per_100_q025,delta_C_per_100_median,delta_C_per_100_q975,nov_median_median,nov_p95_median,n_archetypes_median,n_cells_median,R
100,0.3566224504801794,0.1553763440860215,0.1706989247311828,0.18576612903225806,1.2317976288160335,5.467718409411905,10.592403377588964,12.623911552599273,16.41602459246018,3703.887162162232,nan,nan,nan,nan,nan,15.0,31.0,100
200,0.3566224504801794,0.2617741935483871,0.2803763440860215,0.30028225806451614,0.864494828444469,3.0933097055603667,6.422425519810455,7.912782301019251,9.968435467107154,896.513020900828,0.0927016129032258,0.1096774193548387,0.12637096774193549,1.2852305025395616,15.744702375084536,15.0,31.0,100
300,0.3566224504801794,0.35181451612903225,0.3690860215053764,0.3911424731182796,0.6039789163371594,2.2446366136162235,4.092952141203728,5.18476485138843,7.053220773523918,657.2306603684171,0.0744489247311828,0.08951612903225808,0.10676075268817203,0.9139212035023587,10.275556080210986,15.0,31.0,100
400,0.3566224504801794,0.4268279569892473,0.4456989247311828,0.4629032258064516,0.4514522580063721,1.8361183180984848,3.0276372417421005,3.6306535162728215,4.651270028535109,657.2306126153295,0.060981182795698904,0.0741935483870968,0.08817204301075268,0.7684875351766886,7.479874626939953,15.0,31.0,100
500,0.3566224504801794,0.4945967741935484,0.5129032258064516,0.528010752688172,0.33493769076029756,1.589695569771863,2.460972862418161,2.9052527479321575,3.469254258363444,472.81383827414714,0.05614247311827957,0.06666666666666671,0.08200268817204301,0.6357113549408251,5.597846307372807,15.0,31.0,100
600,0.3566224504801794,0.5550940860215053,0.5696236559139785,0.5871236559139785,0.227499596560852,1.4082786611994416,1.9623257154413558,2.3182408925387845,2.822427126765844,257.78567691237157,0.048387096774193505,0.056451612903225874,0.06938172043010753,0.5292529166200577,4.6762598011800645,15.0,31.0,100
700,0.3566224504801794,0.6093682795698925,0.624731182795699,0.6400672043010753,0.14267071173658766,1.2532340649421458,1.76152226886447,1.9448786282845236,2.2280278462889846,62.86815409630114,0.04431451612903227,0.05483870967741932,0.06802419354838714,0.49328224970707624,3.5632374235355853,15.0,31.0,100
800,0.3566224504801794,0.6569354838709678,0.6731182795698925,0.6865591397849462,0.08518002677529139,1.148731139879185,1.5495316712170042,1.733934324244133,1.8579567208156285,33.65921961724792,0.03840053763440856,0.0478494623655914,0.055658602150537646,0.45817607858530884,2.996629461051837,15.0,31.0,100
900,0.3566224504801794,0.7013306451612903,0.7174731182795699,0.7326209677419354,0.029045830299976184,1.036956588364527,1.4178279580805566,1.530057258221093,1.712341358142824,33.48120456340472,0.035201612903225814,0.043548387096774215,0.052970430107526896,0.406826785206588,2.7582827131670804,15.0,31.0,100
1000,0.3566224504801794,0.7462365591397849,0.7580645161290323,0.7739650537634408,1.1920928955078125e-07,0.9105207812656537,1.235056156637317,1.376520094510965,1.5079139273555895,27.615525261081263,0.032513440860215,0.041397849462365584,0.051102150537634415,0.38800837862035104,2.5378218612122794,15.0,31.0,100
1100,0.3566224504801794,0.7838709677419354,0.7994623655913978,0.8131854838709678,8.429369702178807e-08,0.7378049003312002,1.1147408461824753,1.1943767100105627,1.322164862643134,21.399721602109942,0.03305107526881722,0.0400537634408602,0.0478763440860215,0.3876266263174825,2.7488000201106098,15.0,31.0,100
1200,0.3566224504801794,0.8230913978494624,0.8360215053763441,0.8473118279569892,5.960464477539063e-08,0.5900539234707458,0.9606345225772829,1.0685935255097145,1.1840638998651793,20.200557599747597,0.02846774193548388,0.036021505376344076,0.044905913978494645,0.340100309426432,2.600254409405779,15.0,31.0,100
1300,0.3566224504801794,0.8591397849462366,0.8693548387096774,0.8793145161290322,0.0,0.4737225101832415,0.7527582227073745,0.9013768861811271,1.0094306860735653,13.001655770137813,0.02741935483870966,0.03387096774193543,0.04060483870967742,0.3250818667687791,2.668347360624634,15.0,31.0,100
1400,0.3566224504801794,0.8892204301075268,0.8991935483870968,0.9091666666666667,0.0,0.36026517203163355,0.5829174448695442,0.6592756493839902,0.8247029713567238,9.512323144044837,0.023911290322580648,0.029569892473118253,0.03684139784946228,0.28118047415374936,2.5360558063136693,15.0,31.0,100
