map_id,batch_target,source_type,anchor_id,archetype,generator_type,world_size_x,world_size_y,world_area,bbox_width,bbox_height,useful_area,useful_area_ratio,n_nodes,n_edges,total_road_length_m,road_density,avg_edge_length_m,median_edge_length_m,avg_degree,max_degree,dead_end_ratio,intersection_ratio,n_components,largest_component_ratio,bridge_edges_count,bridge_edges_ratio,articulation_points_count,articulation_points_ratio,graph_diameter_approx,avg_shortest_path_approx,circuity_approx,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score,tree_like_score,supports_map_based,supports_route_movement_candidate,supports_cluster_overlay,supports_wdm_candidate,supports_bus_route_candidate,validation_status,feature_omissions,sampling_seed
v2_osm_cambridge_haggle_exact_500m_0m_0000,100,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,327.73,1.5729,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,3842183913
v2_osm_cambridge_haggle_exact_500m_0m_0085,200,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,397.57,1.4793,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,1452646764
v2_osm_cambridge_haggle_exact_500m_0m_0170,400,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,421.37,1.656,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,3688325592
v2_osm_cambridge_haggle_exact_500m_0m_0255,400,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,394.36,1.5864,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,1887323104
v2_osm_cambridge_haggle_exact_500m_0m_0340,400,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,356.8,1.6265,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,3586773153
v2_osm_cambridge_haggle_exact_500m_0m_0425,600,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,365.55,1.6435,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,728445685
v2_osm_cambridge_haggle_exact_500m_0m_0510,600,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,375.1,1.5171,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,1848189296
v2_osm_cambridge_haggle_exact_500m_0m_0595,800,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,377.61,1.649,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,1462692591
v2_osm_cambridge_haggle_exact_500m_0m_0680,800,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,407.34,1.5386,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,991762298
v2_osm_cambridge_haggle_exact_500m_0m_0765,1000,osm,cambridge_haggle,dense_urban_irregular,,558,550,306900.0,507.38,499.07,253216.19,0.8250771961855261,766,827,15397.7,0.002694688823721082,10.1035,6.1094,2.1593,5,0.1423,0.2768,1,1.0,304,0.367594,269,0.351175,1221.65,361.09,1.5026,4.9776,0.4436,1.3014,0.6374,0.0,0.9008,0.5283,yes,yes,partial,yes,no,PASS,,572833846
