map_id,validation_status,reason,source_type,archetype
v2_osm_lapland_rural_sparse_offset_n_1000m_1500m_0211,FAIL,generation_failed,osm,rural_roads
v2_osm_lapland_rural_sparse_offset_n_1000m_1500m_0551,FAIL,generation_failed,osm,rural_roads
v2_osm_manhattan_midtown_exact_500m_0m_0060,FAIL,generation_failed,osm,urban_grid
v2_osm_manhattan_midtown_exact_500m_0m_0145,FAIL,generation_failed,osm,urban_grid
v2_osm_manhattan_midtown_exact_500m_0m_0230,FAIL,generation_failed,osm,urban_grid
v2_osm_manhattan_midtown_exact_500m_0m_0315,FAIL,generation_failed,osm,urban_grid
v2_osm_manhattan_midtown_exact_500m_0m_0400,FAIL,generation_failed,osm,urban_grid
v2_osm_manhattan_midtown_exact_500m_0m_0485,FAIL,generation_failed,osm,urban_grid
v2_osm_manhattan_midtown_exact_500m_0m_0570,FAIL,generation_failed,osm,urban_grid
v2_osm_manhattan_midtown_exact_500m_0m_0655,FAIL,generation_failed,osm,urban_grid
v2_osm_manhattan_midtown_exact_500m_0m_0740,FAIL,generation_failed,osm,urban_grid
v2_osm_manhattan_midtown_exact_500m_0m_0825,FAIL,generation_failed,osm,urban_grid
v2_osm_manhattan_midtown_exact_500m_0m_seed,FAIL,generation_failed,osm,urban_grid
v2_osm_nuuksio_sparse_trails_exact_500m_0m_0045,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_exact_500m_0m_0130,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_exact_500m_0m_0215,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_exact_500m_0m_0300,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_exact_500m_0m_0385,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_exact_500m_0m_0470,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_exact_500m_0m_0555,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_exact_500m_0m_0640,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_exact_500m_0m_0725,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_exact_500m_0m_0810,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_exact_500m_0m_seed,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_offset_n_1000m_1000m_0266,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_offset_n_1000m_1000m_0606,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_offset_n_1000m_1500m_0011,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_offset_n_1000m_1500m_0351,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_offset_n_1000m_1500m_0691,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_offset_n_1000m_500m_0181,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_offset_n_1000m_500m_0521,FAIL,generation_failed,osm,sparse_trails
v2_osm_nuuksio_sparse_trails_offset_n_1000m_500m_0861,FAIL,generation_failed,osm,sparse_trails
v2_osm_tampere_suburban_exact_500m_0m_0050,FAIL,generation_failed,osm,suburban_low_density
v2_osm_tampere_suburban_exact_500m_0m_0135,FAIL,generation_failed,osm,suburban_low_density
v2_osm_tampere_suburban_exact_500m_0m_0220,FAIL,generation_failed,osm,suburban_low_density
v2_osm_tampere_suburban_exact_500m_0m_0305,FAIL,generation_failed,osm,suburban_low_density
v2_osm_tampere_suburban_exact_500m_0m_0390,FAIL,generation_failed,osm,suburban_low_density
v2_osm_tampere_suburban_exact_500m_0m_0475,FAIL,generation_failed,osm,suburban_low_density
v2_osm_tampere_suburban_exact_500m_0m_0560,FAIL,generation_failed,osm,suburban_low_density
