archetype,source_type,matrix_role,min_candidates,N_planned,N_OK,N_failed,survival_rate,under_min,zero_ok_when_allowed,FAIL_BUILD_SYNTHETIC_DEGENERATE,FAIL_BUILD_OSM,other_fail
bus_route_urban_suburban,osm,primary,8,106,106,0,1.0,False,False,0,0,0
bus_route_urban_suburban,synthetic,supporting,4,62,21,41,0.33871,False,False,41,0,0
bus_route_urban_suburban,trace_reference_synthetic,none,0,0,0,0,1.0,False,False,0,0,0
campus_compact,osm,primary,6,106,106,0,1.0,False,False,0,0,0
campus_compact,synthetic,supporting,4,62,43,19,0.693548,False,False,19,0,0
campus_compact,trace_reference_synthetic,supporting,2,34,34,0,1.0,False,False,0,0,0
clustered_communities,osm,optional,0,0,0,0,0.0,False,False,0,0,0
clustered_communities,synthetic,supporting,4,62,62,0,1.0,False,False,0,0,0
clustered_communities,trace_reference_synthetic,primary,6,100,100,0,1.0,False,False,0,0,0
compact_residential,osm,primary,4,53,53,0,1.0,False,False,0,0,0
compact_residential,synthetic,none,0,0,0,0,1.0,False,False,0,0,0
compact_residential,trace_reference_synthetic,none,0,0,0,0,1.0,False,False,0,0,0
conference_event_compact,osm,optional,0,0,0,0,0.0,False,False,0,0,0
conference_event_compact,synthetic,supporting,4,62,62,0,1.0,False,False,0,0,0
conference_event_compact,trace_reference_synthetic,primary,6,34,34,0,1.0,False,False,0,0,0
corridor_linear,osm,supporting,4,52,52,0,1.0,False,False,0,0,0
corridor_linear,synthetic,primary,6,62,51,11,0.822581,False,False,11,0,0
corridor_linear,trace_reference_synthetic,supporting,2,33,33,0,1.0,False,False,0,0,0
dense_urban_irregular,osm,primary,12,212,212,0,1.0,False,False,0,0,0
dense_urban_irregular,synthetic,supporting,4,61,61,0,1.0,False,False,0,0,0
dense_urban_irregular,trace_reference_synthetic,none,0,0,0,0,1.0,False,False,0,0,0
hub_and_spoke,osm,none,0,0,0,0,1.0,False,False,0,0,0
hub_and_spoke,synthetic,primary,8,61,61,0,1.0,False,False,0,0,0
hub_and_spoke,trace_reference_synthetic,none,0,0,0,0,1.0,False,False,0,0,0
industrial_disrupted,osm,primary,6,106,106,0,1.0,False,False,0,0,0
industrial_disrupted,synthetic,supporting,4,61,61,0,1.0,False,False,0,0,0
industrial_disrupted,trace_reference_synthetic,supporting,2,34,34,0,1.0,False,False,0,0,0
island_or_partitioned,osm,primary,4,53,53,0,1.0,False,False,0,0,0
island_or_partitioned,synthetic,supporting,4,61,61,0,1.0,False,False,0,0,0
island_or_partitioned,trace_reference_synthetic,supporting,2,34,34,0,1.0,False,False,0,0,0
radial_city,osm,none,0,0,0,0,1.0,False,False,0,0,0
radial_city,synthetic,primary,8,61,50,11,0.819672,False,False,11,0,0
radial_city,trace_reference_synthetic,none,0,0,0,0,1.0,False,False,0,0,0
rural_roads,osm,primary,4,53,51,2,0.962264,False,False,0,2,0
rural_roads,synthetic,supporting,4,61,60,1,0.983607,False,False,1,0,0
rural_roads,trace_reference_synthetic,supporting,2,34,34,0,1.0,False,False,0,0,0
sparse_trails,osm,primary,4,53,34,19,0.641509,False,False,0,19,0
sparse_trails,synthetic,supporting,4,61,61,0,1.0,False,False,0,0,0
sparse_trails,trace_reference_synthetic,none,0,0,0,0,1.0,False,False,0,0,0
suburban_low_density,osm,primary,4,52,32,20,0.615385,False,False,0,20,0
suburban_low_density,synthetic,none,0,0,0,0,1.0,False,False,0,0,0
suburban_low_density,trace_reference_synthetic,none,0,0,0,0,1.0,False,False,0,0,0
urban_grid,osm,primary,8,53,42,11,0.792453,False,False,0,11,0
urban_grid,synthetic,supporting,4,61,61,0,1.0,False,False,0,0,0
urban_grid,trace_reference_synthetic,none,0,0,0,0,1.0,False,False,0,0,0
