map_id,source_type,archetype,generator_type,trace_id,seed,error_notes,regeneration_attempts,n_nodes,n_edges,generator_params
v2_syn_bus_route_corridor_0000,synthetic,bus_route_urban_suburban,bus_route_corridor,,1124623667,too_few_edges (5 < 20),5,10,5,{}
v2_syn_bus_route_corridor_0026,synthetic,bus_route_urban_suburban,bus_route_corridor,,1492998532,too_few_edges (9 < 20),5,14,9,{}
v2_syn_bus_route_corridor_0052,synthetic,bus_route_urban_suburban,bus_route_corridor,,174651197,too_few_edges (9 < 20),5,18,9,{}
v2_syn_bus_route_corridor_0065,synthetic,bus_route_urban_suburban,bus_route_corridor,,627593489,too_few_edges (19 < 20),5,10,19,{}
v2_syn_bus_route_corridor_0078,synthetic,bus_route_urban_suburban,bus_route_corridor,,2718481774,too_few_edges (11 < 20),5,22,11,{}
v2_syn_bus_route_corridor_0091,synthetic,bus_route_urban_suburban,bus_route_corridor,,4087922294,too_few_nodes (16 < 20),5,14,22,{}
v2_syn_bus_route_corridor_0104,synthetic,bus_route_urban_suburban,bus_route_corridor,,3921638442,too_few_edges (17 < 20),5,26,17,{}
v2_syn_bus_route_corridor_0130,synthetic,bus_route_urban_suburban,bus_route_corridor,,2312945559,too_few_edges (6 < 20),5,10,6,{}
v2_syn_bus_route_corridor_0156,synthetic,bus_route_urban_suburban,bus_route_corridor,,808290527,too_few_edges (7 < 20),5,14,7,{}
v2_syn_bus_route_corridor_0182,synthetic,bus_route_urban_suburban,bus_route_corridor,,2328469987,too_few_edges (12 < 20),5,18,12,{}
v2_syn_bus_route_corridor_0195,synthetic,bus_route_urban_suburban,bus_route_corridor,,2504398458,too_few_edges (16 < 20),5,10,16,{}
v2_syn_bus_route_corridor_0208,synthetic,bus_route_urban_suburban,bus_route_corridor,,1543860560,too_few_edges (13 < 20),5,22,13,{}
v2_syn_bus_route_corridor_0234,synthetic,bus_route_urban_suburban,bus_route_corridor,,3307106753,too_few_edges (13 < 20),5,26,13,{}
v2_syn_bus_route_corridor_0260,synthetic,bus_route_urban_suburban,bus_route_corridor,,2878494428,too_few_edges (5 < 20),5,10,5,{}
v2_syn_bus_route_corridor_0286,synthetic,bus_route_urban_suburban,bus_route_corridor,,407209063,too_few_edges (9 < 20),5,14,9,{}
v2_syn_bus_route_corridor_0312,synthetic,bus_route_urban_suburban,bus_route_corridor,,1869129520,too_few_edges (9 < 20),5,18,9,{}
v2_syn_bus_route_corridor_0325,synthetic,bus_route_urban_suburban,bus_route_corridor,,1324314911,too_few_edges (17 < 20),5,10,17,{}
v2_syn_bus_route_corridor_0338,synthetic,bus_route_urban_suburban,bus_route_corridor,,312267586,too_few_edges (16 < 20),5,22,16,{}
v2_syn_bus_route_corridor_0351,synthetic,bus_route_urban_suburban,bus_route_corridor,,1967197498,too_few_nodes (16 < 20),5,14,22,{}
v2_syn_bus_route_corridor_0364,synthetic,bus_route_urban_suburban,bus_route_corridor,,2810418793,too_few_edges (17 < 20),5,26,17,{}
v2_syn_bus_route_corridor_0390,synthetic,bus_route_urban_suburban,bus_route_corridor,,2855542468,too_few_edges (5 < 20),5,10,5,{}
v2_syn_bus_route_corridor_0416,synthetic,bus_route_urban_suburban,bus_route_corridor,,3993131874,too_few_edges (10 < 20),5,14,10,{}
v2_syn_bus_route_corridor_0442,synthetic,bus_route_urban_suburban,bus_route_corridor,,496537676,too_few_edges (10 < 20),5,18,10,{}
v2_syn_bus_route_corridor_0455,synthetic,bus_route_urban_suburban,bus_route_corridor,,3163928068,too_few_edges (19 < 20),5,10,19,{}
v2_syn_bus_route_corridor_seed,synthetic,bus_route_urban_suburban,bus_route_corridor,,3173380190,too_few_edges (5 < 20),5,10,5,{}
v2_syn_campus_compact_0040,synthetic,campus_compact,campus_compact,,103434067,too_few_nodes (14 < 20),5,7,24,{}
v2_syn_campus_compact_0066,synthetic,campus_compact,campus_compact,,3929820159,too_few_nodes (16 < 20),5,9,30,{}
v2_syn_campus_compact_0092,synthetic,campus_compact,campus_compact,,285113977,too_few_nodes (18 < 20),5,11,51,{}
v2_syn_campus_compact_0170,synthetic,campus_compact,campus_compact,,888820039,too_few_nodes (14 < 20),5,7,26,{}
v2_syn_campus_compact_0196,synthetic,campus_compact,campus_compact,,1260767618,too_few_nodes (16 < 20),5,9,33,{}
v2_syn_campus_compact_0222,synthetic,campus_compact,campus_compact,,1494773648,too_few_nodes (18 < 20),5,11,35,{}
v2_syn_campus_compact_0300,synthetic,campus_compact,campus_compact,,3956706414,too_few_nodes (14 < 20),5,7,23,{}
v2_syn_campus_compact_0326,synthetic,campus_compact,campus_compact,,3041092404,too_few_nodes (16 < 20),5,9,39,{}
v2_syn_campus_compact_0352,synthetic,campus_compact,campus_compact,,1204254349,too_few_nodes (18 < 20),5,11,42,{}
v2_syn_campus_compact_0430,synthetic,campus_compact,campus_compact,,1596924577,too_few_nodes (14 < 20),5,7,25,{}
v2_syn_campus_compact_0456,synthetic,campus_compact,campus_compact,,3378091415,too_few_nodes (16 < 20),5,9,30,{}
v2_syn_campus_compact_seed,synthetic,campus_compact,campus_compact,,2184412655,too_few_nodes (14 < 20),5,7,25,{}
v2_syn_corridor_0030,synthetic,corridor_linear,corridor,,2825300319,too_few_edges (19 < 20),5,20,19,{}
v2_syn_corridor_0108,synthetic,corridor_linear,corridor,,874427375,too_few_edges (17 < 20),5,18,17,{}
v2_syn_corridor_0186,synthetic,corridor_linear,corridor,,2053570350,too_few_edges (19 < 20),5,20,19,{}
v2_syn_corridor_0264,synthetic,corridor_linear,corridor,,833702103,too_few_edges (17 < 20),5,18,17,{}
v2_syn_corridor_0342,synthetic,corridor_linear,corridor,,2321743821,too_few_edges (19 < 20),5,20,19,{}
v2_syn_corridor_0420,synthetic,corridor_linear,corridor,,27215989,too_few_edges (17 < 20),5,18,17,{}
v2_syn_corridor_seed,synthetic,corridor_linear,corridor,,757431376,too_few_edges (17 < 20),5,18,17,{}
v2_syn_radial_city_0036,synthetic,radial_city,radial_city,,1746703747,too_few_nodes (19 < 20),5,19,31,{}
v2_syn_radial_city_0114,synthetic,radial_city,radial_city,,3729184283,too_few_nodes (19 < 20),5,19,31,{}
v2_syn_radial_city_0192,synthetic,radial_city,radial_city,,352767093,too_few_nodes (19 < 20),5,19,31,{}
v2_syn_radial_city_0270,synthetic,radial_city,radial_city,,1214266819,too_few_nodes (19 < 20),5,19,31,{}
v2_syn_radial_city_0348,synthetic,radial_city,radial_city,,1221683760,too_few_nodes (19 < 20),5,19,31,{}
v2_syn_radial_city_0426,synthetic,radial_city,radial_city,,180437043,too_few_nodes (19 < 20),5,19,31,{}
v2_syn_radial_city_seed,synthetic,radial_city,radial_city,,178085579,too_few_nodes (19 < 20),5,19,31,{}
