trace_id,dataset_family,version,doi,trace_kind,local_status,direct_sms_v1_anchor,supports_archetype_rationale,generation_role,target_archetypes,target_osm_anchors,target_generators,parameter_extractor,enabled_for_generation,source_type,evidence,notes
haggle_one_cambridge_city_complete,uoi/haggle,2009-05-29,10.15783/C70011,The ONE StandardEventsReader,downloaded_and_validated,infocom_event_compact;infocom_2006_trace;haggle_contacts_only;cambridge_haggle,conference_event_compact;clustered_communities;campus_compact,parameterize_generator,clustered_communities;conference_event_compact,cambridge_haggle,clustered_communities;conference_event_compact,standard_events_contact_summary_v1,true,trace_reference_synthetic,inventory=downloaded_and_validated; policy=parameterize_generator,Validated StandardEventsReader; produces trace_reference_synthetic candidates.
cambridge_haggle_20090529,cambridge/haggle,2009-05-29,10.15783/C70011,CRAWDAD iMote Bluetooth archives (tar.gz),downloaded,cambridge_haggle;haggle_contacts_only;infocom_event_compact;infocom_2006_trace,dense_urban_irregular;conference_event_compact;clustered_communities;campus_compact,evidence_only,clustered_communities;conference_event_compact;dense_urban_irregular,cambridge_haggle,,metadata_only_v1,false,,inventory=downloaded; policy=evidence_only,Source CRAWDAD package for Haggle ONE conversion; not a separate generator input.
cambridge_haggle_20060915,cambridge/haggle,2006-09-15,10.15783/C70011,CRAWDAD iMote Bluetooth archives (tar.gz),downloaded,cambridge_haggle;haggle_contacts_only,dense_urban_irregular;conference_event_compact;clustered_communities,evidence_only,clustered_communities;conference_event_compact,cambridge_haggle,,metadata_only_v1,false,,inventory=downloaded; policy=evidence_only,Historical Haggle snapshot.
cambridge_haggle_20060131,cambridge/haggle,2006-01-31,10.15783/C70011,CRAWDAD iMote Bluetooth archives (tar.gz),downloaded,cambridge_haggle;haggle_contacts_only,dense_urban_irregular;conference_event_compact;clustered_communities,evidence_only,clustered_communities;conference_event_compact,cambridge_haggle,,metadata_only_v1,false,,inventory=downloaded; policy=evidence_only,Historical Haggle snapshot.
upmc_rollernet_20090202,upmc/rollernet,2009-02-02,10.15783/C7ZK53,CRAWDAD iMote Bluetooth contacts (tar.gz),downloaded,rollernet_trace,corridor_linear,parameterize_generator,corridor_linear,,corridor,rollernet_contacts_v1,true,trace_reference_synthetic,inventory=downloaded; policy=parameterize_generator,Parses contacts.dat from RollerNet iMote archive.
umass_diesel_20080914,umass/diesel,2008-09-14,10.15783/C7488P,CRAWDAD DieselNet bus DTN archives (tar.gz),downloaded,dieselnet_amherst,bus_route_urban_suburban,osm_anchor_support,bus_route_urban_suburban,dieselnet_amherst,bus_route_corridor,metadata_only_v1,true,osm,inventory=downloaded; policy=osm_anchor_support,Supports dieselnet_amherst OSM provenance; does not emit a separate map.
umass_diesel_20071202,umass/diesel,2007-12-02,10.15783/C7488P,CRAWDAD DieselNet bus DTN archives (tar.gz),downloaded,dieselnet_amherst,bus_route_urban_suburban,evidence_only,bus_route_urban_suburban,dieselnet_amherst,,metadata_only_v1,false,,inventory=downloaded; policy=evidence_only,Intermediate DieselNet release.
umass_diesel_20060117,umass/diesel,2006-01-17,10.15783/C7488P,CRAWDAD DieselNet bus DTN archives (tar.gz),downloaded,dieselnet_amherst,bus_route_urban_suburban,evidence_only,bus_route_urban_suburban,dieselnet_amherst,,metadata_only_v1,false,,inventory=downloaded; policy=evidence_only,Earliest local DieselNet package.
epfl_mobility_20090224,epfl/mobility,2009-02-24,10.15783/C7J010,CRAWDAD taxi GPS mobility (cabspottingdata.tar.gz),downloaded,sf_cabspotting_downtown,dense_urban_irregular;urban_grid,osm_anchor_support,dense_urban_irregular,sf_cabspotting_downtown,,metadata_only_v1,true,osm,inventory=downloaded; policy=osm_anchor_support,Cabspotting GPS justifies SF downtown OSM anchor.
oviedo_asturies_er_20160808,oviedo/asturies-er,2016-08-08,10.15783/C7302B,CRAWDAD emergency-related mobility + The ONE .one.gz contacts,downloaded,,rural_roads;corridor_linear,parameterize_generator,rural_roads;industrial_disrupted;island_or_partitioned,,sparse_rural;disrupted_grid;partitioned_bridge,standard_events_contact_summary_v1,true,trace_reference_synthetic,inventory=downloaded; policy=parameterize_generator,Uses precomputed The ONE .one.gz contacts at 50 m radio.
st_andrews_sassy_20110603,st_andrews/sassy,2011-06-03,10.15783/C7S59X,CRAWDAD social encounter CSV.gz,downloaded,haggle_contacts_only,clustered_communities;campus_compact,parameterize_generator,clustered_communities,,clustered_communities,sassy_encounters_v1,true,trace_reference_synthetic,inventory=downloaded; policy=parameterize_generator,Parses social encounter DSN CSV.gz.
st_andrews_locshare_20111012,st_andrews/locshare,2011-10-12,10.15783/C7WW2F,CRAWDAD privacy study encounters + sensors (tar.gz),downloaded,haggle_contacts_only,clustered_communities;campus_compact,parameterize_generator,campus_compact;clustered_communities,,campus_compact;clustered_communities,static_parameters_v1,true,trace_reference_synthetic,inventory=downloaded; policy=parameterize_generator,Privacy/encounter study; archives not fully parsed in this phase.
dartmouth_wardriving_20060602,dartmouth/wardriving,2006-06-02,10.15783/C7TG66,CRAWDAD WiFi wardrive/warwalk + AP locations,downloaded,,campus_compact;suburban_low_density,osm_anchor_support,campus_compact;suburban_low_density,mit_campus_reality,,metadata_only_v1,true,osm,inventory=downloaded; policy=osm_anchor_support,AP lat/lon present; uses mit_campus_reality as campus-family OSM support proxy (no Dartmouth OSM anchor in baseline 15).
