trace_id,dataset_family,source_dataset,source_version,format,nodes,contacts,duration_seconds,source_repository,doi,local_status,used_in_sms_v1,archetypes,anchor_ids,redistribution
cambridge_haggle_20060131,cambridge/haggle,cambridge/haggle,2006-01-31,CRAWDAD iMote Bluetooth archives (tar.gz),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C70011,downloaded,true,dense_urban_irregular;conference_event_compact;clustered_communities,cambridge_haggle;haggle_contacts_only,do_not_redistribute_raw_trace
cambridge_haggle_20060915,cambridge/haggle,cambridge/haggle,2006-09-15,CRAWDAD iMote Bluetooth archives (tar.gz),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C70011,downloaded,true,dense_urban_irregular;conference_event_compact;clustered_communities,cambridge_haggle;haggle_contacts_only,do_not_redistribute_raw_trace
cambridge_haggle_20090529,cambridge/haggle,cambridge/haggle,2009-05-29,CRAWDAD iMote Bluetooth archives (tar.gz),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C70011,downloaded,true,dense_urban_irregular;conference_event_compact;clustered_communities;campus_compact,cambridge_haggle;haggle_contacts_only;infocom_event_compact;infocom_2006_trace,do_not_redistribute_raw_trace
coppe_ufrj_riobuses_20180319,coppe-ufrj/RioBuses,coppe-ufrj/RioBuses,2018-03-19,CRAWDAD Rio bus GPS mobility (zip/txt),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7B64B,downloaded,false,bus_route_urban_suburban,,do_not_redistribute_raw_trace
dartmouth_wardriving_20060602,dartmouth/wardriving,dartmouth/wardriving,2006-06-02,CRAWDAD WiFi wardrive/warwalk + AP locations,0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7TG66,downloaded,false,campus_compact;suburban_low_density,,do_not_redistribute_raw_trace
epfl_mobility_20090224,epfl/mobility,epfl/mobility,2009-02-24,CRAWDAD taxi GPS mobility (cabspottingdata.tar.gz),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7J010,downloaded,true,dense_urban_irregular;urban_grid,sf_cabspotting_downtown,do_not_redistribute_raw_trace
haggle_one_cambridge_city_complete,uoi/haggle,cambridge/haggle/imote/content,2009-05-29,The ONE StandardEventsReader,52,10873,987529,CRAWDAD / IEEE DataPort,10.15783/C70011,downloaded_and_validated,true,conference_event_compact;clustered_communities;campus_compact,infocom_event_compact;infocom_2006_trace;haggle_contacts_only;cambridge_haggle,do_not_redistribute_raw_trace
microsoft_vanlan_20070914,microsoft/vanlan,microsoft/vanlan,2007-09-14,CRAWDAD vehicular WiFi basestation connectivity,0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7FG6S,downloaded,false,corridor_linear;urban_grid,,do_not_redistribute_raw_trace
oviedo_asturies_er_20160808,oviedo/asturies-er,oviedo/asturies-er,2016-08-08,CRAWDAD emergency-related mobility + The ONE .one.gz contacts,0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7302B,downloaded,false,rural_roads;corridor_linear,,do_not_redistribute_raw_trace
roma_taxi_20140717,roma/taxi,roma/taxi,2014-07-17,CRAWDAD taxi GPS trajectories (tar.gz/txt),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7QC7M,downloaded,false,dense_urban_irregular;urban_grid,,do_not_redistribute_raw_trace
st_andrews_locshare_20111012,st_andrews/locshare,st_andrews/locshare,2011-10-12,CRAWDAD privacy study encounters + sensors (tar.gz),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7WW2F,downloaded,true,clustered_communities;campus_compact,haggle_contacts_only,do_not_redistribute_raw_trace
st_andrews_sassy_20110603,st_andrews/sassy,st_andrews/sassy,2011-06-03,CRAWDAD social encounter CSV.gz,0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7S59X,downloaded,true,clustered_communities;campus_compact,haggle_contacts_only,do_not_redistribute_raw_trace
umass_diesel_20060117,umass/diesel,umass/diesel,2006-01-17,CRAWDAD DieselNet bus DTN archives (tar.gz),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7488P,downloaded,true,bus_route_urban_suburban,dieselnet_amherst,do_not_redistribute_raw_trace
umass_diesel_20071202,umass/diesel,umass/diesel,2007-12-02,CRAWDAD DieselNet bus DTN archives (tar.gz),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7488P,downloaded,true,bus_route_urban_suburban,dieselnet_amherst,do_not_redistribute_raw_trace
umass_diesel_20080914,umass/diesel,umass/diesel,2008-09-14,CRAWDAD DieselNet bus DTN archives (tar.gz),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7488P,downloaded,true,bus_route_urban_suburban,dieselnet_amherst,do_not_redistribute_raw_trace
upmc_rollernet_20090202,upmc/rollernet,upmc/rollernet/imote,2009-02-02,CRAWDAD iMote Bluetooth contacts (tar.gz),0,0,0,CRAWDAD / IEEE DataPort,10.15783/C7ZK53,downloaded,true,corridor_linear,rollernet_trace,do_not_redistribute_raw_trace
