map_profile_id,dataset,description
MAP01,HelsinkiMedium,Full WDM stack; worldSize = roads bbox + margin
MAP02,HelsinkiMedium,Cropped world to roads bbox (urban benchmark)
MAP03,Manhattan,Manhattan WKT; medium density grid
MAP04,Manhattan,Cropped Manhattan core
MAP05,Synthetic_campus,Single building cluster; no external WKT dependency
MAP06,Synthetic_rural,Three-cluster RWP; large sparse world
MAP07,HelsinkiMedium,Bus-only mobility overlay
MAP08,HelsinkiMedium,Disaster shelters + erratic subset
MAP09,HelsinkiMedium,Partition / mule bridge layout
MAP10,HelsinkiMedium,Stress: tiny buffer + storm traffic only
