scenario,time_bin_end,cells_new_in_bin,cumulative_unique_cells,coverage_pct
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,300.0,88,88,3.52
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,600.0,20,108,4.32
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,900.0,53,161,6.44
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,1200.0,30,191,7.64
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,1500.0,23,214,8.56
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,1800.0,35,249,9.96
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,2100.0,37,286,11.44
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,2400.0,26,312,12.48
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,2700.0,10,322,12.88
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,3000.0,13,335,13.4
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,3300.0,10,345,13.8
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,3600.0,5,350,14.0
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,3900.0,10,360,14.4
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,4200.0,6,366,14.64
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,4500.0,3,369,14.76
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,4800.0,3,372,14.88
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,5100.0,6,378,15.12
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,5400.0,3,381,15.24
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,5700.0,3,384,15.36
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,6000.0,2,386,15.44
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,6300.0,2,388,15.52
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,6600.0,6,394,15.76
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,6900.0,2,396,15.84
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,7200.0,0,396,15.84
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,7500.0,1,397,15.88
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,7800.0,2,399,15.96
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,8100.0,3,402,16.08
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,8400.0,2,404,16.16
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,8700.0,2,406,16.24
