scenario,family,scenario_base,traffic_profile_id,Scenario.endTime,map_dataset,final_coverage_pct,cells_visited_pct,time_to_50pct,time_to_80pct,time_to_90pct,grid_size,world_x,world_y,coverage_map_bbox_pct,cells_outside_map_bbox_pct,cells_in_map_bbox,cells_visited_in_map_bbox
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP01,43200,HelsinkiMedium,22.04,22.04,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP02_LowLoad,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP02,43200,HelsinkiMedium,20.84,20.84,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP03_ManySmall,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP03,43200,HelsinkiMedium,21.76,21.76,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP04_FewLarge,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP04,43200,HelsinkiMedium,22.48,22.48,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP05,43200,HelsinkiMedium,22.04,22.04,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP06_OneToMany,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP06,43200,HelsinkiMedium,22.2,22.2,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP07_BurstWindow,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP07,43200,HelsinkiMedium,21.0,21.0,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP08_HubTarget,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP08,43200,HelsinkiMedium,22.2,22.2,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP09_Bimodal,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP09,43200,HelsinkiMedium,22.04,22.04,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP10_Storm,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP10,43200,HelsinkiMedium,22.16,22.16,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP11_ManyToOne,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP11,43200,HelsinkiMedium,22.2,22.2,,,,50,2093,1838,,,,
U1_CBD_Commuting_HelsinkiDowntown__TP12_GroupToGroup,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP12,43200,HelsinkiMedium,20.84,20.84,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP01_Baseline,01_urban,U2_SparseUrban_HelsinkiDowntown,TP01,43200,HelsinkiMedium,14.88,14.88,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP02_LowLoad,01_urban,U2_SparseUrban_HelsinkiDowntown,TP02,43200,HelsinkiMedium,14.88,14.88,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP03_ManySmall,01_urban,U2_SparseUrban_HelsinkiDowntown,TP03,43200,HelsinkiMedium,13.6,13.6,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP04_FewLarge,01_urban,U2_SparseUrban_HelsinkiDowntown,TP04,43200,HelsinkiMedium,14.88,14.88,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U2_SparseUrban_HelsinkiDowntown,TP05,43200,HelsinkiMedium,14.88,14.88,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP06_OneToMany,01_urban,U2_SparseUrban_HelsinkiDowntown,TP06,43200,HelsinkiMedium,14.88,14.88,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP07_BurstWindow,01_urban,U2_SparseUrban_HelsinkiDowntown,TP07,43200,HelsinkiMedium,14.4,14.4,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP08_HubTarget,01_urban,U2_SparseUrban_HelsinkiDowntown,TP08,43200,HelsinkiMedium,14.88,14.88,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP09_Bimodal,01_urban,U2_SparseUrban_HelsinkiDowntown,TP09,43200,HelsinkiMedium,14.88,14.88,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP10_Storm,01_urban,U2_SparseUrban_HelsinkiDowntown,TP10,43200,HelsinkiMedium,13.96,13.96,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP11_ManyToOne,01_urban,U2_SparseUrban_HelsinkiDowntown,TP11,43200,HelsinkiMedium,14.88,14.88,,,,50,2093,1838,,,,
U2_SparseUrban_HelsinkiDowntown__TP12_GroupToGroup,01_urban,U2_SparseUrban_HelsinkiDowntown,TP12,43200,HelsinkiMedium,14.84,14.84,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP01_Baseline,01_urban,U3_MicroMobility_HelsinkiDowntown,TP01,43200,HelsinkiMedium,24.04,24.04,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP02_LowLoad,01_urban,U3_MicroMobility_HelsinkiDowntown,TP02,43200,HelsinkiMedium,23.88,23.88,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP03_ManySmall,01_urban,U3_MicroMobility_HelsinkiDowntown,TP03,43200,HelsinkiMedium,23.68,23.68,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP04_FewLarge,01_urban,U3_MicroMobility_HelsinkiDowntown,TP04,43200,HelsinkiMedium,24.12,24.12,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U3_MicroMobility_HelsinkiDowntown,TP05,43200,HelsinkiMedium,24.04,24.04,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP06_OneToMany,01_urban,U3_MicroMobility_HelsinkiDowntown,TP06,43200,HelsinkiMedium,23.8,23.8,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP07_BurstWindow,01_urban,U3_MicroMobility_HelsinkiDowntown,TP07,43200,HelsinkiMedium,24.28,24.28,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP08_HubTarget,01_urban,U3_MicroMobility_HelsinkiDowntown,TP08,43200,HelsinkiMedium,23.8,23.8,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP09_Bimodal,01_urban,U3_MicroMobility_HelsinkiDowntown,TP09,43200,HelsinkiMedium,23.16,23.16,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP10_Storm,01_urban,U3_MicroMobility_HelsinkiDowntown,TP10,43200,HelsinkiMedium,24.2,24.2,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP11_ManyToOne,01_urban,U3_MicroMobility_HelsinkiDowntown,TP11,43200,HelsinkiMedium,23.8,23.8,,,,50,2093,1838,,,,
U3_MicroMobility_HelsinkiDowntown__TP12_GroupToGroup,01_urban,U3_MicroMobility_HelsinkiDowntown,TP12,43200,HelsinkiMedium,23.96,23.96,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP01_Baseline,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP01,43200,HelsinkiMedium,19.76,19.76,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP02_LowLoad,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP02,43200,HelsinkiMedium,20.6,20.6,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP03_ManySmall,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP03,43200,HelsinkiMedium,19.68,19.68,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP04_FewLarge,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP04,43200,HelsinkiMedium,20.2,20.2,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP05,43200,HelsinkiMedium,19.76,19.76,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP06_OneToMany,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP06,43200,HelsinkiMedium,20.6,20.6,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP07_BurstWindow,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP07,43200,HelsinkiMedium,20.0,20.0,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP08_HubTarget,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP08,43200,HelsinkiMedium,20.6,20.6,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP09_Bimodal,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP09,43200,HelsinkiMedium,19.76,19.76,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP10_Storm,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP10,43200,HelsinkiMedium,19.88,19.88,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP11_ManyToOne,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP11,43200,HelsinkiMedium,20.6,20.6,,,,50,2093,1838,,,,
U4_CongestionHotspot_HelsinkiDowntown__TP12_GroupToGroup,01_urban,U4_CongestionHotspot_HelsinkiDowntown,TP12,43200,HelsinkiMedium,19.28,19.28,,,,50,2093,1838,,,,
U5_WorkdayShort_HelsinkiDowntown__TP01_Baseline,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP01,43200,HelsinkiMedium,20.4,20.4,,,,50,2093,1838,,,,
U5_WorkdayShort_HelsinkiDowntown__TP02_LowLoad,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP02,43200,HelsinkiMedium,20.4,20.4,,,,50,2093,1838,,,,
U5_WorkdayShort_HelsinkiDowntown__TP03_ManySmall,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP03,43200,HelsinkiMedium,20.28,20.28,,,,50,2093,1838,,,,
U5_WorkdayShort_HelsinkiDowntown__TP04_FewLarge,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP04,43200,HelsinkiMedium,20.4,20.4,,,,50,2093,1838,,,,
U5_WorkdayShort_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP05,43200,HelsinkiMedium,20.4,20.4,,,,50,2093,1838,,,,
U5_WorkdayShort_HelsinkiDowntown__TP06_OneToMany,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP06,43200,HelsinkiMedium,20.4,20.4,,,,50,2093,1838,,,,
U5_WorkdayShort_HelsinkiDowntown__TP07_BurstWindow,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP07,43200,HelsinkiMedium,20.96,20.96,,,,50,2093,1838,,,,
U5_WorkdayShort_HelsinkiDowntown__TP08_HubTarget,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP08,43200,HelsinkiMedium,20.4,20.4,,,,50,2093,1838,,,,
U5_WorkdayShort_HelsinkiDowntown__TP09_Bimodal,01_urban,U5_WorkdayShort_HelsinkiDowntown,TP09,43200,HelsinkiMedium,20.68,20.68,,,,50,2093,1838,,,,
