script_path,script_role,active_status,generated_data_files,generated_report_files,generated_figure_files,consumes_theone_reports,consumes_analysis_data,corpus_argument_supported,supports_base_scenarios,supports_corpus_v1,supports_,supports_combined_manifest,notes
analysis/analysis_menu.py,utility,ACTIVE_OPTIONAL,corpus_benchmark_validation.csv|output_metrics.csv|paper_freeze_checklist.csv|scenario_diagnosis.csv|settings_audit.csv,corpus_benchmark_validation.md|inventory_update_report.md|message_analysis_window_policy.md|paper_figures_tables_readiness.md|paper_freeze_checklist.md|protocol_benchmark_kpi_policy.md|scenario_diagnosis.md|spatial_vs_performance_analysis.md|tp_validation_report.md|traffic_profile_kpi_analysis.md,,YES,NO,YES,NO,YES,NO,NO,mentions 720
analysis/dashboard/__init__.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,YES,NO,NO,
analysis/dashboard/app.py,dashboard,ACTIVE_OPTIONAL,,,,NO,YES,NO,NO,YES,NO,NO,mentions 720
analysis/dashboard/components.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/dashboard/data_loaders.py,dashboard,ACTIVE_OPTIONAL,,,,YES,YES,NO,NO,YES,NO,YES,mentions 720
analysis/dashboard/pages/__init__.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/dashboard/pages/analysis_pipeline.py,dashboard,ACTIVE_OPTIONAL,,,,NO,YES,YES,NO,YES,NO,NO,mentions 720
analysis/dashboard/pages/benchmark_kpis.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/dashboard/pages/corpus_audit.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,YES,NO,NO,
analysis/dashboard/pages/figures_guide.py,dashboard,ACTIVE_OPTIONAL,,,,NO,NO,YES,NO,YES,NO,NO,mentions 720
analysis/dashboard/pages/home.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,YES,NO,NO,
analysis/dashboard/pages/message_window.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/dashboard/pages/protocols.py,dashboard,ACTIVE_OPTIONAL,,,protocol_comparison_placeholder.png,NO,YES,NO,NO,NO,NO,NO,mentions 720
analysis/dashboard/pages/raw_reports.py,dashboard,ACTIVE_SUPPORT,,,,YES,NO,NO,NO,NO,NO,NO,
analysis/dashboard/pages/scenario_detail.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/dashboard/pages/scenario_explorer.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/dashboard/pages/spatial.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/dashboard/pages/traffic_profiles.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/dashboard/pages/useful_time.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/dashboard.py,dashboard,ACTIVE_SUPPORT,,,,NO,NO,NO,NO,YES,NO,NO,
analysis/lib/__init__.py,library,ACTIVE_CORE,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/lib/benchmark_select.py,library,ACTIVE_CORE,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/lib/connectivity_timeline.py,library,ACTIVE_CORE,,,,YES,NO,NO,NO,NO,NO,NO,
analysis/lib/map_context.py,library,ACTIVE_CORE,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/lib/paths.py,library,ACTIVE_OPTIONAL,,,,NO,YES,YES,YES,YES,YES,YES,mentions corpus_v2
analysis/lib/report_paths.py,library,ACTIVE_OPTIONAL,,,,NO,NO,NO,NO,NO,NO,NO,mentions corpus_v2
analysis/lib/scenario_diagnosis.py,library,ACTIVE_CORE,scenario_diagnosis.csv,,,NO,NO,NO,NO,YES,NO,NO,
analysis/lib/scenario_select.py,library,ACTIVE_OPTIONAL,,,,NO,NO,NO,NO,YES,YES,NO,mentions corpus_v2
analysis/lib/settings_audit.py,library,ACTIVE_CORE,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/lib/spatial_occupancy_io.py,library,ACTIVE_CORE,,,,NO,NO,NO,NO,NO,NO,NO,
analysis/lib/traffic_profile_generator.py,library,ACTIVE_OPTIONAL,,,,NO,NO,NO,NO,YES,NO,NO,
analysis/run_all_scenarios.py,simulation_runner,ACTIVE_OPTIONAL,,,,YES,YES,YES,NO,YES,YES,YES,
analysis/run_analysis.py,main_analysis_pipeline,ACTIVE_OPTIONAL,ablation_metrics.csv|correlation_pearson.csv|features.csv|output_metrics.csv,RESULTADOS_ACTUALES.md|ablation_report.txt|correlation_report.txt|features_report.md|features_report.txt,heatmap_feature_feature_core.png|pca_by_family.png,YES,YES,YES,NO,YES,NO,NO,mentions corpus_v2; mentions 720
analysis/run_figures_aggregated.py,utility,ACTIVE_OPTIONAL,,,,NO,YES,YES,NO,YES,YES,NO,mentions 720
analysis/scripts/paper/analyze_spatial_vs_performance.py,paper_artifacts,ACTIVE_SUPPORT,,,spatial_coverage_by_family_paper.png,NO,YES,NO,NO,YES,NO,NO,
analysis/scripts/paper/analyze_traffic_profile_kpis.py,paper_artifacts,ACTIVE_OPTIONAL,traffic_profile_kpi_summary.csv|traffic_profile_stats.csv,traffic_profile_kpi_analysis.md,,NO,YES,NO,NO,YES,NO,NO,mentions 720
analysis/scripts/paper/build_inventory_update_report.py,paper_artifacts,ACTIVE_SUPPORT,output_metrics.csv,,,YES,YES,NO,NO,YES,NO,NO,
analysis/scripts/paper/build_message_analysis_window_policy.py,paper_artifacts,ACTIVE_OPTIONAL,message_analysis_window_by_tp.csv|message_analysis_window_policy.csv|message_creation_time_summary.csv|traffic_profile_windows.csv,message_analysis_window_policy.md,message_creation_time_boxplot_by_tp.png|message_creation_time_hist_by_tp.png,YES,YES,NO,NO,YES,NO,NO,mentions 720
analysis/scripts/paper/build_paper_figures_tables_index.py,paper_artifacts,ACTIVE_OPTIONAL,,RESULTADOS_ACTUALES.md,,YES,YES,YES,NO,YES,YES,NO,mentions 720
analysis/scripts/paper/build_paper_freeze_checklist.py,paper_artifacts,ACTIVE_OPTIONAL,paper_freeze_checklist.csv,paper_freeze_checklist.md,,YES,YES,NO,NO,YES,NO,YES,mentions 720
analysis/scripts/paper/build_protocol_benchmark_kpi_policy.py,paper_artifacts,ACTIVE_OPTIONAL,protocol_benchmark_kpi_definitions.csv|traffic_profile_kpi_summary.csv,,,NO,YES,NO,NO,YES,NO,NO,mentions 720
analysis/scripts/validation/analyze_message_creation_times.py,validation,ACTIVE_OPTIONAL,message_creation_time_summary.csv,message_creation_time_audit.md,message_creation_time_boxplot_by_tp.png|message_creation_time_hist_by_tp.png,YES,YES,YES,NO,YES,NO,NO,mentions 720
analysis/scripts/validation/analyze_spatial_occupancy.py,validation,ACTIVE_SUPPORT,spatial_coverage_timeseries.csv|spatial_occupancy_metrics.csv,spatial_occupancy_analysis_summary.md,spatial_occupancy_curves_by_family.png,NO,NO,YES,NO,YES,NO,NO,
analysis/scripts/validation/audit_settings.py,validation,ACTIVE_SUPPORT,settings_audit.csv,,,NO,YES,YES,NO,YES,NO,NO,
analysis/scripts/validation/compute_useful_simulation_time.py,validation,ACTIVE_OPTIONAL,useful_simulation_time_metrics.csv,useful_simulation_time_report.md,,YES,YES,YES,NO,YES,NO,NO,mentions 720
analysis/scripts/validation/diagnose_scenarios.py,validation,ACTIVE_SUPPORT,,,,NO,YES,NO,NO,NO,NO,NO,
analysis/scripts/validation/validate_corpus_benchmark.py,validation,ACTIVE_OPTIONAL,corpus_benchmark_validation.csv|scenario_diagnosis.csv,corpus_benchmark_validation.md,,NO,YES,NO,NO,YES,YES,YES,mentions 720
analysis/scripts/validation/validate_traffic_profiles.py,validation,ACTIVE_OPTIONAL,tp_validation_by_base.csv|tp_validation_settings.csv|tp_validation_summary.csv|traffic_profile_windows.csv,tp_validation_report.md,,NO,YES,YES,NO,YES,YES,YES,mentions corpus_v2
analysis/scripts/wiki/build_wiki_research_reports.py,wiki_sync,LEGACY,simulation_time_policy.csv,,,YES,YES,NO,NO,YES,YES,NO,mentions 720
analysis/scripts/wiki/populate_wiki_paper.py,wiki_sync,LEGACY,corpus_v1_combined_manifest.csv|features.csv|features_normalized.csv|indirect_features_diego.csv|message_creation_time_summary.csv|output_metrics.csv|simulation_time_policy.csv|spatial_occupancy_metrics.csv|useful_simulation_time_metrics.csv,RESULTADOS_ACTUALES.md|ablation_report.txt|base_scenarios_validation.md|corpus_v2_revision_changelog.md|correlation_core23_report.txt|correlation_report.txt|evaluation_metrics_review.md|feature_feature_correlation_report.txt|features_report.md|message_analysis_window_policy.md|message_creation_time_audit.md|paper_phase1_action_plan.md|scenario_diagnosis.md|simulation_time_policy.md|spatial_occupancy_report.md|tp_validation_report.md,,YES,YES,YES,YES,YES,YES,YES,mentions corpus_v2; mentions 720
analysis/validate_base_scenarios.py,validation,ACTIVE_SUPPORT,,,,NO,YES,NO,YES,YES,YES,NO,
