family,scenario_name,old_map,new_map,old_worldSize,new_worldSize,old_movementModel,new_movementModel,validation_status,notes
01_urban,U1_CBD_Commuting_HelsinkiDowntown,HelsinkiMedium,HelsinkiDowntown,"8495,7504","2093,1838",WorkingDayMovement;BusMovement;WorkingDayMovement,WorkingDayMovement;BusMovement;WorkingDayMovement,OK,updated existing MapBasedMovement
01_urban,U2_SparseSuburb_HelsinkiDowntown,HelsinkiMedium,HelsinkiDowntown,"12000,11000","2093,1838",WorkingDayMovement;BusMovement;WorkingDayMovement,WorkingDayMovement;BusMovement;WorkingDayMovement,OK,updated existing MapBasedMovement
01_urban,U3_MicroMobility_HelsinkiDowntown,HelsinkiMedium,HelsinkiDowntown,"8495,7504","2093,1838",WorkingDayMovement;BusMovement;WorkingDayMovement,WorkingDayMovement;BusMovement;WorkingDayMovement,OK,updated existing MapBasedMovement
01_urban,U4_CongestionHotspot_HelsinkiDowntown,HelsinkiMedium,HelsinkiDowntown,"8495,7504","2093,1838",WorkingDayMovement;BusMovement;WorkingDayMovement,WorkingDayMovement;BusMovement;WorkingDayMovement,OK,updated existing MapBasedMovement
01_urban,U5_WorkdayShort_HelsinkiDowntown,HelsinkiMedium,HelsinkiDowntown,"8350,7350","2093,1838",WorkingDayMovement;BusMovement;WorkingDayMovement,WorkingDayMovement;BusMovement;WorkingDayMovement,OK,updated existing MapBasedMovement
01_urban,U6_OfficeWaitHeavyTail_HelsinkiDowntown,HelsinkiMedium,HelsinkiDowntown,"8495,7504","2093,1838",WorkingDayMovement;BusMovement;WorkingDayMovement,WorkingDayMovement;BusMovement;WorkingDayMovement,OK,updated existing MapBasedMovement
01_urban,U7_HighTimeVariance_HelsinkiDowntown,HelsinkiMedium,HelsinkiDowntown,"8450,7450","2093,1838",WorkingDayMovement;BusMovement;WorkingDayMovement,WorkingDayMovement;BusMovement;WorkingDayMovement,OK,updated existing MapBasedMovement
02_campus,C1_Campus_ClassChange,none,KumpulaCampus,"800,600","1524,1416",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
02_campus,C2_ExamDay_LongStays,none,KumpulaCampus,"750,550","1524,1416",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
02_campus,C3_Hackathon_24h,none,KumpulaCampus,"800,600","1524,1416",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
02_campus,C4_Stadium_IngressEgress,none,KumpulaCampus,"1000,800","1524,1416",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
02_campus,C5_Library_Quiet,none,KumpulaCampus,"550,450","1524,1416",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
02_campus,C6_EmergencyDrill_Evacuation,none,KumpulaCampus,"500,400","1524,1416",LinearMovement,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: LinearMovement->ShortestPathMapBasedMovement
03_vehicles,V1_TaxiLow_ManhattanMidtownGrid,HelsinkiMedium,ManhattanMidtownGrid,"8400,7504","2500,2366",MapRouteMovement;MapRouteMovement,MapRouteMovement;MapRouteMovement,OK,updated existing MapBasedMovement
03_vehicles,V2_TaxiHigh_ManhattanMidtownGrid,HelsinkiMedium,ManhattanMidtownGrid,"8400,7504","2500,2366",MapRouteMovement;MapRouteMovement,MapRouteMovement;MapRouteMovement,OK,updated existing MapBasedMovement
03_vehicles,V3_BusOnlyCarriers_ManhattanMidtownGrid,HelsinkiMedium,ManhattanMidtownGrid,"8400,7504","2500,2366",BusMovement;BusMovement,BusMovement;BusMovement,OK,updated existing MapBasedMovement
03_vehicles,V4_CarOwnership_0_ManhattanMidtownGrid,HelsinkiMedium,ManhattanMidtownGrid,"8400,7504","2500,2366",WorkingDayMovement;BusMovement;WorkingDayMovement,WorkingDayMovement;BusMovement;WorkingDayMovement,OK,updated existing MapBasedMovement
03_vehicles,V5_CarOwnership_100_ManhattanMidtownGrid,HelsinkiMedium,ManhattanMidtownGrid,"8400,7400","2500,2366",WorkingDayMovement;BusMovement;WorkingDayMovement,WorkingDayMovement;BusMovement;WorkingDayMovement,OK,updated existing MapBasedMovement
04_rural,R10_TinyRange_5m,none,NuuksioSparseTrails,"7600,5600","2848,2945",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
04_rural,R11_SpeedExtremeLow,none,NuuksioSparseTrails,"10500,8500","2848,2945",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
04_rural,R12_SpeedExtremeHigh,none,NuuksioSparseTrails,"3000,2500","2848,2945",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
04_rural,R1_Rural_RandomWaypoint,none,NuuksioSparseTrails,"15000,12000","2848,2945",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
04_rural,R2_VillagesTrails_ThreeClusters,none,NuuksioSparseTrails,"5000,5000","2848,2945",ClusterMovement;ClusterMovement;ClusterMovement;ClusterMovement,ClusterMovement;ClusterMovement;ClusterMovement;ClusterMovement,OK,"inserted MapBasedMovement block; rescaled 3 clusterCenter(s), scale=(0.570,0.589)"
04_rural,R3_WildlifeTracking,none,NuuksioSparseTrails,"10000,8000","2848,2945",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
04_rural,R4_ParkRangers_NuuksioSparseTrails,HelsinkiMedium,NuuksioSparseTrails,"8400,7504","2848,2945",MapRouteMovement;MapRouteMovement,MapRouteMovement;MapRouteMovement,OK,updated existing MapBasedMovement
04_rural,R5_MountainRescue,none,NuuksioSparseTrails,"8500,6000","2848,2945",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
04_rural,R6_SparseLongRange,none,NuuksioSparseTrails,"12000,10000","2848,2945",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
04_rural,R7_SparseTinyBuffer,none,NuuksioSparseTrails,"9500,7500","2848,2945",RandomWaypoint,ShortestPathMapBasedMovement,OK,inserted MapBasedMovement block; converted models: RandomWaypoint->ShortestPathMapBasedMovement
