scenario,cluster
U1_CBD_Commuting_HelsinkiMedium__TP01_Baseline,7
U1_CBD_Commuting_HelsinkiMedium__TP02_LowLoad,7
U1_CBD_Commuting_HelsinkiMedium__TP03_ManySmall,7
U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge,7
U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL,7
U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany,7
U1_CBD_Commuting_HelsinkiMedium__TP07_BurstWindow,7
U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget,7
U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal,7
U1_CBD_Commuting_HelsinkiMedium__TP10_Storm,7
U1_CBD_Commuting_HelsinkiMedium__TP11_ManyToOne,7
U1_CBD_Commuting_HelsinkiMedium__TP12_GroupToGroup,7
U2_SparseSuburb_HelsinkiMedium__TP01_Baseline,7
U2_SparseSuburb_HelsinkiMedium__TP02_LowLoad,7
U2_SparseSuburb_HelsinkiMedium__TP03_ManySmall,7
U2_SparseSuburb_HelsinkiMedium__TP04_FewLarge,7
U2_SparseSuburb_HelsinkiMedium__TP05_CriticalTTL,7
U2_SparseSuburb_HelsinkiMedium__TP06_OneToMany,7
U2_SparseSuburb_HelsinkiMedium__TP07_BurstWindow,7
U2_SparseSuburb_HelsinkiMedium__TP08_HubTarget,7
U2_SparseSuburb_HelsinkiMedium__TP09_Bimodal,7
U2_SparseSuburb_HelsinkiMedium__TP10_Storm,7
U2_SparseSuburb_HelsinkiMedium__TP11_ManyToOne,7
U2_SparseSuburb_HelsinkiMedium__TP12_GroupToGroup,7
U3_MicroMobility_HelsinkiMedium__TP01_Baseline,7
U3_MicroMobility_HelsinkiMedium__TP02_LowLoad,7
U3_MicroMobility_HelsinkiMedium__TP03_ManySmall,7
U3_MicroMobility_HelsinkiMedium__TP04_FewLarge,7
U3_MicroMobility_HelsinkiMedium__TP05_CriticalTTL,7
U3_MicroMobility_HelsinkiMedium__TP06_OneToMany,7
U3_MicroMobility_HelsinkiMedium__TP07_BurstWindow,7
U3_MicroMobility_HelsinkiMedium__TP08_HubTarget,7
U3_MicroMobility_HelsinkiMedium__TP09_Bimodal,7
U3_MicroMobility_HelsinkiMedium__TP10_Storm,7
U3_MicroMobility_HelsinkiMedium__TP11_ManyToOne,7
U3_MicroMobility_HelsinkiMedium__TP12_GroupToGroup,7
U4_CongestionHotspot_HelsinkiMedium__TP01_Baseline,7
U4_CongestionHotspot_HelsinkiMedium__TP02_LowLoad,7
U4_CongestionHotspot_HelsinkiMedium__TP03_ManySmall,7
U4_CongestionHotspot_HelsinkiMedium__TP04_FewLarge,7
U4_CongestionHotspot_HelsinkiMedium__TP05_CriticalTTL,7
U4_CongestionHotspot_HelsinkiMedium__TP06_OneToMany,7
U4_CongestionHotspot_HelsinkiMedium__TP07_BurstWindow,7
U4_CongestionHotspot_HelsinkiMedium__TP08_HubTarget,7
U4_CongestionHotspot_HelsinkiMedium__TP09_Bimodal,7
U4_CongestionHotspot_HelsinkiMedium__TP10_Storm,7
U4_CongestionHotspot_HelsinkiMedium__TP11_ManyToOne,7
U4_CongestionHotspot_HelsinkiMedium__TP12_GroupToGroup,7
U5_WorkdayShort_HelsinkiMedium__TP01_Baseline,7
U5_WorkdayShort_HelsinkiMedium__TP02_LowLoad,7
U5_WorkdayShort_HelsinkiMedium__TP03_ManySmall,7
U5_WorkdayShort_HelsinkiMedium__TP04_FewLarge,7
U5_WorkdayShort_HelsinkiMedium__TP05_CriticalTTL,7
U5_WorkdayShort_HelsinkiMedium__TP06_OneToMany,7
U5_WorkdayShort_HelsinkiMedium__TP07_BurstWindow,7
U5_WorkdayShort_HelsinkiMedium__TP08_HubTarget,7
U5_WorkdayShort_HelsinkiMedium__TP09_Bimodal,7
U5_WorkdayShort_HelsinkiMedium__TP10_Storm,7
U5_WorkdayShort_HelsinkiMedium__TP11_ManyToOne,7
U5_WorkdayShort_HelsinkiMedium__TP12_GroupToGroup,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP01_Baseline,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP02_LowLoad,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP03_ManySmall,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP04_FewLarge,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP05_CriticalTTL,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP06_OneToMany,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP07_BurstWindow,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP08_HubTarget,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP09_Bimodal,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP10_Storm,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP11_ManyToOne,7
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP12_GroupToGroup,7
U7_HighTimeVariance_HelsinkiMedium__TP01_Baseline,7
U7_HighTimeVariance_HelsinkiMedium__TP02_LowLoad,7
U7_HighTimeVariance_HelsinkiMedium__TP03_ManySmall,7
U7_HighTimeVariance_HelsinkiMedium__TP04_FewLarge,7
U7_HighTimeVariance_HelsinkiMedium__TP05_CriticalTTL,7
U7_HighTimeVariance_HelsinkiMedium__TP06_OneToMany,7
U7_HighTimeVariance_HelsinkiMedium__TP07_BurstWindow,7
U7_HighTimeVariance_HelsinkiMedium__TP08_HubTarget,7
U7_HighTimeVariance_HelsinkiMedium__TP09_Bimodal,7
U7_HighTimeVariance_HelsinkiMedium__TP10_Storm,7
U7_HighTimeVariance_HelsinkiMedium__TP11_ManyToOne,7
U7_HighTimeVariance_HelsinkiMedium__TP12_GroupToGroup,7
C1_Campus_ClassChange__TP01_Baseline,5
C1_Campus_ClassChange__TP02_LowLoad,4
C1_Campus_ClassChange__TP03_ManySmall,5
C1_Campus_ClassChange__TP04_FewLarge,4
