scenario,cluster
U1_CBD_Commuting_HelsinkiMedium,2
U2_SparseSuburb_HelsinkiMedium,2
U3_MicroMobility_HelsinkiMedium,2
U4_CongestionHotspot_HelsinkiMedium,2
U5_WorkdayShort_HelsinkiMedium,2
U6_OfficeWaitHeavyTail_HelsinkiMedium,2
U7_HighTimeVariance_HelsinkiMedium,2
C1_Campus_ClassChange,5
C2_ExamDay_LongStays,7
C3_Hackathon_24h,7
C4_Stadium_IngressEgress,4
C5_Library_Quiet,7
C6_EmergencyDrill_Evacuation,7
V1_TaxiLow_HelsinkiMedium,1
V2_TaxiHigh_HelsinkiMedium,1
V3_BusOnlyCarriers_HelsinkiMedium,2
V4_CarOwnership_0_HelsinkiMedium,2
V5_CarOwnership_100_HelsinkiMedium,2
R10_TinyRange_5m,7
R11_SpeedExtremeLow,7
R12_SpeedExtremeHigh,7
R1_Rural_RandomWaypoint,2
R2_VillagesTrails_ThreeClusters,3
R3_WildlifeTracking,7
R4_ParkRangers_HelsinkiMedium,1
R5_MountainRescue,7
R6_SparseLongRange,6
R7_SparseTinyBuffer,7
R8_IntermittentPower,7
R9_ExtremeRange_200m,6
D1_ShelterHotspots_Clusters,3
D2_PartitionedCity_MuleBridge,3
D3_Aftershock_ErraticMobility,7
D4_MedicalTriage_TwoClasses,7
D5_UAVMule_FastRoute_HelsinkiMedium,1
D6_ShortTtlCritical_5to10min,7
D7_HighLoad_TrafficStorm,7
D8_InfrastructureReturns_BackboneLinks,3
D9_Critical_1minTTL,7
S1_StrongCommunities_SeparateClusters,3
S2_WeakCommunities_HighMixing,7
S3_PeriodicMeetings_RegularRhythm,7
S4_RandomMixing_NoHotspots,7
S5_TwoLayer_StudentsStaff,7
S6_FamilyGroups_SmallPersistent,3
T10_HighRateLowSpeed_Congestion,7
T11_TTL_1min,7
T12_TTL_Infinite_Buffer200M,7
T13_Buffer_256k,7
T14_Buffer_200M,7
T15_TransmitSpeed_256k,7
T1_ManySmallMsgs_HighRate,7
T2_FewHugeMsgs_LowRate,5
T3_MixedBimodal_SmallAndLarge,7
T4_VeryShortTtl_5to10min,7
T5_VeryLongTtl_6to24h,7
T6_UniformSources_RandomFromTo,7
T7_TargetedToHubs_FewDestinations,7
T8_BurstTraffic_TimeWindows,4
T9_BufferStress_SmallBufferHighTraffic,7
