escenario_actual,problema_detectado,evidencia_numerica,cambio_recomendado,efecto_esperado,prioridad,decision,scenario_base,tp,family,benchmark_split
U4_CongestionHotspot_HelsinkiMedium__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.3435; encounters=1258; cov_world=0.0736; cov_access=1; std_base=0.1797,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,U4_CongestionHotspot_HelsinkiMedium,TP05,01_urban,stress
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=1.3923; encounters=1291; cov_world=0.08; cov_access=1; std_base=0.1692,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP05,01_urban,stress
R10_TinyRange_5m__TP02_LowLoad,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=5; std_base=0.0125,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R10_TinyRange_5m,TP02,04_rural,main
R10_TinyRange_5m__TP04_FewLarge,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=5; std_base=0.0125,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R10_TinyRange_5m,TP04,04_rural,stress
R10_TinyRange_5m__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9959; encounters=5; std_base=0.0125,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R10_TinyRange_5m,TP05,04_rural,stress
R11_SpeedExtremeLow__TP01_Baseline,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP01,04_rural,control
R11_SpeedExtremeLow__TP02_LowLoad,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP02,04_rural,control
R11_SpeedExtremeLow__TP03_ManySmall,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP03,04_rural,control
R11_SpeedExtremeLow__TP04_FewLarge,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP04,04_rural,control
R11_SpeedExtremeLow__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9959; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP05,04_rural,control
R11_SpeedExtremeLow__TP06_OneToMany,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.0794; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP06,04_rural,control
R11_SpeedExtremeLow__TP07_BurstWindow,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP07,04_rural,control
R11_SpeedExtremeLow__TP08_HubTarget,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP08,04_rural,control
R11_SpeedExtremeLow__TP09_Bimodal,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP09,04_rural,control
R11_SpeedExtremeLow__TP10_Storm,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9186; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP10,04_rural,control
R11_SpeedExtremeLow__TP11_ManyToOne,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R11_SpeedExtremeLow,TP11,04_rural,control
R1_Rural_RandomWaypoint__TP01_Baseline,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP01,04_rural,control
R1_Rural_RandomWaypoint__TP02_LowLoad,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP02,04_rural,control
R1_Rural_RandomWaypoint__TP03_ManySmall,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP03,04_rural,control
R1_Rural_RandomWaypoint__TP04_FewLarge,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP04,04_rural,control
R1_Rural_RandomWaypoint__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9939; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP05,04_rural,control
R1_Rural_RandomWaypoint__TP06_OneToMany,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.0794; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP06,04_rural,control
R1_Rural_RandomWaypoint__TP07_BurstWindow,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP07,04_rural,control
R1_Rural_RandomWaypoint__TP08_HubTarget,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP08,04_rural,control
R1_Rural_RandomWaypoint__TP09_Bimodal,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP09,04_rural,control
R1_Rural_RandomWaypoint__TP10_Storm,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9183; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP10,04_rural,control
R1_Rural_RandomWaypoint__TP11_ManyToOne,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=; std_base=0,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,excluir,R1_Rural_RandomWaypoint,TP11,04_rural,control
R3_WildlifeTracking__TP02_LowLoad,ZERO_DELIVERY,delivery=0; overhead=na; drops=0; encounters=1; std_base=0.0026,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R3_WildlifeTracking,TP02,04_rural,main
R3_WildlifeTracking__TP05_CriticalTTL,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.9938; encounters=1; std_base=0.0026,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R3_WildlifeTracking,TP05,04_rural,stress
R3_WildlifeTracking__TP06_OneToMany,ZERO_DELIVERY,delivery=0; overhead=na; drops=0.0794; encounters=1; std_base=0.0026,"Ajustar Group.speed, transmitRange o densidad; verificar coherencia movilidad–mapa",delivery_ratio > 0; quitar ZERO_DELIVERY,P0,modificar,R3_WildlifeTracking,TP06,04_rural,stress
