scenario_base,family,map_dataset,movement_models,delivery_mean,delivery_std,p0_count,clean_tp_count,change_map,change_mobility,change_tp,revision_action,benchmark_split_base
U1_CBD_Commuting_HelsinkiMedium,01_urban,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,0.3764,0.2126523767403819,6,0,recortar_worldSize,no,si_TP04_06,modificar_mapa,main
U2_SparseSuburb_HelsinkiMedium,01_urban,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,0.2607,0.1717732455267347,1,0,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,modificar_mapa,main
U3_MicroMobility_HelsinkiMedium,01_urban,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,0.2057,0.1771716944609996,11,0,recortar_worldSize,no,si_TP04_06,modificar_mapa,main
U4_CongestionHotspot_HelsinkiMedium,01_urban,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,0.2905,0.1796632681552977,6,0,recortar_worldSize|opcional_Manhattan,no,si_TP04_06,modificar_mapa,main
U5_WorkdayShort_HelsinkiMedium,01_urban,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,0.2306,0.1318258791900984,2,0,recortar_worldSize,no,si_TP04_06,modificar_mapa,main
U6_OfficeWaitHeavyTail_HelsinkiMedium,01_urban,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,0.2641,0.1692006239242741,3,0,recortar_worldSize,no,si_TP04_06,modificar_mapa,main
U7_HighTimeVariance_HelsinkiMedium,01_urban,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,0.3558,0.2156261627109627,4,0,recortar_worldSize,no,si_TP04_06,modificar_mapa,main
C1_Campus_ClassChange,02_campus,,G1:RandomWaypoint,0.8011,0.2873851405608013,3,2,no,no,si_TP04_06,modificar_tp,main
C2_ExamDay_LongStays,02_campus,,G1:RandomWaypoint,0.6633,0.3141184166790761,3,8,no,no,si_TP04_06,modificar_tp,main
C3_Hackathon_24h,02_campus,,G1:RandomWaypoint,0.5594,0.3054085920632564,7,5,no,no,si_TP04_06,modificar_tp,main
C4_Stadium_IngressEgress,02_campus,,G1:RandomWaypoint,0.6911,0.2514262835516726,2,9,no,no,si_TP04_06,modificar_tp,main
C5_Library_Quiet,02_campus,,G1:RandomWaypoint,0.4889,0.2699587885215074,0,12,no,no,no,mantener,main
C6_EmergencyDrill_Evacuation,02_campus,,G1:LinearMovement,0.4993,0.0612829626825556,1,11,no,no,si_TP04_06,modificar_tp,main
V1_TaxiLow_HelsinkiMedium,03_vehicles,HelsinkiMedium,G1:MapRouteMovement,0.6868,0.3014323618788779,0,11,no,no,no,mantener,main
V2_TaxiHigh_HelsinkiMedium,03_vehicles,HelsinkiMedium,G1:MapRouteMovement,0.8828,0.1958490815073502,4,1,recortar_worldSize,no,si_TP04_06,modificar_mapa,main
