,U1_CBD_Commuting_HelsinkiMedium,U5_SparseSuburb_HelsinkiMedium,U7_MicroMobility_HelsinkiMedium,U8_CongestionHotspot_HelsinkiMedium,U9_WorkdayShort_HelsinkiMedium,U11_OfficeWaitHeavyTail_HelsinkiMedium,U12_HighTimeVariance_HelsinkiMedium,C1_Campus_ClassChange,C2_ExamDay_LongStays,C3_Hackathon_24h,C4_Stadium_IngressEgress,C7_Library_Quiet,C8_EmergencyDrill_Evacuation,V1_TaxiLow_HelsinkiMedium,V2_TaxiHigh_HelsinkiMedium,V3_BusOnlyCarriers_HelsinkiMedium,V6_CarOwnership_0_HelsinkiMedium,V7_CarOwnership_100_HelsinkiMedium,R10_TinyRange_5m,R11_SpeedExtremeLow,R12_SpeedExtremeHigh,R1_Rural_RandomWaypoint,R2_VillagesTrails_ThreeClusters,R3_WildlifeTracking,R4_ParkRangers_HelsinkiMedium,R5_MountainRescue,R6_SparseLongRange,R7_SparseTinyBuffer,R8_IntermittentPower,R9_ExtremeRange_200m,D1_ShelterHotspots_Clusters,D2_PartitionedCity_MuleBridge,D3_Aftershock_ErraticMobility,D4_MedicalTriage_TwoClasses,D5_UAVMule_FastRoute_HelsinkiMedium,D6_ShortTtlCritical_5to10min,D7_HighLoad_TrafficStorm,D8_InfrastructureReturns_BackboneLinks,D9_Critical_1minTTL,S1_StrongCommunities_SeparateClusters,S2_WeakCommunities_HighMixing,S3_PeriodicMeetings_RegularRhythm,S4_RandomMixing_NoHotspots,S5_TwoLayer_StudentsStaff,S6_FamilyGroups_SmallPersistent,T10_HighRateLowSpeed_Congestion,T11_TTL_1min,T12_TTL_Infinite_Buffer200M,T13_Buffer_256k,T14_Buffer_200M,T15_TransmitSpeed_256k,T1_ManySmallMsgs_HighRate,T2_FewHugeMsgs_LowRate,T3_MixedBimodal_SmallAndLarge,T4_VeryShortTtl_5to10min,T5_VeryLongTtl_6to24h,T6_UniformSources_RandomFromTo,T7_TargetedToHubs_FewDestinations,T8_BurstTraffic_TimeWindows,T9_BufferStress_SmallBufferHighTraffic
U1_CBD_Commuting_HelsinkiMedium,1.0,0.5949607240583797,0.6558453062152494,0.800325111882587,0.6527186401922227,0.5154491311750116,0.5191407618595093,-0.19625102050719678,-0.44568652041496465,-0.2665863290076414,-0.12505847969739986,-0.41533432061116504,-0.014908300350210044,0.11796760013790222,0.2448676152502411,0.5228487162748161,0.6800216324686178,0.6207042764513313,-0.4481768359148617,-0.3101212566685168,0.22764290111486168,-0.08036510636768678,-0.05560249977086545,-0.331950090725173,-0.0726111947601365,-0.24911172721440933,-0.2453004543970809,-0.2750349013183139,-0.14325243129204862,-0.18090235777158814,-0.06997582508540795,-0.20513401321284358,-0.33069419600231215,-0.13789964646378425,0.09553353623596443,-0.1627922140109769,0.011969150203547902,-0.11640232746936824,-0.29576666385888906,0.047288519943923045,0.01584404822719097,-0.3295522574661822,-0.28357440617746404,-0.06212184493826986,-0.053693760773307474,-0.333054984385583,-0.2945860667372358,-0.16606145533543493,-0.2830553228797651,-0.18492541738502008,-0.3724288497987514,-0.24409846174578856,-0.12781659735321466,-0.21732252510073843,-0.3770255418904935,-0.466377031931703,-0.25986131933374484,-0.14325927314656506,-0.19809819013955227,-0.2923434261265642
U5_SparseSuburb_HelsinkiMedium,0.5949607240583797,1.0,0.34421581817363256,0.4158561096436073,0.4335798256598195,0.5545988746551731,0.45388485548608043,-0.20818504332385857,-0.47322705481241184,-0.252968807434239,-0.1983907037446039,-0.3832244097910494,-0.04650128217400012,0.23851400819111465,0.23150063720660394,0.5719644981794559,0.45314155891100255,0.4799743025321786,-0.31313849650927056,0.011131841424979935,0.11980276111605404,0.28737328836436876,-0.001420585945337375,-0.09040033683756592,0.07563975770587222,-0.20487117422341825,0.04591182310092138,-0.13387233028601647,-0.08268244141680188,-0.11085068388083302,-0.14522791669615895,-0.23892696710941544,-0.32533706296545845,-0.13729999292096914,0.11547387849542882,-0.2639392725125657,-0.13373017061224213,-0.16867176663599617,-0.3158745140540597,-0.05901318298769911,-0.28725356818728504,-0.47443569729111523,-0.35024197792614414,-0.2309122615392124,-0.020520768574347526,-0.2505380529969313,-0.3721575737071632,-0.0960652468790504,-0.2763967428347448,-0.17123563245600065,-0.23964320516910356,-0.33901288867285395,-0.08172627059133569,-0.15534731771477212,-0.43234464022692687,-0.4368118718963816,-0.2914001860650118,-0.12202957459575546,-0.15486726975305598,-0.32497027531949574
U7_MicroMobility_HelsinkiMedium,0.6558453062152494,0.34421581817363256,1.0,0.7881290297668557,0.7545048284459828,0.6250905558305282,0.7457523307348143,-0.16015752261577582,-0.23478764066578822,-0.20700463072802805,-0.06210791157858821,-0.3517509686632278,0.03564465952629716,-0.005700725098962499,0.08888753462104028,0.18035843992002085,0.7314915477927645,0.6322627098602445,-0.7003003792755942,-0.5708910536921639,0.08624257462338696,-0.3011692839216557,-0.17142139348121047,-0.48897696421860676,-0.31573064893944897,-0.22929452966170882,-0.2549814917475585,-0.08390085122893443,-0.16678107886415475,-0.21834649923654498,-0.0014458552724803553,-0.15017525664659165,-0.09184469550837435,-0.05500436155221834,0.038369870556336574,-0.0022025189948445263,0.01775210807196053,-0.05215453595027088,-0.12198494568227515,0.1947977657618966,0.10320947926968595,-0.11643948920484566,-0.2704764770654012,-0.011517636294207758,-0.08807699516261637,-0.16943582925498119,-0.12578912997841088,-0.41241790464585204,-0.157272673700047,-0.25417241462141965,-0.32139763153266415,-0.4087275455054409,-0.18559984061092513,-0.2656677782351272,-0.09923182730672939,-0.28889298113935585,-0.5517716510986214,-0.18730699327677547,-0.13844341364082252,-0.2689551409029195
U8_CongestionHotspot_HelsinkiMedium,0.800325111882587,0.4158561096436073,0.7881290297668557,1.0,0.7941073357241705,0.5870680714407233,0.6996106304477843,-0.18593073459178963,-0.3360612063676075,-0.2032970977356151,-0.10049055008455327,-0.40372529020027204,0.00465652778372791,0.03807043078876601,0.243517440537952,0.4930537740795433,0.7944291805183182,0.6510466045951867,-0.5440196726455024,-0.47342121447190094,0.24384620635999024,-0.2569438587358965,-0.0972563897865667,-0.42503878137840817,-0.13377990885360533,-0.1989518162999389,-0.3950846665070234,-0.267302960468411,-0.16694087589882783,-0.20846983399041255,-0.0858483904067463,-0.18935447804040317,-0.23181843183850637,-0.09456146266703075,0.0411800701768555,-0.07662355278258635,-0.04892145220345968,-0.09682580717023687,-0.1809538382739275,0.03057647036214601,0.011887593086100483,-0.15876408944930018,-0.37780999667707554,-0.12931451466101337,-0.059693934094698656,-0.45855657828476276,-0.16668000901566798,-0.18491443232699215,-0.1902727582688654,-0.10235994306202398,-0.5083169696578769,-0.2680548936081045,-0.13870184762386295,-0.24590844415360763,-0.29382119421645214,-0.38426491792080053,-0.30346007249271045,-0.17174914597731386,-0.19301633326540255,-0.40275924410344505
U9_WorkdayShort_HelsinkiMedium,0.6527186401922227,0.4335798256598195,0.7545048284459828,0.7941073357241705,1.0,0.6501552287114234,0.707474182835024,-0.1912468239053639,-0.29203124692448335,-0.20671642471283208,-0.14197605471781508,-0.3571090955300869,0.002228643606871633,0.11686221676756119,0.20099787781281703,0.43351086667864736,0.7768933889257934,0.5713065488726139,-0.6238324513147744,-0.465527788707629,0.1637166243843864,-0.20955042993850917,-0.10293966329525434,-0.40189157073006104,-0.15164055396986573,-0.21085645375917977,-0.20830530662396723,-0.1946632242031317,-0.14574216656967767,-0.20935574720083944,-0.11411679236174581,-0.23133340132104546,-0.16875522378266752,-0.07279422802341605,0.02360908492436673,-0.0984585975757151,-0.15069966913992155,-0.13529535396879824,-0.23007154370035837,0.00697315793794172,-0.11951424885165193,-0.21778633612393816,-0.49180504388260576,-0.22405322030606015,-0.058926041438926005,-0.26881700556181065,-0.1900992268194308,-0.1778569393560876,-0.23741476563013378,-0.05845542741475549,-0.29431025140442474,-0.4805947418317278,-0.1308183478023225,-0.25037915657236187,-0.2591855278720153,-0.28337386215744265,-0.48457289419486155,-0.1899456724082587,-0.14489784694193497,-0.4601836206918844
U11_OfficeWaitHeavyTail_HelsinkiMedium,0.5154491311750116,0.5545988746551731,0.6250905558305282,0.5870680714407233,0.6501552287114234,1.0,0.7076827050226465,-0.1855662507120175,-0.34112050106248615,-0.2410524221866386,-0.14647246302758582,-0.3341570038013966,-0.0061429301542842984,0.16136538409365847,0.20409878225700726,0.4391613343420559,0.5105587717494598,0.558262039803719,-0.5217380306563119,-0.3834024120375483,0.1778299798652602,-0.15330570694585982,-0.0800268552704672,-0.3544125850910391,-0.11469639484189613,-0.24031677008094912,-0.13560623750044642,-0.26771762775432556,-0.12776925441459325,-0.19850237536256143,-0.09066096052918873,-0.20793926384638692,-0.24707763131193675,-0.10099096753736067,0.04775619870723132,-0.14099467049366982,-0.09801449503543609,-0.12017694247764751,-0.33190484575365403,0.020815334421067158,-0.06145657189047376,-0.3219264806116468,-0.42212099723576024,-0.15114700572762113,-0.05353122609532369,-0.1524316622585695,-0.2859018882369757,-0.08462683344149788,-0.3375748426479019,-0.04010690767743687,-0.1561971299317378,-0.4443790650250661,-0.1430676903851311,-0.22242215783261177,-0.32101208216608906,-0.3188670465410275,-0.40700678467501283,-0.16132853728505572,-0.143477427281759,-0.38679784021442953
U12_HighTimeVariance_HelsinkiMedium,0.5191407618595093,0.45388485548608043,0.7457523307348143,0.6996106304477843,0.707474182835024,0.7076827050226465,1.0,-0.21395747126777195,-0.31894823969567865,-0.2664769870019425,-0.16963342720107996,-0.3536739790959531,-0.014753623937193728,0.20417930879023602,0.19862672252222527,0.4420514899908972,0.6833885445984209,0.6204873253869155,-0.6106911335352693,-0.46168776184108856,0.16425060218135185,-0.20110919282152873,-0.11969982771097087,-0.4156640626944925,-0.15012391252488863,-0.1907980002715294,-0.09086701890007554,-0.1716589354137768,-0.14678059605669594,-0.20993141520262332,-0.13279290769773922,-0.2426616132883346,-0.20450791265138293,-0.09039203126314788,0.018411335742623283,-0.08490622819945502,-0.11618028385806642,-0.1465424195301132,-0.28499817786130044,-0.00976495789962654,-0.10974453702465833,-0.28857216191320745,-0.47653303492196436,-0.22658413395176563,-0.07940864889395817,-0.06007707493555521,-0.18956532983477933,-0.19283808636036318,-0.27140968970371526,-0.0852527918133194,-0.08111477885504668,-0.5011845671516617,-0.15329529508809983,-0.27641861923319666,-0.20623957811312213,-0.244326454694733,-0.5350631656367605,-0.1910080048613366,-0.1370741542761335,-0.37404028677700324
C1_Campus_ClassChange,-0.19625102050719678,-0.20818504332385857,-0.16015752261577582,-0.18593073459178963,-0.1912468239053639,-0.1855662507120175,-0.21395747126777195,1.0,0.1478473151475135,0.09173457041544518,0.0006071933878290156,0.17689499337735023,0.11775047243811763,-0.1486113622682804,-0.1407103406542214,-0.2090676525508056,-0.18189931106030452,-0.1989209230269376,0.1560447631005742,0.024596826071457155,-0.025327056243545493,-0.13131991415933472,-0.06709260996761841,0.3555074983998648,-0.04037440532950302,-0.04849133000793301,-0.047972951582375994,-0.1332321927982603,-0.02293036265365573,0.021840865723973073,-0.043643193294083525,0.04819233631884666,-0.06278264755380901,-0.09361446411691347,-0.10408783060425966,-0.043328980055466364,-0.02408862255461341,-0.005759040491829648,-0.05912663384685417,-0.05149179051646078,0.1402260739172946,0.08268578008256515,0.14050214296267657,0.07115353542158062,-0.056196418396467135,0.037420864847166266,0.008800826092724541,0.05118640909306947,-0.0007197801857854213,0.0161135369571922,0.11445818903429092,0.04979425637884153,0.22277430131759549,-0.04640102711449152,0.08504269080051127,0.2015606229991067,0.13587266624633898,-0.022685543461060272,-0.08819635315580887,0.022348088360859806
C2_ExamDay_LongStays,-0.44568652041496465,-0.47322705481241184,-0.23478764066578822,-0.3360612063676075,-0.29203124692448335,-0.34112050106248615,-0.31894823969567865,0.1478473151475135,1.0,0.7450506302412611,0.022821274722803854,0.8691796021968842,0.11613902058801322,-0.3677751165632894,-0.374156907026173,-0.4977444421141754,-0.36792096268192576,-0.4386837042087302,0.30418597651266754,0.15680907690913176,-0.27598764185006947,-0.1654127180659027,-0.1197571721534761,0.4145914651086666,-0.16833721534289914,0.22640535129791803,-0.026210074287558748,0.3180501497108936,-0.011850187965124147,0.02285275697941908,-0.1778319691148155,0.05247734550901974,0.603127854692581,-0.026050328684618373,-0.3206788889932316,0.2104770665369073,-0.1809313973921967,-0.04058701098162429,0.487730649988505,-0.16422212662781505,-0.1045428466933528,0.6027667103779685,0.13717403338354622,-0.13724242442118903,-0.04187305949807468,0.10468261631248332,0.4315088616673073,0.039170892725968055,0.4255427602943024,0.21138431532346108,0.0871187950733426,0.1600579866470756,-0.004047740987543631,-0.02815974088089639,0.4666515543582916,0.48689223179741925,0.09513983419668379,-0.058091333294476986,0.0009470850055236912,0.10072871141998693
C3_Hackathon_24h,-0.2665863290076414,-0.252968807434239,-0.20700463072802805,-0.2032970977356151,-0.20671642471283208,-0.2410524221866386,-0.2664769870019425,0.09173457041544518,0.7450506302412611,1.0,-0.19709593131299916,0.6713012768530527,-0.16792394131295915,-0.23159605192202964,-0.20849518109253504,-0.25060885413317247,-0.24706887733607327,-0.2872954226011258,0.3823075027371639,0.3109325133784587,-0.1496089283447687,-0.02122348047309324,0.008375253209165946,0.5718067389650412,-0.033322896959341014,-0.28672036622453434,-0.02761405806529327,0.2146402032146999,-0.004358808642080791,-0.002842553758188383,-0.11116651768978485,0.02547492528198323,0.4435976391316979,-0.03863669168735903,-0.1736289652910649,-0.3533389816176317,-0.5361921664770153,-0.0290328704506956,0.3459694645767589,-0.0912754345530949,-0.04368140470632465,0.4177454166625179,0.21637914602644576,-0.03728469476241075,0.037620629767079895,0.008957833700289916,0.2763114341202701,0.04076087072032704,0.32005188758018616,0.08713623051434713,0.010159062053315996,0.24854526049818568,0.00818583925547012,0.0040268056937118185,0.01097723547119316,0.2833083810679455,0.20912703316533887,-0.00240674098302641,-0.010690229722998436,0.15255900459832716
