,C1_Campus_ClassChange,C2_ExamDay_LongStays,C3_Hackathon_24h,C4_Stadium_IngressEgress,C5_Festival_MultiHotspots_HelsinkiMedium,C6_Conference_Networking_HelsinkiMedium,C7_Library_Quiet,C8_EmergencyDrill_Evacuation,D1_ShelterHotspots_Clusters,D2_PartitionedCity_MuleBridge,D3_Aftershock_ErraticMobility,D4_MedicalTriage_TwoClasses,D5_UAVMule_FastRoute_HelsinkiMedium,D6_ShortTtlCritical_5to10min,D7_HighLoad_TrafficStorm,D8_InfrastructureReturns_BackboneLinks,R1_Rural_RandomWaypoint,R2_VillagesTrails_ThreeClusters,R3_WildlifeTracking,R4_ParkRangers_HelsinkiMedium,R5_MountainRescue,R6_SparseLongRange,R7_SparseTinyBuffer,R8_IntermittentPower,S01A_Urban_WorkingDay_HelsinkiMedium,S01A_Urban_WorkingDay,S1_StrongCommunities_SeparateClusters,S2_WeakCommunities_HighMixing,S3_PeriodicMeetings_RegularRhythm,S4_RandomMixing_NoHotspots,S5_TwoLayer_StudentsStaff,S6_FamilyGroups_SmallPersistent,T10_HighRateLowSpeed_Congestion,T1_ManySmallMsgs_HighRate,T2_FewHugeMsgs_LowRate,T3_MixedBimodal_SmallAndLarge,T4_VeryShortTtl_5to10min,T5_VeryLongTtl_6to24h,T6_UniformSources_RandomFromTo,T7_TargetedToHubs_FewDestinations,T8_BurstTraffic_TimeWindows,T9_BufferStress_SmallBufferHighTraffic,U10_WorkdayLong_HelsinkiMedium,U11_OfficeWaitHeavyTail_HelsinkiMedium,U12_HighTimeVariance_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium,U2_RetailHeavy_HelsinkiMedium,U3_NightlifeClusters_HelsinkiMedium,U4_RainyDay_SlowMobility_HelsinkiMedium,U5_SparseSuburb_HelsinkiMedium,U6_DenseDowntown_HelsinkiMedium,U7_MicroMobility_HelsinkiMedium,U8_CongestionHotspot_HelsinkiMedium,U9_WorkdayShort_HelsinkiMedium,V1_TaxiLow_HelsinkiMedium,V2_TaxiHigh_HelsinkiMedium,V3_BusOnlyCarriers_HelsinkiMedium,V4_MixedBusPed_HelsinkiMedium,V5_RushHourBusDensity_HelsinkiMedium,V6_CarOwnership_0_HelsinkiMedium,V7_CarOwnership_100_HelsinkiMedium,V8_RoadClosure_HelsinkiMedium,default_scenario
C1_Campus_ClassChange,1.0,0.9170786637985229,0.34813500680031045,0.9367438357485148,-0.8741149013791747,-0.9685569908846416,0.864092214200208,0.8678918969369978,0.6935896130236088,0.9376571117544009,-0.8952222424765282,-0.7646359053481003,0.5381893359354395,0.6405242525232996,-0.7481559291109696,0.858424809563556,-0.9975813250086767,0.01051769992074755,-0.997670159101965,0.8178377875167292,-0.9972918886250532,-0.6313834872017025,0.3585008500892521,-0.7030899374973738,-0.8847337355516638,-0.8847337355516638,0.42088839713823656,0.9060291544197567,-0.8642425104365039,-0.9241471079958646,-0.9636960111234762,0.6768408112494221,-0.6952396049003043,-0.9151913354717339,-0.9965350766155693,-0.9083378868946659,-0.9972651878865065,-0.767849883154853,-0.8444684728587881,-0.7068156733551142,-0.8414005787250145,-0.9160109429926514,-0.8847337355516638,-0.5977682463270629,-0.5973150228231722,-0.6839832180781589,-0.6854893986514559,-0.6643161977930513,-0.7773795749808079,-0.3239217690518868,-0.49299523465242795,-0.25299414595511943,-0.7614550726196805,-0.6458784508662458,0.9220505923427867,0.33182184455450014,0.7518362891699557,-0.5735953593005815,-0.6974813017200124,-0.4035651603272012,-0.9597379264091593,-0.7858846194156985,-0.8847337355516638
C2_ExamDay_LongStays,0.9170786637985229,1.0,0.6918225758552783,0.8698532274702376,-0.7399178136320688,-0.8788823169193842,0.9930057492363806,0.631654767809528,0.3506209936508411,0.7221050793695349,-0.6436902313250235,-0.4442802699007679,0.18306984695017672,0.39083172855612025,-0.623060018532814,0.5838945476206231,-0.9424113334650891,0.38408333071383877,-0.9400522519885585,0.9729001996472089,-0.9438365138712342,-0.318717634945536,0.12325176195745638,-0.37709146224057155,-0.6503283909717096,-0.6503283909717096,0.034142250467333386,0.999456134634591,-0.5975429222465432,-0.6953762720941112,-0.8839222303217834,0.3770064146044976,-0.377757546304215,-0.6894274202064226,-0.9455982757631163,-0.6702951340414234,-0.9439278142079677,-0.44940615238277637,-0.5748358166003678,-0.6872755196879623,-0.5698106070501194,-0.6958744421499318,-0.6503283909717096,-0.7732282869184118,-0.7633286357896576,-0.6582346438136927,-0.7603923321980898,-0.5832098705865446,-0.8651073323547932,0.0456674252444497,-0.7264822263064452,-0.5534606316810085,-0.8353268149111344,-0.8660673970040461,0.9999185109045797,-0.041044951488781165,0.8704114576915994,-0.7453673956706015,-0.8468675718919624,-0.5955805380598328,-0.8217797573529635,-0.8101395978009838,-0.6503283909717096
C3_Hackathon_24h,0.34813500680031045,0.6918225758552783,1.0,0.32509233394008563,-0.1943707626963609,-0.3339159030881888,0.7721618740015105,-0.10375439971848975,-0.43353399906361506,0.0007159359160829671,0.10168739342913866,0.33606566410810434,-0.5160176405613768,-0.19334768178790812,-0.06411557879430646,-0.1818387688437296,-0.41242825567426444,0.9070740998863972,-0.4081488532132817,0.8173504783354296,-0.4153095814755713,0.42179207874186514,-0.29820288125189737,0.4002585954605496,0.051884068779760324,0.051884068779760324,-0.6938872496655939,0.7119324532743858,0.16506483656100718,0.03623041260416504,-0.3559386961053302,-0.3046163548974901,0.3897569337689731,0.04358994379799165,-0.41937239127424747,0.07202104514801883,-0.4155044099667879,0.32632775153931587,0.1881584430311311,-0.2848372530770323,0.19432786997827006,0.032091201580580715,0.051884068779760324,-0.7783841448926897,-0.7577397175939853,-0.36535729921597837,-0.5962918308338186,-0.22640212528505385,-0.6649822308617153,0.7202329498056254,-0.8547551595590247,-0.8817180497097545,-0.6276123168123712,-0.8915626427823461,0.68255134999168,-0.6656906517604949,0.7217916332041159,-0.7594613625082042,-0.7656433607860584,-0.7231317199137408,-0.21537450497095492,-0.5265896456051408,0.051884068779760324
C4_Stadium_IngressEgress,0.9367438357485148,0.8698532274702376,0.32509233394008563,1.0,-0.6539708264254928,-0.8202215565453984,0.8170427988413581,0.8986899937767924,0.658143154658532,0.8818030244403872,-0.8165001784355724,-0.69915984881562,0.3705933150461069,0.3812112602146529,-0.92142711567525,0.8093953655077477,-0.9337213525811456,-0.08457758373686132,-0.9271125673423057,0.7335624314182068,-0.9381033180163852,-0.7198056337464533,0.050273514419758775,-0.7221938705552433,-0.7366732287298946,-0.7366732287298946,0.4436791489004882,0.8532867123868263,-0.837331210162778,-0.8618672092104124,-0.8095703602987157,0.4743469760119767,-0.7394486726743823,-0.8978477277862572,-0.944179243272417,-0.8717392558584875,-0.9383975130663803,-0.6860472911323924,-0.8439337986621066,-0.9092357952495638,-0.8405302331034468,-0.908885425593013,-0.7366732287298946,-0.3765463579591656,-0.36742015368599995,-0.38969330574334476,-0.42466124197466015,-0.36068753227966577,-0.5640535178231678,-0.41807960488080076,-0.29464552841319624,-0.07217398992631562,-0.530779729276295,-0.5071000054235346,0.8747751984592004,0.15700357621933425,0.549615559633053,-0.34039498704178284,-0.4952572673933396,-0.1423412597593092,-0.8114124949618197,-0.5411402194504015,-0.7366732287298946
C5_Festival_MultiHotspots_HelsinkiMedium,-0.8741149013791747,-0.7399178136320688,-0.1943707626963609,-0.6539708264254928,1.0,0.9642956597724772,-0.6853653707233077,-0.694645364009212,-0.6804272629556092,-0.8562196252556312,0.8646365317220088,0.7677044245974487,-0.7393825334188002,-0.9072703488518705,0.38177629863132245,-0.8041499345112899,0.8647694459262715,-0.02192697483984875,0.8744048951754403,-0.6912408808416757,0.8578725974095641,0.4603120688172413,-0.7514895351207467,0.6106657863360453,0.9429660211342705,0.9429660211342705,-0.40781200956161334,-0.7355955492764278,0.7770860080104266,0.8582986232659646,0.9652542300651739,-0.8751010706160757,0.5689880447096884,0.7912566619954006,0.8475261816886271,0.8150787065031916,0.8573935403869558,0.7911345344322526,0.728018602804355,0.2801272388701851,0.7266964525942291,0.7767226601861126,0.9429660211342705,0.6972726022454391,0.7111895252973757,0.9198059512486682,0.8467476370207099,0.9335997473435843,0.8506249221941531,0.23426629076720246,0.5695192440172795,0.34257020838024993,0.8654563987541742,0.611990857875476,-0.745301188990895,-0.596157105809199,-0.8071957941545628,0.6956637011226942,0.7563665390730039,0.5963636893355473,0.9719508075164104,0.9175491860747209,0.9429660211342705
C6_Conference_Networking_HelsinkiMedium,-0.9685569908846416,-0.8788823169193842,-0.3339159030881888,-0.8202215565453984,0.9642956597724772,1.0,-0.829369549772252,-0.7815411909011045,-0.6688625239431775,-0.9071981976790652,0.8846571866041311,0.7554929494848136,-0.619387538395147,-0.7777844302236339,0.5687391447379112,-0.8298739218490101,0.9664559035577932,-0.07319139005190664,0.9713177959088075,-0.8128279536410039,0.9628548826546312,0.5232192926799029,-0.552103519352909,0.6387297754738309,0.9240080869113942,0.9240080869113942,-0.37635742814041134,-0.872489139139535,0.8194598946231627,0.8994341262585306,0.9995178189694748,-0.7715067433153522,0.6135758999143106,0.8592440788391,0.9572799411652093,0.8667179670798539,0.9626012212169822,0.7700260050967177,0.7825235722912245,0.5087704535316926,0.7799518531863932,0.8526876916063394,0.9240080869113942,0.7067334763526869,0.7125722825685067,0.8403092601933037,0.8168696039710872,0.8293832713118227,0.8678108473545134,0.23604235985380548,0.5931957787657742,0.3585694182599062,0.8655785499248224,0.6921337986365383,-0.8835599468850933,-0.43427402249028035,-0.8360272278333991,0.692968768698531,0.7855417764142217,0.5557423994304269,0.9923729817677457,0.8986393443316336,0.9240080869113942
C7_Library_Quiet,0.864092214200208,0.9930057492363806,0.7721618740015105,0.8170427988413581,-0.6853653707233077,-0.829369549772252,1.0,0.537912064748894,0.23780309022199406,0.6357314890444056,-0.550355606825172,-0.33650984023704,0.07884370124064755,0.315571155124022,-0.5558410382486841,0.4842581646386304,-0.8968918856781667,0.4874113530696883,-0.8942109010692373,0.990236466952204,-0.8985512725833875,-0.20995253839704953,0.06385255681681432,-0.2657600241576473,-0.5653057971987214,-0.5653057971987214,-0.08383983794879483,0.9958949198867083,-0.4986939132397975,-0.6062769411644402,-0.8374844933684835,0.2844192560259144,-0.267714535671852,-0.5992173507544595,-0.900669804056622,-0.5780131560475591,-0.8986589518126822,-0.34283687665239576,-0.4745851509253816,-0.6480062537770533,-0.4691624373497737,-0.6066245170074577,-0.5653057971987214,-0.8102255590454576,-0.7982650352234537,-0.6425638381410907,-0.7696969060629313,-0.5539991539864526,-0.8723352829345216,0.15930852404245474,-0.7813068838218299,-0.633363237943954,-0.8402805649953502,-0.9092163933350367,0.9914177806507571,-0.14257630332980115,0.8861393731824595,-0.7828021704067458,-0.8726161962963954,-0.6455629576196323,-0.7597712591061614,-0.8018030689705398,-0.5653057971987214
C8_EmergencyDrill_Evacuation,0.8678918969369978,0.631654767809528,-0.10375439971848975,0.8986899937767924,-0.694645364009212,-0.7815411909011045,0.537912064748894,1.0,0.9190430276913412,0.9663679652526613,-0.9521667612316104,-0.9294037057158242,0.698488523777323,0.5956562810934531,-0.8933081474488891,0.9703162164596634,-0.835234459538629,-0.4730984058136836,-0.8326435091781441,0.44157641104094764,-0.8368453176017141,-0.9330899753188827,0.30752854884848885,-0.9518379635018115,-0.869719565024753,-0.869719565024753,0.7871495339577493,0.6066951262262958,-0.9842081216875623,-0.9644442485087065,-0.7621461489396172,0.7254322308027876,-0.956042013677958,-0.9894939244019567,-0.8389137821142955,-0.9818578007655482,-0.8369500908539972,-0.9170027353831927,-0.9919993033540457,-0.7674846033032569,-0.9913202707161027,-0.9921795653736765,-0.869719565024753,-0.12826832729994542,-0.13126726726131346,-0.3603287536544741,-0.27874566752898344,-0.396808773950389,-0.37866440222012104,-0.7449563424038886,0.003392238386511726,0.2610090746520357,-0.36674754079974314,-0.18503242881531892,0.6412266330600284,0.5411629205877715,0.33280409958728335,-0.1027367107864807,-0.25429226957450646,0.08235016848413876,-0.8267461584615868,-0.42973702179748435,-0.869719565024753
D1_ShelterHotspots_Clusters,0.6935896130236088,0.3506209936508411,-0.43353399906361506,0.658143154658532,-0.6804272629556092,-0.6688625239431775,0.23780309022199406,0.9190430276913412,1.0,0.9007192594455058,-0.9369940773671842,-0.9918225713320146,0.905156996726082,0.750363460450916,-0.6834706838911186,0.9648978289818355,-0.6418399622633807,-0.6924306999942551,-0.6447944726637668,0.1561437989628096,-0.6396392209179552,-0.9386867071114934,0.5557152485127953,-0.9870142338500179,-0.8842980301496889,-0.8842980301496889,0.9404566647905093,0.32417034032808917,-0.9590086578255959,-0.9156577914688875,-0.646897045272006,0.8744064809501245,-0.9729402053946121,-0.9154720060317658,-0.6362149488100932,-0.9294932802066436,-0.6394838460086721,-0.9864263230705034,-0.9593103353293919,-0.4758820920486691,-0.9610673673274862,-0.908069133345993,-0.8842980301496889,0.03482037487964177,0.01994355527044845,-0.3610214591798608,-0.1872012182538734,-0.4481816054706129,-0.22607517976638253,-0.8715790462586359,0.1931439241919005,0.4443373913679784,-0.23832775044825874,0.07017770256003862,0.36253577572337187,0.8205316920538788,0.15849060202657378,0.04435934401402882,-0.07236399769000013,0.18226962880498077,-0.7513951249827959,-0.3386092234994344,-0.8842980301496889
D2_PartitionedCity_MuleBridge,0.9376571117544009,0.7221050793695349,0.0007159359160829671,0.8818030244403872,-0.8562196252556312,-0.9071981976790652,0.6357314890444056,0.9663679652526613,0.9007192594455058,1.0,-0.9920445572733971,-0.9397383968755739,0.761956549551031,0.7493882563802713,-0.7798261074851038,0.9831861504144599,-0.9112306465738601,-0.3273225931695764,-0.9127431304536884,0.568636234796504,-0.9099710594293846,-0.8330290345767499,0.48574175376089873,-0.8999075626351235,-0.9606393056647895,-0.9606393056647895,0.7073538896524525,0.7027096804288512,-0.9837405755968298,-0.9990986865211843,-0.8936980024847563,0.8308495004813817,-0.8882604990695915,-0.9933887755238673,-0.9078286634662759,-0.9961200986108778,-0.9098783990117323,-0.9391523804549187,-0.9718383821623403,-0.654595596289207,-0.9708390372403994,-0.9902597278748867,-0.9606393056647895,-0.3445409880760115,-0.3514897282514452,-0.5878750799767003,-0.5047395493779049,-0.6181283079689213,-0.5786401091681418,-0.6153256586917379,-0.2048867316160521,0.06105077943874728,-0.5750418054314642,-0.3560636880261946,0.7308511539130145,0.5967888499713,0.5305782975474893,-0.32542959978134217,-0.45626076026256535,-0.15655113038901783,-0.9417095219465742,-0.6382250526666279,-0.9606393056647895
