file_path,file_type,rows,columns,expected_scope,detected_scope,producer_script,consumer_scripts,used_by_dashboard,used_by_wiki,used_by_paper,status,recommended_action,archive_target,notes
analysis/data/ablation_metrics.csv,csv,3,8,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py|analysis/scripts/paper/build_paper_figures_tables_index.py|analysis/dashboard/pages/analysis_pipeline.py,YES,NO,YES,REGENERATE_REQUIRED,regenerate ablation in current env,,
analysis/data/analysis_artifact_producers.csv,csv,51,14,570_combined_or_documented_subset,n/a,unknown,,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/base_scenarios_map_migration.csv,csv,45,10,570_combined_or_documented_subset,45_base_like,unknown,,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/base_scenarios_validation.csv,csv,45,8,570_combined_or_documented_subset,n/a,analysis/validate_base_scenarios.py,analysis/validate_base_scenarios.py,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/benchmark_definition.csv,csv,720,8,570_combined_or_documented_subset,legacy_720_like,analysis/run_all_scenarios.py,analysis/run_all_scenarios.py|analysis/validate_base_scenarios.py|analysis/lib/benchmark_select.py|analysis/scripts/wiki/populate_wiki_paper.py,NO,YES,NO,REGENERATE_REQUIRED,regenerate_for_570_or_archive_if_unused,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/cluster_assignments.csv,csv,720,2,570_combined_or_documented_subset,legacy_720_like,analysis/run_analysis.py,analysis/run_analysis.py|analysis/scripts/paper/build_paper_figures_tables_index.py,NO,NO,YES,REGENERATE_REQUIRED,regenerate_for_570_or_archive_if_unused,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/cluster_assignments_core23.csv,csv,720,2,570_combined_or_documented_subset,legacy_720_like,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,REGENERATE_REQUIRED,regenerate_for_570_or_archive_if_unused,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/corpus_benchmark_validation.csv,csv,540,15,570_combined_or_documented_subset,570_combined,analysis/dashboard/data_loaders.py,analysis/analysis_menu.py|analysis/dashboard/data_loaders.py|analysis/scripts/paper/analyze_traffic_profile_kpis.py|analysis/scripts/paper/build_paper_freeze_checklist.py|analysis/scripts/validation/validate_corpus_benchmark.py|analysis/dashboard/pages/corpus_audit.py,YES,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/corpus_v1_combined_manifest.csv,csv,540,13,570_combined_or_documented_subset,570_combined,analysis/lib/paths.py,analysis/lib/paths.py|analysis/scripts/wiki/populate_wiki_paper.py,NO,YES,NO,KEEP_CANONICAL,keep,,
analysis/data/corpus_v2_benchmark_validation.csv,csv,720,15,570_combined_or_documented_subset,legacy_720_like,unknown,,NO,NO,NO,ARCHIVE_LEGACY,archive,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/corpus_v2_revision_prioritized.csv,csv,996,11,570_combined_or_documented_subset,n/a,unknown,,NO,NO,NO,ARCHIVE_LEGACY,archive,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/corpus_v2_revision_summary.csv,csv,60,13,570_combined_or_documented_subset,n/a,unknown,,NO,NO,NO,ARCHIVE_LEGACY,archive,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/correlation_pearson.csv,csv,540,571,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py|analysis/run_figures_aggregated.py|analysis/dashboard/data_loaders.py|analysis/scripts/paper/build_paper_figures_tables_index.py|analysis/dashboard/pages/analysis_pipeline.py,YES,NO,YES,KEEP_CANONICAL,keep,,
analysis/data/correlation_pearson_core23.csv,csv,540,571,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/correlation_pearson_outputs.csv,csv,720,721,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py|analysis/dashboard/pages/analysis_pipeline.py,YES,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/correlation_pearson_pvalues.csv,csv,540,571,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/correlation_spearman.csv,csv,540,571,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py|analysis/scripts/paper/build_paper_figures_tables_index.py,NO,NO,YES,KEEP_CANONICAL,keep,,
analysis/data/correlation_spearman_outputs.csv,csv,720,721,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/distance_cosine.csv,csv,540,571,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,KEEP_CANONICAL,keep,,
analysis/data/distance_cosine_core23.csv,csv,540,571,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/distance_cosine_outputs.csv,csv,720,721,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/distance_euclidean.csv,csv,540,571,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,KEEP_CANONICAL,keep,,
analysis/data/distance_euclidean_outputs.csv,csv,720,721,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/feature_decision_deltas.csv,csv,46,6,570_combined_or_documented_subset,n/a,unknown,,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/feature_feature_correlation_core.csv,csv,23,24,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py|analysis/scripts/paper/build_paper_figures_tables_index.py|analysis/dashboard/pages/analysis_pipeline.py,YES,NO,YES,KEEP_CANONICAL,keep,,
analysis/data/features.csv,csv,540,47,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py|analysis/dashboard/data_loaders.py|analysis/scripts/wiki/populate_wiki_paper.py|analysis/scripts/paper/build_paper_freeze_checklist.py|analysis/dashboard/pages/analysis_pipeline.py,YES,YES,YES,KEEP_CANONICAL,keep,,
analysis/data/features_core.csv,csv,540,24,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py|analysis/run_figures_aggregated.py|analysis/dashboard/data_loaders.py|analysis/scripts/wiki/populate_wiki_paper.py|analysis/scripts/paper/build_paper_freeze_checklist.py,YES,YES,YES,KEEP_CANONICAL,keep,,
analysis/data/features_normalized.csv,csv,540,47,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py|analysis/run_figures_aggregated.py|analysis/scripts/wiki/populate_wiki_paper.py|analysis/scripts/paper/build_paper_figures_tables_index.py|analysis/dashboard/pages/analysis_pipeline.py,YES,YES,YES,KEEP_CANONICAL,keep,,
analysis/data/features_reduced.csv,csv,540,18,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py|analysis/run_figures_aggregated.py|analysis/scripts/wiki/populate_wiki_paper.py,NO,YES,YES,KEEP_CANONICAL,keep,,
analysis/data/indirect_features_diego.csv,csv,540,18,570_combined_or_documented_subset,570_combined,analysis/run_analysis.py,analysis/run_analysis.py|analysis/dashboard/data_loaders.py|analysis/scripts/wiki/build_wiki_research_reports.py|analysis/scripts/wiki/populate_wiki_paper.py|analysis/scripts/paper/analyze_traffic_profile_kpis.py|analysis/scripts/paper/build_message_analysis_window_policy.py|analysis/scripts/paper/build_paper_freeze_checklist.py|analysis/scripts/validation/diagnose_scenarios.py|analysis/scripts/validation/validate_corpus_benchmark.py|analysis/scripts/validation/validate_traffic_profiles.py|analysis/dashboard/pages/analysis_pipeline.py,YES,YES,YES,KEEP_SUPPORT,keep,,
analysis/data/map_inventory.csv,csv,7,19,570_combined_or_documented_subset,n/a,unknown,,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/map_policy_validation.csv,csv,720,10,570_combined_or_documented_subset,legacy_720_like,unknown,,NO,NO,NO,REGENERATE_REQUIRED,regenerate_for_570_or_archive_if_unused,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/message_analysis_window_by_tp.csv,csv,12,13,570_combined_or_documented_subset,n/a,analysis/scripts/paper/build_message_analysis_window_policy.py,analysis/scripts/paper/build_message_analysis_window_policy.py,NO,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/message_analysis_window_policy.csv,csv,720,15,570_combined_or_documented_subset,legacy_720_like,analysis/dashboard/data_loaders.py,analysis/dashboard/data_loaders.py|analysis/scripts/paper/build_message_analysis_window_policy.py|analysis/scripts/paper/build_paper_freeze_checklist.py|analysis/dashboard/pages/message_window.py,YES,NO,YES,REGENERATE_REQUIRED,regenerate_for_570_or_archive_if_unused,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/message_creation_time_summary.csv,csv,720,17,570_combined_or_documented_subset,legacy_720_like,analysis/dashboard/data_loaders.py,analysis/dashboard/data_loaders.py|analysis/scripts/wiki/populate_wiki_paper.py|analysis/scripts/paper/analyze_traffic_profile_kpis.py|analysis/scripts/paper/build_message_analysis_window_policy.py|analysis/scripts/paper/build_paper_figures_tables_index.py|analysis/scripts/validation/analyze_message_creation_times.py|analysis/scripts/validation/validate_corpus_benchmark.py,YES,YES,YES,REGENERATE_REQUIRED,regenerate_for_570_or_archive_if_unused,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/normalization_params.csv,csv,46,3,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py|analysis/scripts/wiki/populate_wiki_paper.py,NO,YES,YES,KEEP_CANONICAL,keep,,
analysis/data/output_metrics.csv,csv,566,5,570_combined_or_documented_subset,partial_566,analysis/run_analysis.py,analysis/analysis_menu.py|analysis/run_analysis.py|analysis/run_figures_aggregated.py|analysis/dashboard/data_loaders.py|analysis/scripts/wiki/build_wiki_research_reports.py|analysis/scripts/wiki/populate_wiki_paper.py|analysis/scripts/paper/analyze_traffic_profile_kpis.py|analysis/scripts/paper/build_message_analysis_window_policy.py|analysis/scripts/paper/analyze_spatial_vs_performance.py|analysis/scripts/paper/build_paper_freeze_checklist.py|analysis/scripts/paper/build_inventory_update_report.py|analysis/scripts/paper/build_paper_figures_tables_index.py|analysis/scripts/validation/diagnose_scenarios.py|analysis/scripts/validation/validate_corpus_benchmark.py|analysis/scripts/validation/validate_traffic_profiles.py|analysis/dashboard/pages/analysis_pipeline.py,YES,YES,YES,REGENERATE_REQUIRED,refresh missing simulation outputs,,"rows=566, expected around 540 combined"
analysis/data/output_metrics.csv.example,example,,,570_combined_or_documented_subset,n/a,unknown,,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/output_metrics_normalized.csv,csv,720,5,570_combined_or_documented_subset,legacy_720_like,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,REGENERATE_REQUIRED,regenerate_for_570_or_archive_if_unused,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/paper_freeze_checklist.csv,csv,48,7,570_combined_or_documented_subset,n/a,analysis/scripts/paper/build_paper_freeze_checklist.py,analysis/analysis_menu.py|analysis/scripts/paper/build_paper_freeze_checklist.py,NO,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/protocol_benchmark_kpi_definitions.csv,csv,48,6,570_combined_or_documented_subset,n/a,analysis/dashboard/data_loaders.py,analysis/dashboard/data_loaders.py|analysis/scripts/paper/build_protocol_benchmark_kpi_policy.py|analysis/scripts/paper/build_paper_freeze_checklist.py|analysis/dashboard/pages/protocols.py,YES,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/realism_thresholds.yaml,yaml,,,570_combined_or_documented_subset,n/a,analysis/scripts/validation/diagnose_scenarios.py,analysis/scripts/validation/diagnose_scenarios.py,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/reports_reorganization_manifest.csv,csv,46,11,570_combined_or_documented_subset,n/a,unknown,,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/scenario_diagnosis.csv,csv,720,17,570_combined_or_documented_subset,legacy_720_like,analysis/dashboard/data_loaders.py,analysis/analysis_menu.py|analysis/dashboard/data_loaders.py|analysis/lib/scenario_diagnosis.py|analysis/scripts/wiki/build_wiki_research_reports.py|analysis/scripts/validation/diagnose_scenarios.py|analysis/scripts/validation/validate_corpus_benchmark.py|analysis/dashboard/pages/corpus_audit.py,YES,YES,NO,REGENERATE_REQUIRED,regenerate_for_570_or_archive_if_unused,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/scenario_list.txt,txt,,,570_combined_or_documented_subset,n/a,analysis/run_analysis.py,analysis/run_analysis.py,NO,NO,YES,KEEP_SUPPORT,keep,,
analysis/data/settings_audit.csv,csv,720,28,570_combined_or_documented_subset,legacy_720_like,analysis/dashboard/data_loaders.py,analysis/analysis_menu.py|analysis/dashboard/data_loaders.py|analysis/scripts/wiki/build_wiki_research_reports.py|analysis/scripts/paper/build_paper_freeze_checklist.py|analysis/scripts/validation/audit_settings.py|analysis/scripts/validation/diagnose_scenarios.py,YES,YES,YES,REGENERATE_REQUIRED,regenerate_for_570_or_archive_if_unused,scenarios/_archive/analysis_cleanup_*/data/,
analysis/data/simulation_completion_status.csv,csv,540,11,570_combined_or_documented_subset,570_combined,unknown,,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/simulation_pending.txt,txt,,,570_combined_or_documented_subset,n/a,unknown,,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/simulation_pending_not_started.txt,txt,,,570_combined_or_documented_subset,n/a,unknown,,NO,NO,NO,KEEP_SUPPORT,keep,,
analysis/data/simulation_status_temp.csv,csv,540,9,570_combined_or_documented_subset,570_combined,unknown,,NO,NO,NO,KEEP_SUPPORT,keep,,
