,U1_CBD_Commuting_HelsinkiMedium,U5_SparseSuburb_HelsinkiMedium,U7_MicroMobility_HelsinkiMedium,U8_CongestionHotspot_HelsinkiMedium,U9_WorkdayShort_HelsinkiMedium,U11_OfficeWaitHeavyTail_HelsinkiMedium,U12_HighTimeVariance_HelsinkiMedium,C1_Campus_ClassChange,C2_ExamDay_LongStays,C3_Hackathon_24h,C4_Stadium_IngressEgress,C7_Library_Quiet,C8_EmergencyDrill_Evacuation,V1_TaxiLow_HelsinkiMedium,V2_TaxiHigh_HelsinkiMedium,V3_BusOnlyCarriers_HelsinkiMedium,V6_CarOwnership_0_HelsinkiMedium,V7_CarOwnership_100_HelsinkiMedium,R10_TinyRange_5m,R11_SpeedExtremeLow,R12_SpeedExtremeHigh,R1_Rural_RandomWaypoint,R2_VillagesTrails_ThreeClusters,R3_WildlifeTracking,R4_ParkRangers_HelsinkiMedium,R5_MountainRescue,R6_SparseLongRange,R7_SparseTinyBuffer,R8_IntermittentPower,R9_ExtremeRange_200m,D1_ShelterHotspots_Clusters,D2_PartitionedCity_MuleBridge,D3_Aftershock_ErraticMobility,D4_MedicalTriage_TwoClasses,D5_UAVMule_FastRoute_HelsinkiMedium,D6_ShortTtlCritical_5to10min,D7_HighLoad_TrafficStorm,D8_InfrastructureReturns_BackboneLinks,D9_Critical_1minTTL,S1_StrongCommunities_SeparateClusters,S2_WeakCommunities_HighMixing,S3_PeriodicMeetings_RegularRhythm,S4_RandomMixing_NoHotspots,S5_TwoLayer_StudentsStaff,S6_FamilyGroups_SmallPersistent,T10_HighRateLowSpeed_Congestion,T11_TTL_1min,T12_TTL_Infinite_Buffer200M,T13_Buffer_256k,T14_Buffer_200M,T15_TransmitSpeed_256k,T1_ManySmallMsgs_HighRate,T2_FewHugeMsgs_LowRate,T3_MixedBimodal_SmallAndLarge,T4_VeryShortTtl_5to10min,T5_VeryLongTtl_6to24h,T6_UniformSources_RandomFromTo,T7_TargetedToHubs_FewDestinations,T8_BurstTraffic_TimeWindows,T9_BufferStress_SmallBufferHighTraffic
U1_CBD_Commuting_HelsinkiMedium,0.0,5.737685772952896,4.956113153650735,3.3818674626240917,4.69741968045101,5.577867668899625,5.330893097433338,10.083729830982378,8.212648951014256,10.278092689121276,10.575305574679547,8.184783424759404,14.114444050507597,7.6530361898351735,6.961476801652172,5.016406193425501,4.283157642964062,4.825560904779235,6.866392105177394,6.955309058490987,6.0694917729938,7.663693386756446,7.248606046434187,8.160459210331483,7.546289883932113,7.530933538531503,10.21299845418046,7.043686529833498,10.163738755046296,8.881492772123195,7.0184890435912415,8.7439945445542,6.823809850082826,10.063030126971967,6.733380029961754,7.16850438122494,6.545517526865372,9.103282003944907,6.912212966507628,6.9887339500899746,6.0484000912634945,6.907269384807781,6.398186740788055,5.993308194130348,9.803017063171339,8.466695281851948,6.981172461850436,8.026918473543786,7.06973096129891,8.30329828230419,8.185882186095833,6.649651135053497,10.166478884355744,7.601535827642196,7.312137713184169,6.858112505203454,6.396999248784583,9.326199009722824,10.25662889036491,6.645687649218017
U5_SparseSuburb_HelsinkiMedium,5.737685772952896,0.0,7.430456037154998,6.5655369836846145,6.532589156033319,5.9626364256957265,6.456944709773775,11.108337985718153,9.353246436911506,11.232616663525034,11.705330614713901,9.184922515943898,14.952506377827344,7.77706767553871,7.761063148969157,5.532835735920452,6.393872568364726,6.508348336906916,7.688811256790321,7.275352350863068,7.340909795014473,7.117110052383097,8.087217613575998,8.456131755995738,7.916137976872773,8.224266188116081,9.767176522923215,7.656671228715047,10.755820827719278,9.615399125044787,8.31391174038079,9.819075447815505,7.86493595824189,10.858609391825667,7.609629956236438,8.246340984567702,7.809418648511402,10.19821774279131,7.9254186740281645,8.376276259710915,7.6670348626533205,8.203768486139598,7.578397730184226,7.379917475228043,10.50417939477998,9.028055756547987,8.048766221345323,8.776129546564954,7.981302877766243,9.190054887086403,8.676186724481266,7.824338139797922,10.866123464723225,8.508624176782073,8.30904861484588,7.826380728097237,7.532790248390012,10.079463117488999,10.893014374376746,7.696590911606643
U7_MicroMobility_HelsinkiMedium,4.956113153650735,7.430456037154998,0.0,3.8365206051273795,4.155241216953363,5.185648901092878,4.204065066009476,10.472846801799282,8.17287407860674,10.59920798201929,10.694692006638817,8.60720243553317,14.199976077125733,8.551904830241048,8.059830259518327,6.84660704915976,4.283338860744705,5.180845485623771,7.8900352245650645,8.15293007942835,7.026920251408867,8.991578379793829,8.219097999898946,9.274353743136746,8.893696853738696,7.891640487778717,10.774774231193428,7.093563445730611,10.762101697190186,9.608386121027028,7.372254314254645,9.047013618564755,6.89084841295898,10.11338381810313,7.461762266736642,7.150253089069249,6.973824689043664,9.29518322118738,7.049469162703199,6.953387177610529,6.400129435864397,6.989997666850944,6.95583527894429,6.501539682691588,10.44827733542682,8.37455795539036,7.093193949009847,9.4356848621235,7.266073414480528,9.06429889819931,8.508807326568641,7.490788707672619,10.94838084052211,8.376683801841073,7.152899598779362,7.1006606022827,7.471298869540587,9.971974157707415,10.447331848712277,7.128468315906661
U8_CongestionHotspot_HelsinkiMedium,3.3818674626240917,6.5655369836846145,3.8365206051273795,0.0,3.45075086712782,4.94962908378881,4.03940252267972,9.773188119622729,7.494909141672302,9.75549946193856,10.18553622536295,7.752081051997937,13.890779600040126,7.626569127785811,6.672973719891566,4.781119555772547,3.268155961956447,4.52264269740049,6.552241636945455,6.873341578489298,5.614609255624058,7.895791746786485,7.0355211867337974,8.061663872303432,7.374357138813368,6.910594810473301,10.45131318839194,6.544573456553362,9.986088186153177,8.682111521516534,6.695474820030168,8.33328327539752,6.161984355957056,9.579826641805786,6.5675740336188255,6.459944423481385,6.226235919327649,8.709485607317442,6.19120481895153,6.7106593259899325,5.579624085284901,6.08385818053131,6.0648546301795605,5.640554530945234,9.591762864429587,8.344360360385105,6.220431608191401,7.7385862734403394,6.378366277305162,7.650494400671131,8.06688622237937,6.204638709578243,9.965873089654103,7.326204679827956,6.631512405254219,6.228771942165762,5.9968202700225195,9.103345059279672,9.915021438573431,6.337103255741709
U9_WorkdayShort_HelsinkiMedium,4.69741968045101,6.532589156033319,4.155241216953363,3.45075086712782,0.0,4.674278219634069,4.161493439389101,10.05846285266771,7.585421147805087,10.040386008793524,10.518603979602213,7.876374646994941,14.098540047539075,7.417289652297988,7.001930965941772,5.164753228438702,3.599159602618946,5.2792851315783205,6.8973801725423,7.117525319085483,6.046594364612002,7.994847205238415,7.316438980988855,8.287751376815407,7.63629655542111,6.9915617360099604,9.984023638689436,6.518063607809388,10.12586335452382,8.96707038651848,7.03629216954008,8.683476734530435,6.227362605949797,9.64072494327706,6.84943823531035,6.5614070935438695,6.592586510481154,9.045119066322794,6.43158512326221,7.037130825961989,6.019001650205535,6.358494104077979,6.449962426766902,6.030526085359604,9.826179438277693,7.889416856267291,6.357101351047964,7.9605762498678825,6.5952324219346385,7.676181428539282,7.613590637055031,6.754854756659315,10.192931716318766,7.630196799863602,6.629121977003735,6.219210114208115,6.50964050156229,9.349801846015207,9.889770783184872,6.593538220039796
U11_OfficeWaitHeavyTail_HelsinkiMedium,5.577867668899625,5.9626364256957265,5.185648901092878,4.94962908378881,4.674278219634069,0.0,4.25962253643021,10.252947666994665,8.077786513891766,10.400812349292407,10.787034554988795,8.140657251432604,14.235081781784405,7.510205539405945,7.230987791806447,5.437195482310996,5.41174244645912,5.413734978519777,7.129468555608867,7.300250181532665,6.329783629337377,8.096315227206318,7.523223691857737,8.450954357805841,7.827524939242553,7.510977873690685,9.9321359165075,7.101484977279214,10.271378721063838,9.169682064033442,7.26718987182157,8.901535116888859,6.782781185637645,10.016407082623159,7.054570383781119,7.1127659025706595,6.871685807653381,9.253966127197593,7.064888986522219,7.259737136220103,6.305290789545035,6.986135984789521,6.747976269758027,6.2940267870996,9.98987160912706,7.936853893099347,7.000226279644118,7.919233026834851,7.245440587206236,7.908425143191691,7.616154356429749,7.1127538058292945,10.441421177345534,7.837749847516135,7.216347591740324,6.707115171915802,6.782077098775655,9.521816760778444,10.149368610459273,6.895520311439522
U12_HighTimeVariance_HelsinkiMedium,5.330893097433338,6.456944709773775,4.204065066009476,4.03940252267972,4.161493439389101,4.25962253643021,0.0,10.083670020774951,7.6943143117422705,10.205087819535155,10.648187343868175,7.865306952306552,14.099258263364586,7.117111091889605,7.031480375045147,5.185523602534552,4.17588921937021,4.824431056191472,6.93576269045142,7.118505279264969,6.099072586108738,7.9490980996144005,7.3388668990648105,8.28979174631677,7.652220511244026,7.118236698118242,9.487816379103178,6.579993909964056,10.093160557758955,8.905955665917084,7.074783796738535,8.736620896829427,6.366791012192304,9.738100688862092,6.863516902049763,6.706414055004602,6.630320633057877,9.096176726682593,6.656272172094253,7.068230730713611,6.076314487755032,6.600324413631551,6.487248394603889,6.070404239878307,9.850715624486742,7.396113405958151,6.511209393188355,7.992707710348596,6.800394902073116,7.801538940556604,7.12587070683835,6.8887978306612885,10.213700083635928,7.662579271421066,6.692096348224014,6.258914951658946,6.63954571374179,9.376088588444594,9.87960344821167,6.550758468344588
C1_Campus_ClassChange,10.083729830982378,11.108337985718153,10.472846801799282,9.773188119622729,10.05846285266771,10.252947666994665,10.083670020774951,0.0,8.034181045063798,9.998515115858753,11.231387539546775,7.926281227057128,14.154919983007577,10.229706371115267,10.078242412866725,9.37749066033674,9.815450582680423,10.193705445691839,7.567746928221293,7.971923234249953,8.578736927581287,9.479354423708557,8.950859502864562,7.230853402264075,9.045399149608736,8.693083685226895,10.754281935269503,8.5113299612205,10.935991087000394,9.526665082813594,8.638457278990847,9.235861249203465,8.111931497624877,11.233394158012903,9.085746240373382,8.568260546868677,8.368452212432747,10.040783698851861,8.217179016438347,8.97458573669173,7.620263747988431,7.842998550262795,7.555880091552311,7.6463311722198455,11.134126901262894,8.866772322934882,8.128182923876492,8.795174875748907,8.195850772058701,9.10610231515593,8.332188634269313,7.881508221281416,9.588050053493761,8.74934667181563,8.051619819152664,7.5223949030219694,7.562486561549498,10.22191821488855,11.15913306001405,7.901392326396107
C2_ExamDay_LongStays,8.212648951014256,9.353246436911506,8.17287407860674,7.494909141672302,7.585421147805087,8.077786513891766,7.6943143117422705,8.034181045063798,0.0,5.259872541462107,9.180224850641016,2.1316329458626826,13.204116788925715,8.21367666861851,8.151359009276717,7.128249029969617,7.653001097193378,8.337955380518938,3.970997291227308,4.5632060919174435,6.303182795602159,6.8725425560331415,6.375858631553715,4.690811520121089,6.70222324720091,4.8210759891062125,8.517998277857417,4.175508821404634,8.87560198117239,7.299765303491605,6.173810501008491,6.830307767829015,3.2353761238023653,8.74339841411612,6.869000562917754,4.739368827062513,5.570439335574407,7.8883898180887755,3.6286265595237555,6.606700725696657,4.815347940309931,3.2674931486149608,4.21450398286635,4.6727854128994935,9.047368455276777,5.816735354604491,3.845711008680796,6.325889258638017,3.8865044728379967,5.88187274763264,5.528908883509419,4.348999561979857,8.980954721390594,5.966040625856446,3.842262843375051,3.5748400279889547,4.321537306121186,8.04779660242659,8.593262307919247,4.404523289456197
C3_Hackathon_24h,10.278092689121276,11.232616663525034,10.59920798201929,9.75549946193856,10.040386008793524,10.400812349292407,10.205087819535155,9.998515115858753,5.259872541462107,0.0,12.20736700296091,5.582872078132736,15.921942779679373,10.49839184413131,10.28231212470034,9.431176798776262,9.982101530036065,10.46357339784543,6.983812815464224,7.0883929249238395,8.901372965439847,8.963511946908733,8.584528211518762,6.069569487352351,8.938485309965914,9.279701399251495,10.579988402454813,7.5277598513207735,10.76876858798055,9.566491365820346,8.781502767325184,9.266545924269597,6.805418321173118,10.88405963452498,9.248969507135515,9.304035738195655,9.59433521078252,10.08307637571613,7.146593513441075,9.041067456881725,7.921267341864958,6.93335672032653,7.328900601521481,7.749320674424637,10.561572661162582,8.901550624034122,7.415926773212828,8.760377040101258,7.271378782232738,8.723433533622782,8.624903357830743,7.356107601947392,10.75983202630203,8.481401529058518,8.153275605379088,7.275288918223326,7.332611110888619,10.052689063175738,10.692984819888776,7.554433826168955
C4_Stadium_IngressEgress,10.575305574679547,11.705330614713901,10.694692006638817,10.18553622536295,10.518603979602213,10.787034554988795,10.648187343868175,11.231387539546775,9.180224850641016,12.20736700296091,0.0,9.173880602174348,14.246755977916228,11.15542537680738,10.774470000107266,10.187580509393033,10.353269940128307,10.746362435139806,8.961094594507982,9.377415889351303,9.469634847018101,10.52656786564681,9.99168435743417,10.165832926266164,10.298921045356792,8.618884067735868,12.168351248054515,9.274542969610689,11.771963281229208,10.623182715675785,9.446874351361853,10.365987790054735,8.94113156625358,8.942257281651322,9.941354367953732,8.310026364785477,8.093768804636516,9.820154438232182,8.95951543426707,9.83314880486098,8.57527111335228,8.776764602863057,8.711379855260498,8.640716167901846,12.138251930200715,10.113895144613899,8.972719633105095,9.982445096904408,9.089171808934294,10.035109219150106,9.929825736698254,8.779819233684846,11.79985957785705,8.429465077630693,8.674207024297116,8.911059044208262,8.710533587132394,9.537136144190843,4.341542278303762,8.856737642310737
C7_Library_Quiet,8.184783424759404,9.184922515943898,8.60720243553317,7.752081051997937,7.876374646994941,8.140657251432604,7.865306952306552,7.926281227057128,2.1316329458626826,5.582872078132736,9.173880602174348,0.0,12.923154688297391,7.924722389785507,8.053711444086353,6.92057598098143,7.733157490733997,8.241031574100885,3.9748018425199696,4.412650769883171,6.202090986408021,6.7841087713821855,5.974844303699557,4.56994707061932,6.4771759898381465,5.602163205510141,8.310133753186609,4.92194452700815,8.751343872695664,7.43539075889874,6.108317136051107,7.341051173286972,4.022112485317573,9.091901242658048,6.712790783956753,5.513277430061985,5.482493004443137,8.343529088391287,4.6485387662879925,6.692526885719761,4.766890419639727,4.2181356390082,4.219371185157209,4.5583893662832295,8.95799553626572,5.716540644245534,4.61429994164225,6.066725502657127,4.7662864896931625,6.30265942167323,5.108090495979633,4.414805849152558,8.908290420498748,5.82989775659543,4.73711342605313,4.164946746747328,4.203216029010105,7.948197797754937,8.756193882668846,4.352507554184682
C8_EmergencyDrill_Evacuation,14.114444050507597,14.952506377827344,14.199976077125733,13.890779600040126,14.098540047539075,14.235081781784405,14.099258263364586,14.154919983007577,13.204116788925715,15.921942779679373,14.246755977916228,12.923154688297391,0.0,14.36788200877708,13.996686561586307,13.802050963635834,13.86520407456773,14.151176806856068,13.7792232135336,14.094937478982885,13.287904943834072,14.844293834412126,14.128771651700212,14.696879935638416,14.282312912609493,13.462079100162212,15.77874090077992,14.054396721643226,15.646652801067566,13.478339520368062,13.851562881493939,14.602989879011538,13.865244827148056,15.58105715357876,13.869478987483104,13.18860382080123,12.876336521114434,14.79163346333513,13.879690441186426,13.941690109401268,13.131351892750748,13.73683278835886,13.553267832307359,13.368514912539485,15.765326434542619,14.255384526124102,13.762480657675447,14.301712802576809,13.962353257947987,14.364407532252914,14.100567051426832,13.607166655322043,15.77467312488162,14.147780405365303,13.580000837155055,13.705710981515422,13.547505379473371,15.146457825772037,15.697527653073166,13.605543443696716
V1_TaxiLow_HelsinkiMedium,7.6530361898351735,7.77706767553871,8.551904830241048,7.626569127785811,7.417289652297988,7.510205539405945,7.117111091889605,10.229706371115267,8.21367666861851,10.49839184413131,11.15542537680738,7.924722389785507,14.36788200877708,0.0,2.784387628941551,5.413324225792668,7.264185274329575,7.547618601989502,6.711911430187384,6.820907885456761,5.538773361708375,7.59222762070028,7.293309163508933,7.928621332119007,4.094431328285723,7.303645964423985,8.731366926619028,6.8206028728169885,9.891218654292976,8.901275614468252,7.7239497938956205,9.139555590503223,7.038521496683954,10.182668974471552,4.360339922161787,7.334337042554115,6.921747168166427,9.543091845288519,7.189029041532907,8.148127187630347,6.608050244238119,7.269025887294062,6.640870792046928,6.592747065780081,10.267628439041303,6.764296276812634,6.701739165988804,8.237957781739743,7.0354746863349975,8.563440614081033,6.230466212763704,6.707013072482347,10.226949895476825,7.631397683563859,6.99976674405057,6.573358254867917,6.663710348877479,9.351240792260947,10.060030204550497,6.360047659119064
V2_TaxiHigh_HelsinkiMedium,6.961476801652172,7.761063148969157,8.059830259518327,6.672973719891566,7.001930965941772,7.230987791806447,7.031480375045147,10.078242412866725,8.151359009276717,10.28231212470034,10.774470000107266,8.053711444086353,13.996686561586307,2.784387628941551,0.0,5.225668524978593,6.7303142178693784,7.1086310309681595,6.761665432912654,7.088440627448702,4.655187291629834,8.063789691484384,7.391955653253,8.198254578742901,4.434085863047572,7.338671268608282,9.86273035150907,7.165083292657628,10.033453320046984,8.679525414640787,7.4683856175564625,8.837067591554609,6.990107754592388,10.062564160699106,4.226894594630815,7.168219741604577,6.72966776496833,9.223306192739619,7.052639323618621,7.870366395998753,6.173201670294911,6.9990972767358866,6.5839591310039465,6.338167332139362,10.28323074567768,7.923595897975281,6.736079960116918,7.846600456886967,7.062887613276546,8.085672759108965,7.442386265590717,6.5296776950412,10.126744258913762,7.587602840680906,7.20714257450086,6.704567897182716,6.386332943370925,9.31456793216702,10.188191977578223,6.586620483294805
