,C1_Campus_ClassChange,C2_ExamDay_LongStays,C3_Hackathon_24h,C4_Stadium_IngressEgress,C5_Festival_MultiHotspots_HelsinkiMedium,C6_Conference_Networking_HelsinkiMedium,C7_Library_Quiet,C8_EmergencyDrill_Evacuation,D1_ShelterHotspots_Clusters,D2_PartitionedCity_MuleBridge,D3_Aftershock_ErraticMobility,D4_MedicalTriage_TwoClasses,D5_UAVMule_FastRoute_HelsinkiMedium,D6_ShortTtlCritical_5to10min,D7_HighLoad_TrafficStorm,D8_InfrastructureReturns_BackboneLinks,R1_Rural_RandomWaypoint,R2_VillagesTrails_ThreeClusters,R3_WildlifeTracking,R4_ParkRangers_HelsinkiMedium,R5_MountainRescue,R6_SparseLongRange,R7_SparseTinyBuffer,R8_IntermittentPower,S01A_Urban_WorkingDay_HelsinkiMedium,S01A_Urban_WorkingDay,S1_StrongCommunities_SeparateClusters,S2_WeakCommunities_HighMixing,S3_PeriodicMeetings_RegularRhythm,S4_RandomMixing_NoHotspots,S5_TwoLayer_StudentsStaff,S6_FamilyGroups_SmallPersistent,T10_HighRateLowSpeed_Congestion,T1_ManySmallMsgs_HighRate,T2_FewHugeMsgs_LowRate,T3_MixedBimodal_SmallAndLarge,T4_VeryShortTtl_5to10min,T5_VeryLongTtl_6to24h,T6_UniformSources_RandomFromTo,T7_TargetedToHubs_FewDestinations,T8_BurstTraffic_TimeWindows,T9_BufferStress_SmallBufferHighTraffic,U10_WorkdayLong_HelsinkiMedium,U11_OfficeWaitHeavyTail_HelsinkiMedium,U12_HighTimeVariance_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium,U2_RetailHeavy_HelsinkiMedium,U3_NightlifeClusters_HelsinkiMedium,U4_RainyDay_SlowMobility_HelsinkiMedium,U5_SparseSuburb_HelsinkiMedium,U6_DenseDowntown_HelsinkiMedium,U7_MicroMobility_HelsinkiMedium,U8_CongestionHotspot_HelsinkiMedium,U9_WorkdayShort_HelsinkiMedium,V1_TaxiLow_HelsinkiMedium,V2_TaxiHigh_HelsinkiMedium,V3_BusOnlyCarriers_HelsinkiMedium,V4_MixedBusPed_HelsinkiMedium,V5_RushHourBusDensity_HelsinkiMedium,V6_CarOwnership_0_HelsinkiMedium,V7_CarOwnership_100_HelsinkiMedium,V8_RoadClosure_HelsinkiMedium,default_scenario
C1_Campus_ClassChange,0.0,1.3680870273677275,2.773931411320057,1.104670402740944,3.40176209418197,3.465144737473267,1.6062021772176853,1.9714873638112858,2.510517676734948,1.957901779679611,4.380805904361503,6.121322987908001,3.6691493568109363,3.79313512114611,3.7744948184536704,1.8664420786586622,3.947176985178279,3.2181751512455383,3.9511165142407987,2.3672183708947547,3.944480303636187,3.999011435191979,3.7203604629173754,4.392260576070685,3.4353397246819717,3.4353397246819717,2.97996833125421,2.1256556882294513,4.049584048854568,4.180282639766635,4.030433016484834,3.4089784928716034,4.18143473507504,4.010273878570756,3.9406070887312135,4.081598080680873,3.944296539520628,5.986785648935098,4.073212461396865,3.7062344739483306,4.058902171062327,4.00773690476044,3.4353397246819717,3.376753964701327,3.3160712453151096,3.2381909348792313,3.353682755919372,3.2115553192547472,3.4952315605864483,3.4843068453372052,3.730592505861869,3.709698260262145,3.3340430516482114,3.3715059393945106,1.6409174559573372,9.298308917098955,3.1558776685114855,3.3298151974653796,3.43405861348266,3.15752639465686,3.512409040770107,3.3858417311818165,3.4353397246819717
C2_ExamDay_LongStays,1.3680870273677275,0.0,1.481187257425937,1.7359405890899682,2.570272838267497,2.718843890529162,0.27152699993987506,2.3758822217378293,2.6962325610886246,1.7223933783924728,3.374123626085567,4.838821129269855,3.605687771569471,3.703965262307005,3.162944023703562,2.002163395967653,3.2234424721464667,2.4293365469043593,3.2274816653301466,1.8778189707659847,3.220684905321267,3.1915179677954257,3.3953614584917666,3.4093286068763713,2.661551220378387,2.661551220378387,3.1200685055552597,1.0591002706634804,3.1540971573542222,3.266109370049366,3.161294703782362,3.217515671210701,3.2885741206104067,3.1871227182384225,3.2167352228108714,3.208370429268887,3.2204972164705334,4.703579294095676,3.207992145558116,3.1204589209738636,3.1823257006432657,3.200405713110691,2.661551220378387,2.6675804046794784,2.5958542035968915,2.4303210614761226,2.576621538322807,2.3821792601770895,2.7632276209389515,2.6987685091049625,3.103001269773925,3.2256841161059118,2.580573181497931,2.662987391242428,1.7086429616635725,9.685755606008982,2.7500512222747835,2.611655706981804,2.7210847646405765,2.426454179533928,2.7193271052520793,2.6017294774001725,2.661551220378387
C3_Hackathon_24h,2.773931411320057,1.481187257425937,0.0,2.998385073750319,1.6999367473450417,1.9129335117284072,1.2392896163245628,3.006937955480477,3.0069091184146606,1.9957498877823152,2.11594258425222,3.3701106612570206,3.456298820588179,3.5293296211969443,2.4376332785215062,2.5051032942671974,2.340648444788613,1.6340682421266501,2.344706035128258,1.9555561183653154,2.3378953667266122,2.2102698212395273,2.9895040582749224,2.1747228418554174,1.8287849692639335,1.8287849692639335,3.3284251132541938,1.2463620522821468,2.04966632559541,2.1274798574295315,2.1377089561804072,2.9991114566070878,2.1794741324987186,2.1743452970759978,2.3339777268610784,2.1269644785449557,2.337708506287335,3.2474658024633603,2.1365267503703516,2.4342212767566775,2.098542735268369,2.2064343773757558,1.8287849692639335,1.9710272850141133,1.8955946898755691,1.6514399331775214,1.8157494137180172,1.5875845249088596,1.9946015108847759,1.83834580261353,2.5246574186842032,2.893402489367663,1.8254769465010325,1.9676622158205352,2.6178086817376753,10.273807171487164,2.4602773073412725,1.9177946449456877,1.9938430652919783,1.7578345324355278,1.850095205642798,1.8071850292549871,1.8287849692639335
C4_Stadium_IngressEgress,1.104670402740944,1.7359405890899682,2.998385073750319,0.0,3.5118275715335203,3.600810049103031,1.9388840059845107,1.9411469529929903,2.699774278997161,2.2295073593323282,4.493018189054745,6.200365835047215,3.9137430114613543,4.093637953114335,3.978250277728095,2.140040480327555,4.0847372224019365,3.42374785607873,4.084704510926546,2.651699957606277,4.084798384835272,4.218931559740579,3.981239624130861,4.584463173539916,3.5712715193085196,3.5712715193085196,3.060952201066984,2.4217830946202574,4.208178770929926,4.313134198202058,4.104150837152115,3.66282476189179,4.385357953503129,4.172676194611942,4.084943869697753,4.23324589474385,4.084803732655855,6.04154373033305,4.246087318097476,3.9124620909765646,4.233122803197763,4.174991637230019,3.5712715193085196,3.460481134614558,3.413492629017369,3.343071404653379,3.43376006134107,3.3189510389529517,3.58306669832731,3.691182496925893,3.724356359177716,3.663350051427431,3.446132200133892,3.5002227015433083,1.8842283235145907,9.767758303261058,3.464664309459583,3.4165899640788493,3.5290830668175253,3.2744436815620173,3.64153683134118,3.480092342791058,3.5712715193085196
C5_Festival_MultiHotspots_HelsinkiMedium,3.40176209418197,2.570272838267497,1.6999367473450417,3.5118275715335203,0.0,0.3907700825770961,2.423644743354083,2.563262741780783,2.1779862261344545,1.6272581874247183,1.1118825920153625,3.3533407574782186,2.380204271702133,2.6158496109986804,1.2384493146707816,2.0762507085264494,0.8211123192603258,0.7592189436553184,0.8250494999728496,2.335129887585394,0.8185605606609869,1.2777398404385274,1.9338551255689158,1.4652274129875698,0.418414962528607,0.418414962528607,2.2740556015501374,2.190488887659767,0.8948033958025722,0.9018871604937355,0.6519195930909419,1.9985580724814402,1.3104597719104036,0.8999511111494374,0.8151116493428027,0.8895880080465682,0.8183910752986862,3.2355682604837677,1.0044951974503626,1.2006690769758672,0.9750830412546623,0.9308407926469142,0.418414962528607,0.3912573434030013,0.32926855625857343,0.21829574129772694,0.3027260703634113,0.24674676519819758,0.31335757784429924,0.92113606077332,1.2280263924218344,1.8687995170383673,0.21394770836179877,0.44441206317346865,3.384109275193675,10.295833471588479,2.059792307975693,0.36719455503909126,0.3519087937578159,0.3434379573835137,0.27725898386769693,0.18554718741795467,0.418414962528607
C6_Conference_Networking_HelsinkiMedium,3.465144737473267,2.718843890529162,1.9129335117284072,3.600810049103031,0.3907700825770961,0.0,2.572217967402677,2.483263125522124,2.051264354119258,1.6231831371860979,1.169473129852753,3.514760188225087,2.031783035386374,2.252225312556465,0.8557266410738824,2.053003139180188,0.5245546223017282,0.5605429137940192,0.5282893748162861,2.2121249658478312,0.5222477385836208,1.0041291146002962,1.5557175609637197,1.35537957699054,0.13183479790654315,0.13183479790654315,2.207079100795889,2.4568168379445505,0.7595725455859257,0.8367387090268465,0.8053024685848928,1.6509352312683812,1.113367780217156,0.6655952628871029,0.5193125969251771,0.7352568553588085,0.5220982305258319,3.419914510274667,0.806911147923283,0.813109438918788,0.7954335339983017,0.6741442911058017,0.13183479790654315,0.5513842276730404,0.48832274986023333,0.5357998410027616,0.5971930600223514,0.5812595589029718,0.3842297352311617,0.6537510731675519,1.4526848846386273,2.10497213260697,0.378494576248034,0.6173679227146185,3.345788277968672,10.487556191367498,1.7687929777699998,0.5504465649702158,0.45157585797415944,0.5166684658448056,0.15195702005815165,0.46512995508818805,0.13183479790654315
C7_Library_Quiet,1.6062021772176853,0.27152699993987506,1.2392896163245628,1.9388840059845107,2.423644743354083,2.572217967402677,0.0,2.459351749997051,2.738032735546136,1.7304592972616881,3.172686950270467,4.601090783692303,3.5434860311440652,3.6239689420247054,3.0093810537392645,2.072980460464642,3.0681892019528125,2.258210240224056,3.0720423512090576,1.743386778382509,3.065563356477543,2.996088655309289,3.283289107230367,3.186036399282001,2.505993671298585,2.505993671298585,3.1705353087981702,1.0434227241324499,2.9610769694771246,3.0759295681212544,3.0068557939618827,3.1360066489802896,3.0797084824461467,3.0056161937656714,3.0618093816842915,3.0205060148515637,3.0653847770012175,4.471407646881967,3.0149780335285854,2.974792396677521,2.988566317685144,3.0204663531488634,2.505993671298585,2.555790445079165,2.479819205254911,2.2991482730260677,2.4552997269345505,2.248289172305028,2.636506968005152,2.5179033743437276,3.0396024327359483,3.2161955056299196,2.4524743571310026,2.554857994287492,1.7273620320358007,9.863895031742382,2.61454410618846,2.499119441580392,2.6024564367404404,2.3102194862678394,2.567091823405927,2.471410336598807,2.505993671298585
C8_EmergencyDrill_Evacuation,1.9714873638112858,2.3758822217378293,3.006937955480477,1.9411469529929903,2.563262741780783,2.483263125522124,2.459351749997051,0.0,0.8995474726525834,1.1800752195388549,3.619940545967568,5.822238422963686,2.1438044023057787,2.4405605943608704,2.642526945824166,0.8537015733819607,2.840292993608692,2.425714040587509,2.8402459497463255,2.1986615073704643,2.8403809530095763,3.1153667048184053,2.414204996075626,3.6762185920016037,2.4961079168334694,2.4961079168334694,1.4153266753731233,2.7478586511239667,3.1887303906391513,3.3069487547920127,3.1212438610655053,2.0190704480042676,3.3676757176009064,3.0529950633355196,2.8405901731942946,3.1755312533605715,2.840388643792596,5.69536331437005,3.1805917720296173,2.5500747938239257,3.1849532788379293,3.033751080071172,2.4961079168334694,2.3951297641581992,2.3606629065712337,2.4272065050882077,2.4762215795491955,2.4427017656666195,2.4890102725243604,2.6380414328036035,2.7586668148133318,2.8450185846459046,2.4113420728304944,2.439526504503092,2.352437038305923,9.88891154077649,2.3170798678973124,2.3735164652147405,2.433046694527821,2.2679336717114613,2.5850548663036235,2.4939439357282276,2.4961079168334694
D1_ShelterHotspots_Clusters,2.510517676734948,2.6962325610886246,3.0069091184146606,2.699774278997161,2.1779862261344545,2.051264354119258,2.738032735546136,0.8995474726525834,0.0,1.0509571491027612,3.2137685111279484,5.524422934247493,1.6249758822384675,2.022892329072636,2.1731286141572728,0.7411431953781368,2.3329195498120594,2.105654433038057,2.3358323526316056,2.4081357102518774,2.330963201685455,2.713997340363474,1.9269868413869893,3.302380113082896,2.100095917709755,2.100095917709755,0.762538984678481,2.806191981783766,2.7683165986124654,2.8716662138737066,2.6634102855351673,1.546811488720512,2.974556652170543,2.603394351858752,2.328209305109569,2.7373085076866257,2.330831031866494,5.410283315863408,2.75332219557197,2.062974208132867,2.759684268727919,2.5787969817628973,2.100095917709755,1.9480833702521851,1.927152849907354,2.0590171518809135,2.0747249007599753,2.090989271392459,2.0373347144445524,2.289431463796885,2.289073626577765,2.429395518716449,1.9894472666482756,1.9563239879541092,2.9259192794357416,9.639933830252836,2.1554000894083973,1.9403040311849822,1.9721349087545534,1.8683920024486935,2.1635896313409018,2.085503591885398,2.100095917709755
D2_PartitionedCity_MuleBridge,1.957901779679611,1.7223933783924728,1.9957498877823152,2.2295073593323282,1.6272581874247183,1.6231831371860979,1.7304592972616881,1.1800752195388549,1.0509571491027612,0.0,2.6979752219171016,4.825384753518838,2.104891062552576,2.366059738897512,1.9836679883411346,0.5432893543338515,2.0742766176275276,1.532963395262793,2.078712098205361,1.7746962179603838,2.0712684745953336,2.3223489563221196,2.0547946046650125,2.7912734735290234,1.6288871016777184,1.6288871016777184,1.5005720558583,1.816573513624743,2.313117619770073,2.426459849130209,2.2389737872202913,1.7908006007695279,2.5269154905953743,2.225068974005177,2.066989996798812,2.316932603568126,2.07106434459942,4.702145297788875,2.3335704083509032,1.894240291775797,2.324158556031458,2.217738521002005,1.6288871016777184,1.5273265595327103,1.4707485504605846,1.4732642269678593,1.563171877742753,1.4729134405661555,1.636134954618705,1.8031121121273677,2.0240557919897606,2.2360425435693894,1.5017157826675918,1.5256608973093764,2.326712964160987,9.622630995157442,1.8902195628645544,1.4904387442987252,1.570329323762462,1.3334155066295426,1.694673487001631,1.580312077777907,1.6288871016777184
