map_name,family,route_file,n_stops,valid,note,applied
HelsinkiDowntown,01_urban,A_bus.wkt,12,yes,ok,yes
HelsinkiDowntown,01_urban,B_bus.wkt,11,yes,ok,yes
HelsinkiDowntown,01_urban,C_bus.wkt,8,yes,ok,yes
KumpulaCampus,02_campus,A_campus_shuttle.wkt,10,yes,ok,yes
ManhattanMidtownGrid,03_vehicles,A_vehicle_route.wkt,14,yes,ok,yes
ManhattanMidtownGrid,03_vehicles,B_vehicle_route.wkt,12,yes,ok,yes
NuuksioSparseTrails,04_rural,A_ranger_patrol.wkt,8,yes,ok,yes
HelsinkiDisrupted,05_disaster,A_emergency_route.wkt,8,yes,ok,yes
HelsinkiDisrupted,05_disaster,B_mule_route.wkt,8,yes,ok,yes
KallioCommunityCompact,06_social,A_community_route.wkt,8,yes,ok,yes
KallioCommunityCompact,06_social,B_community_route.wkt,8,yes,ok,yes
