feature,mode,delta_pairs70,delta_sil,pairs70,sil
Scenario.endTime,add_to_core,-17,-0.027888746066433878,76,0.2913280902903507
afterShoppingStopTime_mean,add_to_core,0,0.0,93,0.3192168363567846
clusterRange_mean,add_to_core,0,-0.0018595364647892576,93,0.31735729989199535
contact_rate_proxy,add_to_core,-1,0.002104889246174302,92,0.3213217256029589
density,add_to_core,-1,-0.011811780719795828,92,0.3074050556369888
eveningGroupSize_mean,add_to_core,0,0.0,93,0.3192168363567846
eveningWaitTime_mean,add_to_core,0,0.0,93,0.3192168363567846
event2_interval_mean,add_to_core,0,0.0012794252116807292,93,0.32049626156846533
event2_size_mean,add_to_core,0,0.0009935996970812377,93,0.32021043605386584
has_active_times,add_to_core,-1,0.004124710022784583,92,0.3233415463795692
mm_External,add_to_core,0,0.0,93,0.3192168363567846
mm_ShortestPath,add_to_core,0,0.0,93,0.3192168363567846
nrOfMeetingSpots,add_to_core,-5,-0.004001143527026574,88,0.31521569282975803
nrOfOffices,add_to_core,-5,0.0058079818880497625,88,0.32502481824483437
nrOfShops,add_to_core,-6,-0.0064553713229993925,87,0.3127614650337852
officeSize,add_to_core,-4,-0.007803377635206332,89,0.3114134587215783
officeWaitTime_mean,add_to_core,-4,-0.004755558122534864,89,0.31446127823424974
pattern_uniform,add_to_core,-1,0.026755888630655644,92,0.34597272498744025
pause_ratio,add_to_core,0,-0.004154506669185154,93,0.31506232968759945
probGoShoppingAfterWork,add_to_core,-3,-0.008549565374663337,90,0.31066727098212127
shopSize,add_to_core,0,0.0,93,0.3192168363567846
shoppingWaitTime_mean,add_to_core,0,0.0,93,0.3192168363567846
timeDiffSTD,add_to_core,-6,-0.004681201153571124,87,0.3145356352032135
N,remove_from_core,22,0.026951520089418424,115,0.34616835644620303
aspect_ratio,remove_from_core,13,0.017852642640649286,106,0.3370694789974339
bufferSize,remove_from_core,31,0.02511687429062076,124,0.34433371064740537
event_interval_mean,remove_from_core,5,0.017819404812579542,98,0.33703624116936415
event_size_mean,remove_from_core,1,0.0034517801518066937,94,0.3226686165085913
mm_Bus,remove_from_core,-8,-0.01899470863541508,85,0.3002221277213695
mm_Cluster,remove_from_core,-1,-0.07862288491524735,92,0.24059395144153725
mm_Linear,remove_from_core,0,-0.0012709097397366476,93,0.31794592661704796
mm_MapRoute,remove_from_core,-3,-0.05037147846984974,90,0.26884535788693487
mm_RWP,remove_from_core,-16,-0.011759501490175128,77,0.3074573348666095
mm_WDM,remove_from_core,-9,-0.0019277652275777601,84,0.31728907112920685
msgTtl,remove_from_core,-10,0.03841379911874443,83,0.35763063547552904
nrofHostGroups,remove_from_core,1,0.008188457835673901,94,0.3274052941924585
nrof_event_generators,remove_from_core,6,0.012341721812612505,99,0.3315585581693971
ownCarProb,remove_from_core,1,0.004668515505994841,94,0.32388535186277945
pattern_burst,remove_from_core,2,-0.006769213119911632,95,0.312447623236873
pattern_hub_target,remove_from_core,6,0.017209171332069784,99,0.3364260076888544
speed_mean,remove_from_core,-2,0.017653651713926355,91,0.33687048807071096
transmitRange,remove_from_core,3,0.005569258220535223,96,0.32478609457731983
transmitSpeed,remove_from_core,8,0.006705326239926479,101,0.3259221625967111
wait_mean,remove_from_core,4,0.024547333277591454,97,0.34376416963437606
workDayLength,remove_from_core,2,0.004647523411150212,95,0.3238643597679348
world_area,remove_from_core,13,0.004387997009281552,106,0.32360483336606616
