archetype,n_maps,mean_intra_l2,median_intra_l2,std_intra_l2,mean_inter_centroid_l2,inter_intra_ratio
urban_grid,108,2.766894511159062,2.063308031861702,1.8479657568526315,,
dense_urban_irregular,199,2.734270858701111,2.792636990472137,0.7547724249014388,,
campus_compact,109,2.518223193248945,2.007344186158675,1.1457338481006563,,
compact_residential,41,7.717974498095667,6.333093597097399,5.940016899677372,,
corridor_linear,100,5.978699522613466,6.041525666892088,2.215024031081003,,
bus_route_urban_suburban,38,3.016616775076432,2.51264010351941,1.8902678212497641,,
radial_city,72,0.8666761416510549,0.8510024730953687,0.25783965932594194,,
hub_and_spoke,75,2.2974728836178437,2.207384556991432,0.5840168013608669,,
sparse_trails,116,4.673767845890222,3.8272655981094523,2.121266343883024,,
rural_roads,62,5.440116358602753,3.82881102999253,3.4876707222613024,,
industrial_disrupted,158,2.8624701082433845,2.7523089641130323,0.25345568117527406,,
island_or_partitioned,117,4.294773728628297,4.183561622326884,1.74832376757355,,
conference_event_compact,75,1.6499142724047295,2.115773688141402,0.755980203925003,,
clustered_communities,75,1.2616833006389383,1.3025736881162295,0.32848887491770745,,
suburban_low_density,33,4.054232710259613,2.9605423975915945,2.0892963480472537,,
_GLOBAL_,1378,3.475585780588768,,,6.034417003236671,1.736230202384599
