archetype,n_valid_maps,n_unique_feature_vectors,n_clusters_internal,mean_nn_dist,median_nn_dist,near_redundant_fraction,intra_archetype_variance,status
urban_grid,108,108,10,0.6942235756329443,0.781118745690059,0.2037037037037037,0.8038720538720538,WELL_COVERED
dense_urban_irregular,199,199,14,0.5925193106543195,0.3346655866043141,0.40703517587939697,0.85153037916857,ACCEPTABLE
campus_compact,109,109,10,0.46260444586291827,0.10958547529093023,0.6788990825688074,0.8715596330275229,ACCEPTABLE
compact_residential,41,41,6,0.4068898454979451,0.40320326601722645,0.34146341463414637,0.9090909090909091,WELL_COVERED
corridor_linear,100,100,10,0.5102147473783474,0.3111958307029256,0.46,0.9090909090909092,ACCEPTABLE
bus_route_urban_suburban,38,38,6,0.4247081778662562,0.23790222662669766,0.5263157894736842,0.9090909090909092,ACCEPTABLE
radial_city,72,72,8,2.2483775139533333,2.151190762331958,0.0,0.8181818181818183,WELL_COVERED
hub_and_spoke,75,75,9,1.310102373195988,1.3061439970743964,0.0,0.7854545454545455,WELL_COVERED
sparse_trails,116,116,11,0.8376670922980164,0.567502742586443,0.46551724137931033,0.9090909090909093,ACCEPTABLE
rural_roads,62,62,8,1.4781163341064905,0.1941164094983181,0.5483870967741935,0.9051808406647115,ACCEPTABLE
industrial_disrupted,158,158,13,0.6775627561911196,0.5853844877346521,0.35443037974683544,0.8889528193325663,ACCEPTABLE
island_or_partitioned,117,117,11,0.7281850451070863,0.8053433658361918,0.2564102564102564,0.8155918155918156,WELL_COVERED
conference_event_compact,75,75,9,1.4418886220081097,1.3669200221169826,0.05333333333333334,0.8181818181818181,WELL_COVERED
clustered_communities,75,75,9,2.1832267325208066,1.960625189888108,0.0,0.7474747474747474,WELL_COVERED
suburban_low_density,33,33,5,0.1614414260328965,0.13543023066760237,0.8787878787878788,0.9090909090909091,ACCEPTABLE
