map_id,batch_target,source_type,anchor_id,archetype,generator_type,world_size_x,world_size_y,world_area,bbox_width,bbox_height,useful_area,useful_area_ratio,n_nodes,n_edges,total_road_length_m,road_density,avg_edge_length_m,median_edge_length_m,avg_degree,max_degree,dead_end_ratio,intersection_ratio,n_components,largest_component_ratio,bridge_edges_count,bridge_edges_ratio,articulation_points_count,articulation_points_ratio,graph_diameter_approx,avg_shortest_path_approx,circuity_approx,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score,tree_like_score,supports_map_based,supports_route_movement_candidate,supports_cluster_overlay,supports_wdm_candidate,supports_bus_route_candidate,validation_status,feature_omissions,sampling_seed,validation_status_val,anchor_label,wkt_dir,roads_wkt,metadata_json,preview_png,generation_status
OSM_cambridge_haggle_offset_n_1000m_1000m_0080,100,osm,cambridge_haggle,dense_urban_irregular,,1064,1046,1112944.0,1013.69,995.25,1008880.36,0.906496968182782,1778,1992,60202.74,0.0017898474676174,15.8428,9.3094,2.2407,6,0.0906,0.2666,1,1.0,474,0.237952,429,0.241282,2343.26,682.34,1.4835,5.0355,0.3092,1.7947,0.6358,0.0,0.9121,0.4864,yes,yes,partial,yes,no,PASS,,2580892417,PASS,Cambridge UK (Haggle),batch_0100/wkt/map_0080,batch_0100/wkt/map_0080/roads.wkt,batch_0100/wkt/map_0080/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_1000m_0080.png,OK
OSM_cambridge_haggle_offset_n_1000m_1000m_0534,600,osm,cambridge_haggle,dense_urban_irregular,,1064,1046,1112944.0,1013.69,995.25,1008880.36,0.906496968182782,1778,1992,60202.74,0.0017898474676174,15.8428,9.3094,2.2407,6,0.0906,0.2666,1,1.0,474,0.237952,429,0.241282,2343.26,614.92,1.458,5.0355,0.3092,1.7947,0.6358,0.0,0.9121,0.4864,yes,yes,partial,yes,no,PASS,,224287131,PASS,Cambridge UK (Haggle),batch_0600/wkt/map_0534,batch_0600/wkt/map_0534/roads.wkt,batch_0600/wkt/map_0534/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_1000m_0534.png,OK
OSM_cambridge_haggle_offset_n_1000m_1000m_1006,1200,osm,cambridge_haggle,dense_urban_irregular,,1064,1046,1112944.0,1013.69,995.25,1008880.36,0.906496968182782,1778,1992,60202.74,0.0017898474676174,15.8428,9.3094,2.2407,6,0.0906,0.2666,1,1.0,474,0.237952,429,0.241282,2343.26,748.81,1.5646,5.0355,0.3092,1.7947,0.6358,0.0,0.9121,0.4864,yes,yes,partial,yes,no,PASS,,896699398,PASS,Cambridge UK (Haggle),batch_1200/wkt/map_1006,batch_1200/wkt/map_1006/roads.wkt,batch_1200/wkt/map_1006/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_1000m_1006.png,OK
OSM_cambridge_haggle_offset_n_1000m_1500m_0422,600,osm,cambridge_haggle,dense_urban_irregular,,1060,1028,1089680.0,1009.82,977.56,987156.51,0.905914133608704,1223,1400,47692.55,0.0012847808530944,17.9836,9.7354,2.2895,5,0.0695,0.2845,1,1.0,203,0.145,190,0.155356,3302.17,752.27,1.6833,4.7843,0.4272,2.1728,0.6302,0.0,0.9007,0.4668,yes,yes,partial,yes,no,PASS,,3201270264,PASS,Cambridge UK (Haggle),batch_0600/wkt/map_0422,batch_0600/wkt/map_0422/roads.wkt,batch_0600/wkt/map_0422/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_1500m_0422.png,OK
OSM_cambridge_haggle_offset_n_1000m_1500m_0891,1000,osm,cambridge_haggle,dense_urban_irregular,,1060,1028,1089680.0,1009.82,977.56,987156.51,0.905914133608704,1223,1400,47692.55,0.0012847808530944,17.9836,9.7354,2.2895,5,0.0695,0.2845,1,1.0,203,0.145,190,0.155356,3302.17,709.94,1.5032,4.7843,0.4272,2.1728,0.6302,0.0,0.9007,0.4668,yes,yes,partial,yes,no,PASS,,1029343264,PASS,Cambridge UK (Haggle),batch_1000/wkt/map_0891,batch_1000/wkt/map_0891/roads.wkt,batch_1000/wkt/map_0891/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_1500m_0891.png,OK
OSM_cambridge_haggle_offset_n_1000m_200m_0307,400,osm,cambridge_haggle,dense_urban_irregular,,1069,1037,1108553.0,1018.77,986.04,1004546.1,0.906177784532538,2406,2621,59278.52,0.0023643434278739,11.8628,7.0224,2.1787,6,0.1255,0.2672,1,1.0,828,0.31591,754,0.313383,3719.99,723.05,1.6777,5.1017,0.4321,1.4914,0.6139,0.0,0.9336,0.5164,yes,yes,partial,yes,no,PASS,,3821839887,PASS,Cambridge UK (Haggle),batch_0400/wkt/map_0307,batch_0400/wkt/map_0307/roads.wkt,batch_0400/wkt/map_0307/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_200m_0307.png,OK
OSM_cambridge_haggle_offset_n_1000m_200m_0772,800,osm,cambridge_haggle,dense_urban_irregular,,1069,1037,1108553.0,1018.77,986.04,1004546.1,0.906177784532538,2406,2621,59278.52,0.0023643434278739,11.8628,7.0224,2.1787,6,0.1255,0.2672,1,1.0,828,0.31591,754,0.313383,3719.99,743.82,1.7223,5.1017,0.4321,1.4914,0.6139,0.0,0.9336,0.5164,yes,yes,partial,yes,no,PASS,,3080429029,PASS,Cambridge UK (Haggle),batch_0800/wkt/map_0772,batch_0800/wkt/map_0772/roads.wkt,batch_0800/wkt/map_0772/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_200m_0772.png,OK
OSM_cambridge_haggle_offset_n_1000m_500m_0191,200,osm,cambridge_haggle,dense_urban_irregular,,1064,1060,1127840.0,1013.94,1009.35,1023419.7,0.9074156780483532,2210,2422,62323.3,0.0021474677259185,13.3626,8.0331,2.1919,6,0.1131,0.2629,1,1.0,666,0.274979,601,0.271946,2933.36,773.37,1.8337,5.0725,0.4001,1.5557,0.6241,0.0,0.9298,0.5076,yes,yes,partial,yes,no,PASS,,3390416267,PASS,Cambridge UK (Haggle),batch_0200/wkt/map_0191,batch_0200/wkt/map_0191/roads.wkt,batch_0200/wkt/map_0191/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_500m_0191.png,OK
OSM_cambridge_haggle_offset_n_1000m_500m_0657,800,osm,cambridge_haggle,dense_urban_irregular,,1064,1060,1127840.0,1013.94,1009.35,1023419.7,0.9074156780483532,2210,2422,62323.3,0.0021474677259185,13.3626,8.0331,2.1919,6,0.1131,0.2629,1,1.0,666,0.274979,601,0.271946,2933.36,697.28,1.4895,5.0725,0.4001,1.5557,0.6241,0.0,0.9298,0.5076,yes,yes,partial,yes,no,PASS,,757891634,PASS,Cambridge UK (Haggle),batch_0800/wkt/map_0657,batch_0800/wkt/map_0657/roads.wkt,batch_0800/wkt/map_0657/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_500m_0657.png,OK
OSM_cambridge_haggle_offset_n_1000m_500m_1125,1200,osm,cambridge_haggle,dense_urban_irregular,,1064,1060,1127840.0,1013.94,1009.35,1023419.7,0.9074156780483532,2210,2422,62323.3,0.0021474677259185,13.3626,8.0331,2.1919,6,0.1131,0.2629,1,1.0,666,0.274979,601,0.271946,2933.36,720.77,1.6592,5.0725,0.4001,1.5557,0.6241,0.0,0.9298,0.5076,yes,yes,partial,yes,no,PASS,,3519082459,PASS,Cambridge UK (Haggle),batch_1200/wkt/map_1125,batch_1200/wkt/map_1125/roads.wkt,batch_1200/wkt/map_1125/metadata.json,previews/OSM_cambridge_haggle_offset_n_1000m_500m_1125.png,OK
