map_id,validation_status,reason,source_type,archetype
OSM_cambridge_haggle_offset_n_1000m_1000m_1490,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1000m_1000m_1961,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1000m_1500m_1368,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1000m_1500m_1856,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1000m_200m_1255,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1000m_200m_1745,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1000m_500m_1605,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1500m_1000m_1336,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1500m_1000m_1819,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1500m_1500m_1223,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1500m_1500m_1711,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1500m_200m_1563,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1500m_500m_1459,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_1500m_500m_1932,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_2500m_1000m_1686,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_2500m_1500m_1539,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_2500m_200m_1430,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_2500m_200m_1904,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_2500m_500m_1304,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_2500m_500m_1798,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_500m_1000m_1648,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_500m_1500m_1513,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_500m_1500m_1991,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_500m_200m_1400,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_500m_200m_1882,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_500m_500m_1280,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_cambridge_haggle_offset_n_500m_500m_1773,FAIL,osm_download_failed,osm,dense_urban_irregular
OSM_dieselnet_amherst_offset_e_1000m_1000m_1687,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_1000m_1500m_1514,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_1000m_200m_1371,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_1000m_200m_1964,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_1000m_500m_1224,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_1000m_500m_1822,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_1500m_1000m_1281,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_1500m_1000m_1884,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_1500m_1500m_1746,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_1500m_200m_1567,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_1500m_500m_1432,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_2500m_1000m_1491,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_2500m_1500m_1339,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_2500m_1500m_1936,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_2500m_200m_1799,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_2500m_500m_1651,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_5000m_1000m_1717,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_5000m_1500m_1540,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_5000m_200m_1403,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_5000m_200m_1995,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_5000m_500m_1257,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_5000m_500m_1857,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_500m_1000m_0279,FAIL,missing_preview;invalid_world_size;empty_wkt;too_few_edges;other,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_500m_1000m_0871,FAIL,missing_preview;invalid_world_size;empty_wkt;too_few_edges;other,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_500m_1000m_1460,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_500m_1500m_0137,FAIL,missing_preview;invalid_world_size;empty_wkt;too_few_edges;other,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_500m_1500m_0713,FAIL,missing_preview;invalid_world_size;empty_wkt;too_few_edges;other,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_500m_1500m_1306,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_500m_1500m_1905,FAIL,osm_download_failed,osm,bus_route_urban_suburban
OSM_dieselnet_amherst_offset_e_500m_200m_1774,FAIL,osm_download_failed,osm,bus_route_urban_suburban
