map_id,batch_target,source_type,anchor_id,archetype,generator_type,validation_status,n_nodes,n_edges,n_components,largest_component_ratio,total_road_length_m,world_size_x,world_size_y,diameter,avg_path_length,clustering_coefficient,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score
OSM_cambridge_haggle_offset_n_1000m_1000m_0080,100,osm,cambridge_haggle,dense_urban_irregular,,PASS,1778,1992,1,1.0,60202.74,1064,1046,0,0,0,5.0355,0.3092,1.7947,0.6358,0.0,0.9121
OSM_cambridge_haggle_offset_n_1000m_1000m_0534,600,osm,cambridge_haggle,dense_urban_irregular,,PASS,1778,1992,1,1.0,60202.74,1064,1046,0,0,0,5.0355,0.3092,1.7947,0.6358,0.0,0.9121
OSM_cambridge_haggle_offset_n_1000m_1500m_0422,600,osm,cambridge_haggle,dense_urban_irregular,,PASS,1223,1400,1,1.0,47692.55,1060,1028,0,0,0,4.7843,0.4272,2.1728,0.6302,0.0,0.9007
OSM_cambridge_haggle_offset_n_1000m_200m_0307,400,osm,cambridge_haggle,dense_urban_irregular,,PASS,2406,2621,1,1.0,59278.52,1069,1037,0,0,0,5.1017,0.4321,1.4914,0.6139,0.0,0.9336
OSM_cambridge_haggle_offset_n_1000m_200m_0772,800,osm,cambridge_haggle,dense_urban_irregular,,PASS,2406,2621,1,1.0,59278.52,1069,1037,0,0,0,5.1017,0.4321,1.4914,0.6139,0.0,0.9336
OSM_cambridge_haggle_offset_n_1000m_500m_0191,200,osm,cambridge_haggle,dense_urban_irregular,,PASS,2210,2422,1,1.0,62323.3,1064,1060,0,0,0,5.0725,0.4001,1.5557,0.6241,0.0,0.9298
OSM_cambridge_haggle_offset_n_1000m_500m_0657,800,osm,cambridge_haggle,dense_urban_irregular,,PASS,2210,2422,1,1.0,62323.3,1064,1060,0,0,0,5.0725,0.4001,1.5557,0.6241,0.0,0.9298
OSM_cambridge_haggle_offset_n_1500m_1000m_0382,400,osm,cambridge_haggle,dense_urban_irregular,,PASS,3942,4448,1,1.0,136026.99,1578,1592,0,0,0,5.0796,0.3899,1.4507,0.6078,0.0,0.9299
OSM_cambridge_haggle_offset_n_1500m_1500m_0278,400,osm,cambridge_haggle,dense_urban_irregular,,PASS,4023,4594,1,1.0,141578.54,1571,1577,0,0,0,5.0351,0.4186,1.6062,0.6331,0.0,0.9277
OSM_cambridge_haggle_offset_n_1500m_1500m_0739,800,osm,cambridge_haggle,dense_urban_irregular,,PASS,4023,4594,1,1.0,141578.54,1571,1577,0,0,0,5.0351,0.4186,1.6062,0.6331,0.0,0.9277
OSM_cambridge_haggle_offset_n_1500m_200m_0160,200,osm,cambridge_haggle,dense_urban_irregular,,PASS,4966,5483,1,1.0,145183.16,1592,1560,0,0,0,5.1304,0.3479,1.4967,0.5869,0.0,0.944
OSM_cambridge_haggle_offset_n_1500m_200m_0628,800,osm,cambridge_haggle,dense_urban_irregular,,PASS,4966,5483,1,1.0,145183.16,1592,1560,0,0,0,5.1304,0.3479,1.4967,0.5869,0.0,0.944
OSM_cambridge_haggle_offset_n_1500m_500m_0053,100,osm,cambridge_haggle,dense_urban_irregular,,PASS,4711,5271,1,1.0,146824.16,1578,1638,0,0,0,5.1404,0.3924,1.3809,0.6171,0.0,0.9382
OSM_cambridge_haggle_offset_n_1500m_500m_0504,600,osm,cambridge_haggle,dense_urban_irregular,,PASS,4711,5271,1,1.0,146824.16,1578,1638,0,0,0,5.1404,0.3924,1.3809,0.6171,0.0,0.9382
OSM_cambridge_haggle_offset_n_2500m_1000m_0246,400,osm,cambridge_haggle,dense_urban_irregular,,PASS,11716,13143,1,1.0,384481.96,2623,2587,0,0,0,5.1223,0.3973,1.3054,0.6275,0.0,0.9526
OSM_cambridge_haggle_offset_n_2500m_1000m_0712,800,osm,cambridge_haggle,dense_urban_irregular,,PASS,11716,13143,1,1.0,384481.96,2623,2587,0,0,0,5.1223,0.3973,1.3054,0.6275,0.0,0.9526
OSM_cambridge_haggle_offset_n_2500m_1500m_0136,200,osm,cambridge_haggle,dense_urban_irregular,,PASS,11683,13223,1,1.0,405643.14,2607,2605,0,0,0,5.0875,0.3511,1.2678,0.6567,0.0,0.9534
OSM_cambridge_haggle_offset_n_2500m_1500m_0595,600,osm,cambridge_haggle,dense_urban_irregular,,PASS,11683,13223,1,1.0,405643.14,2607,2605,0,0,0,5.0875,0.3511,1.2678,0.6567,0.0,0.9534
OSM_cambridge_haggle_offset_n_2500m_200m_0026,100,osm,cambridge_haggle,dense_urban_irregular,,PASS,11829,13203,1,1.0,380884.86,2599,2586,0,0,0,5.1426,0.4073,1.2573,0.5895,0.0,0.9547
OSM_cambridge_haggle_offset_n_2500m_200m_0482,600,osm,cambridge_haggle,dense_urban_irregular,,PASS,11829,13203,1,1.0,380884.86,2599,2586,0,0,0,5.1426,0.4073,1.2573,0.5895,0.0,0.9547
OSM_cambridge_haggle_offset_n_2500m_500m_0355,400,osm,cambridge_haggle,dense_urban_irregular,,PASS,11977,13343,1,1.0,380063.35,2632,2608,0,0,0,5.1494,0.3881,1.1555,0.6055,0.0,0.9551
OSM_cambridge_haggle_offset_n_500m_1000m_0221,400,osm,cambridge_haggle,dense_urban_irregular,,PASS,426,484,1,1.0,14802.69,542,622,0,0,0,4.7014,0.3662,1.1448,0.6098,0.0,0.8678
OSM_cambridge_haggle_offset_n_500m_1000m_0685,800,osm,cambridge_haggle,dense_urban_irregular,,PASS,426,484,1,1.0,14802.69,542,622,0,0,0,4.7014,0.3662,1.1448,0.6098,0.0,0.8678
OSM_cambridge_haggle_offset_n_500m_1500m_0112,200,osm,cambridge_haggle,dense_urban_irregular,,PASS,164,181,1,1.0,5411.97,368,521,0,0,0,4.7044,0.4197,1.5808,0.4117,0.0,0.7845
OSM_cambridge_haggle_offset_n_500m_1500m_0565,600,osm,cambridge_haggle,dense_urban_irregular,,PASS,164,181,1,1.0,5411.97,368,521,0,0,0,4.7044,0.4197,1.5808,0.4117,0.0,0.7845
OSM_cambridge_haggle_offset_n_500m_200m_0000,100,osm,cambridge_haggle,dense_urban_irregular,,PASS,676,732,1,1.0,14368.85,547,557,0,0,0,4.9398,0.5264,1.4044,0.7056,0.0,0.8989
OSM_cambridge_haggle_offset_n_500m_200m_0448,600,osm,cambridge_haggle,dense_urban_irregular,,PASS,676,732,1,1.0,14368.85,547,557,0,0,0,4.9398,0.5264,1.4044,0.7056,0.0,0.8989
OSM_cambridge_haggle_offset_n_500m_500m_0328,400,osm,cambridge_haggle,dense_urban_irregular,,PASS,496,532,1,1.0,12472.85,565,541,0,0,0,4.9348,0.3585,3.1183,0.5463,0.0,0.8947
OSM_cambridge_haggle_offset_n_500m_500m_0799,800,osm,cambridge_haggle,dense_urban_irregular,,PASS,496,532,1,1.0,12472.85,565,541,0,0,0,4.9348,0.3585,3.1183,0.5463,0.0,0.8947
OSM_dieselnet_amherst_offset_e_1000m_1000m_0483,600,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,335,351,1,1.0,17123.0,972,1019,0,0,0,4.5405,0.602,1.2831,0.6324,0.0,0.8775
OSM_dieselnet_amherst_offset_e_1000m_1500m_0330,400,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,190,195,1,1.0,9973.47,978,852,0,0,0,3.7788,0.7897,3.0115,0.5736,0.0,0.8667
OSM_dieselnet_amherst_offset_e_1000m_200m_0192,200,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,459,481,1,1.0,17389.93,1028,1051,0,0,0,4.6346,0.543,1.769,0.5442,0.0,0.8919
OSM_dieselnet_amherst_offset_e_1000m_200m_0774,800,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,459,481,1,1.0,17389.93,1028,1051,0,0,0,4.6346,0.543,1.769,0.5442,0.0,0.8919
OSM_dieselnet_amherst_offset_e_1000m_500m_0054,100,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,492,515,1,1.0,18266.29,1048,1051,0,0,0,4.7647,0.5199,2.2889,0.5446,0.0,0.901
OSM_dieselnet_amherst_offset_e_1000m_500m_0632,800,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,492,515,1,1.0,18266.29,1048,1051,0,0,0,4.7647,0.5199,2.2889,0.5446,0.0,0.901
OSM_dieselnet_amherst_offset_e_1500m_1000m_0113,200,osm,dieselnet_amherst,bus_route_urban_suburban,,PASS,834,874,1,1.0,31787.27,1562,1406,0,0,0,4.6833,0.6367,1.0471,0.6603,0.0,0.9108
