scenario_settings,tree,reason,resimulation_recommended
D1_ShelterHotspots_Clusters.settings,base_scenarios,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge.settings,base_scenarios,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility.settings,base_scenarios,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses.settings,base_scenarios,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted.settings,base_scenarios,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D6_ShortTtlCritical_5to10min.settings,base_scenarios,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D7_HighLoad_TrafficStorm.settings,base_scenarios,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D8_InfrastructureReturns_BackboneLinks.settings,base_scenarios,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D9_Critical_1minTTL.settings,base_scenarios,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP01_Baseline.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP02_LowLoad.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP03_ManySmall.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP04_FewLarge.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP05_CriticalTTL.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP06_OneToMany.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP07_BurstWindow.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP08_HubTarget.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP09_Bimodal.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP10_Storm.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP11_ManyToOne.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D1_ShelterHotspots_Clusters__TP12_GroupToGroup.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP01_Baseline.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP02_LowLoad.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP03_ManySmall.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP04_FewLarge.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP05_CriticalTTL.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP06_OneToMany.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP07_BurstWindow.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP08_HubTarget.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP09_Bimodal.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP10_Storm.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP11_ManyToOne.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D2_PartitionedCity_MuleBridge__TP12_GroupToGroup.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP01_Baseline.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP02_LowLoad.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP03_ManySmall.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP04_FewLarge.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP05_CriticalTTL.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP06_OneToMany.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP07_BurstWindow.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP08_HubTarget.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP09_Bimodal.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP10_Storm.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP11_ManyToOne.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D3_Aftershock_ErraticMobility__TP12_GroupToGroup.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP01_Baseline.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP02_LowLoad.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP03_ManySmall.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP04_FewLarge.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP05_CriticalTTL.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP06_OneToMany.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP07_BurstWindow.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP08_HubTarget.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP09_Bimodal.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP10_Storm.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP11_ManyToOne.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D4_MedicalTriage_TwoClasses__TP12_GroupToGroup.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP01_Baseline.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP02_LowLoad.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP03_ManySmall.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP04_FewLarge.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP05_CriticalTTL.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP06_OneToMany.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP07_BurstWindow.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP08_HubTarget.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP09_Bimodal.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP10_Storm.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP11_ManyToOne.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D5_UAVMule_FastRoute_HelsinkiDisrupted__TP12_GroupToGroup.settings,corpus_v1,d5_group1_spmm_fix,yes_if_wkt_or_route_changed
D6_ShortTtlCritical_5to10min__TP01_Baseline.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D6_ShortTtlCritical_5to10min__TP02_LowLoad.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
D6_ShortTtlCritical_5to10min__TP03_ManySmall.settings,corpus_v1,disaster_map_wkt_or_settings,yes_if_wkt_or_route_changed
