settings_path,tree,scenario_name,map_file1,world_size,group1_movement,group1_route_file,route_files,legacy_bus_refs,issues,status
scenarios/base_scenarios/05_disaster/D1_ShelterHotspots_Clusters.settings,base_scenarios,D1_ShelterHotspots_Clusters,data/HelsinkiDisrupted/roads.wkt,"2067, 2206",ClusterMovement,,,0,,PASS
scenarios/base_scenarios/05_disaster/D2_PartitionedCity_MuleBridge.settings,base_scenarios,D2_PartitionedCity_MuleBridge,data/HelsinkiDisrupted/roads.wkt,"2067, 2206",ClusterMovement,,,0,,PASS
scenarios/base_scenarios/05_disaster/D3_Aftershock_ErraticMobility.settings,base_scenarios,D3_Aftershock_ErraticMobility,data/HelsinkiDisrupted/roads.wkt,"2067, 2206",,,,0,,PASS
scenarios/base_scenarios/05_disaster/D4_MedicalTriage_TwoClasses.settings,base_scenarios,D4_MedicalTriage_TwoClasses,data/HelsinkiDisrupted/roads.wkt,"2067, 2206",,,,0,,PASS
scenarios/base_scenarios/05_disaster/D5_UAVMule_FastRoute_HelsinkiDisrupted.settings,base_scenarios,D5_UAVMule_FastRoute_HelsinkiDisrupted,data/HelsinkiDisrupted/roads.wkt,"2067, 2206",ShortestPathMapBasedMovement,,Group2.routeFile=data/HelsinkiDisrupted/A_emergency_route.wkt,0,,PASS
scenarios/base_scenarios/05_disaster/D6_ShortTtlCritical_5to10min.settings,base_scenarios,D6_ShortTtlCritical_5to10min,data/HelsinkiDisrupted/roads.wkt,"2067, 2206",,,,0,,PASS
scenarios/base_scenarios/05_disaster/D7_HighLoad_TrafficStorm.settings,base_scenarios,D7_HighLoad_TrafficStorm,data/HelsinkiDisrupted/roads.wkt,"2067, 2206",,,,0,,PASS
scenarios/base_scenarios/05_disaster/D8_InfrastructureReturns_BackboneLinks.settings,base_scenarios,D8_InfrastructureReturns_BackboneLinks,data/HelsinkiDisrupted/roads.wkt,"2067, 2206",ClusterMovement,,,0,,PASS
scenarios/base_scenarios/05_disaster/D9_Critical_1minTTL.settings,base_scenarios,D9_Critical_1minTTL,data/HelsinkiDisrupted/roads.wkt,"2067, 2206",,,,0,,PASS
scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_Clusters__TP01_Baseline.settings,corpus_v1,D1_ShelterHotspots_Clusters__TP01_Baseline,data/HelsinkiDisrupted/roads.wkt,"2067, 2206",ClusterMovement,,,0,,PASS
