scenario_settings,tree,reason,resimulation_recommended
S1_StrongCommunities_SeparateClusters.settings,base_scenarios,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing.settings,base_scenarios,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm.settings,base_scenarios,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S4_RandomMixing_NoHotspots.settings,base_scenarios,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S5_TwoLayer_StudentsStaff.settings,base_scenarios,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S6_FamilyGroups_SmallPersistent.settings,base_scenarios,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP01_Baseline.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP02_LowLoad.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP03_ManySmall.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP04_FewLarge.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP05_CriticalTTL.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP06_OneToMany.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP07_BurstWindow.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP08_HubTarget.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP09_Bimodal.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP10_Storm.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP11_ManyToOne.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S1_StrongCommunities_SeparateClusters__TP12_GroupToGroup.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP01_Baseline.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP02_LowLoad.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP03_ManySmall.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP04_FewLarge.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP05_CriticalTTL.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP06_OneToMany.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP07_BurstWindow.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP08_HubTarget.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP09_Bimodal.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP10_Storm.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP11_ManyToOne.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S2_WeakCommunities_HighMixing__TP12_GroupToGroup.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP01_Baseline.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP02_LowLoad.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP03_ManySmall.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP04_FewLarge.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP05_CriticalTTL.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP06_OneToMany.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP07_BurstWindow.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP08_HubTarget.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP09_Bimodal.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP10_Storm.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP11_ManyToOne.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S3_PeriodicMeetings_RegularRhythm__TP12_GroupToGroup.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S4_RandomMixing_NoHotspots__TP01_Baseline.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
S4_RandomMixing_NoHotspots__TP02_LowLoad.settings,corpus_v1,social_map_wkt_or_poi,yes_if_wkt_or_poi_changed
