settings_path,tree,scenario_name,map_file1,world_size,n_host_groups,cluster_groups,spmm_groups,map_constrained,route_files_in_settings,issues,status
scenarios/base_scenarios/06_social/S1_StrongCommunities_SeparateClusters.settings,base_scenarios,S1_StrongCommunities_SeparateClusters,data/KallioCommunityCompact/roads.wkt,"1458, 1529",4,4,0,False,,,PASS
scenarios/base_scenarios/06_social/S2_WeakCommunities_HighMixing.settings,base_scenarios,S2_WeakCommunities_HighMixing,data/KallioCommunityCompact/roads.wkt,"1458, 1529",1,0,1,True,,,PASS
scenarios/base_scenarios/06_social/S3_PeriodicMeetings_RegularRhythm.settings,base_scenarios,S3_PeriodicMeetings_RegularRhythm,data/KallioCommunityCompact/roads.wkt,"1458, 1529",1,0,1,True,,,PASS
scenarios/base_scenarios/06_social/S4_RandomMixing_NoHotspots.settings,base_scenarios,S4_RandomMixing_NoHotspots,data/KallioCommunityCompact/roads.wkt,"1458, 1529",1,0,1,True,,,PASS
scenarios/base_scenarios/06_social/S5_TwoLayer_StudentsStaff.settings,base_scenarios,S5_TwoLayer_StudentsStaff,data/KallioCommunityCompact/roads.wkt,"1458, 1529",2,0,1,True,,,PASS
scenarios/base_scenarios/06_social/S6_FamilyGroups_SmallPersistent.settings,base_scenarios,S6_FamilyGroups_SmallPersistent,data/KallioCommunityCompact/roads.wkt,"1458, 1529",12,12,0,False,,,PASS
scenarios/corpus_v1/06_social/S1_StrongCommunities_SeparateClusters__TP01_Baseline.settings,corpus_v1,S1_StrongCommunities_SeparateClusters__TP01_Baseline,data/KallioCommunityCompact/roads.wkt,"1458, 1529",4,4,0,False,,,PASS
scenarios/corpus_v1/06_social/S1_StrongCommunities_SeparateClusters__TP02_LowLoad.settings,corpus_v1,S1_StrongCommunities_SeparateClusters__TP02_LowLoad,data/KallioCommunityCompact/roads.wkt,"1458, 1529",4,4,0,False,,,PASS
scenarios/corpus_v1/06_social/S1_StrongCommunities_SeparateClusters__TP03_ManySmall.settings,corpus_v1,S1_StrongCommunities_SeparateClusters__TP03_ManySmall,data/KallioCommunityCompact/roads.wkt,"1458, 1529",4,4,0,False,,,PASS
scenarios/corpus_v1/06_social/S1_StrongCommunities_SeparateClusters__TP04_FewLarge.settings,corpus_v1,S1_StrongCommunities_SeparateClusters__TP04_FewLarge,data/KallioCommunityCompact/roads.wkt,"1458, 1529",4,4,0,False,,,PASS
