scenario_settings,tree,reason,resimulation_recommended
C1_Campus_ClassChange.settings,base_scenarios,campus_map_wkt_or_settings,yes_if_wkt_changed
C2_ExamDay_LongStays.settings,base_scenarios,campus_map_wkt_or_settings,yes_if_wkt_changed
C3_Hackathon_24h.settings,base_scenarios,campus_map_wkt_or_settings,yes_if_wkt_changed
C4_CampusEvent_IngressEgress.settings,base_scenarios,c4_rename,yes_if_wkt_changed
C5_Library_Quiet.settings,base_scenarios,campus_map_wkt_or_settings,yes_if_wkt_changed
C6_EmergencyDrill_Evacuation.settings,base_scenarios,c6_linear_cleanup,yes_if_wkt_changed
C1_Campus_ClassChange__TP01_Baseline.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP02_LowLoad.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP03_ManySmall.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP04_FewLarge.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP05_CriticalTTL.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP06_OneToMany.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP07_BurstWindow.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP08_HubTarget.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP09_Bimodal.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP10_Storm.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP11_ManyToOne.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C1_Campus_ClassChange__TP12_GroupToGroup.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C2_ExamDay_LongStays__TP01_Baseline.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C2_ExamDay_LongStays__TP02_LowLoad.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C2_ExamDay_LongStays__TP03_ManySmall.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
C2_ExamDay_LongStays__TP04_FewLarge.settings,corpus_v1,campus_map_wkt_or_settings,yes_if_wkt_changed
