settings_path,tree,scenario_name,map_file1,world_size,movement_model,end_time,has_residual_linear,route_file_in_settings,issues,status
scenarios/base_scenarios/02_campus/C1_Campus_ClassChange.settings,base_scenarios,C1_Campus_ClassChange,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/base_scenarios/02_campus/C2_ExamDay_LongStays.settings,base_scenarios,C2_ExamDay_LongStays,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/base_scenarios/02_campus/C3_Hackathon_24h.settings,base_scenarios,C3_Hackathon_24h,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/base_scenarios/02_campus/C4_CampusEvent_IngressEgress.settings,base_scenarios,C4_CampusEvent_IngressEgress,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/base_scenarios/02_campus/C5_Library_Quiet.settings,base_scenarios,C5_Library_Quiet,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/base_scenarios/02_campus/C6_EmergencyDrill_Evacuation.settings,base_scenarios,C6_EmergencyDrill_Evacuation,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP01_Baseline.settings,corpus_v1,C1_Campus_ClassChange__TP01_Baseline,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP02_LowLoad.settings,corpus_v1,C1_Campus_ClassChange__TP02_LowLoad,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP03_ManySmall.settings,corpus_v1,C1_Campus_ClassChange__TP03_ManySmall,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP04_FewLarge.settings,corpus_v1,C1_Campus_ClassChange__TP04_FewLarge,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP05_CriticalTTL.settings,corpus_v1,C1_Campus_ClassChange__TP05_CriticalTTL,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP06_OneToMany.settings,corpus_v1,C1_Campus_ClassChange__TP06_OneToMany,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP07_BurstWindow.settings,corpus_v1,C1_Campus_ClassChange__TP07_BurstWindow,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP08_HubTarget.settings,corpus_v1,C1_Campus_ClassChange__TP08_HubTarget,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP09_Bimodal.settings,corpus_v1,C1_Campus_ClassChange__TP09_Bimodal,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP10_Storm.settings,corpus_v1,C1_Campus_ClassChange__TP10_Storm,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP11_ManyToOne.settings,corpus_v1,C1_Campus_ClassChange__TP11_ManyToOne,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP12_GroupToGroup.settings,corpus_v1,C1_Campus_ClassChange__TP12_GroupToGroup,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP01_Baseline.settings,corpus_v1,C2_ExamDay_LongStays__TP01_Baseline,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP02_LowLoad.settings,corpus_v1,C2_ExamDay_LongStays__TP02_LowLoad,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP03_ManySmall.settings,corpus_v1,C2_ExamDay_LongStays__TP03_ManySmall,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP04_FewLarge.settings,corpus_v1,C2_ExamDay_LongStays__TP04_FewLarge,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP05_CriticalTTL.settings,corpus_v1,C2_ExamDay_LongStays__TP05_CriticalTTL,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP06_OneToMany.settings,corpus_v1,C2_ExamDay_LongStays__TP06_OneToMany,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP07_BurstWindow.settings,corpus_v1,C2_ExamDay_LongStays__TP07_BurstWindow,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP08_HubTarget.settings,corpus_v1,C2_ExamDay_LongStays__TP08_HubTarget,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP09_Bimodal.settings,corpus_v1,C2_ExamDay_LongStays__TP09_Bimodal,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP10_Storm.settings,corpus_v1,C2_ExamDay_LongStays__TP10_Storm,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP11_ManyToOne.settings,corpus_v1,C2_ExamDay_LongStays__TP11_ManyToOne,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP12_GroupToGroup.settings,corpus_v1,C2_ExamDay_LongStays__TP12_GroupToGroup,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP01_Baseline.settings,corpus_v1,C3_Hackathon_24h__TP01_Baseline,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP02_LowLoad.settings,corpus_v1,C3_Hackathon_24h__TP02_LowLoad,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP03_ManySmall.settings,corpus_v1,C3_Hackathon_24h__TP03_ManySmall,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP04_FewLarge.settings,corpus_v1,C3_Hackathon_24h__TP04_FewLarge,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP05_CriticalTTL.settings,corpus_v1,C3_Hackathon_24h__TP05_CriticalTTL,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP06_OneToMany.settings,corpus_v1,C3_Hackathon_24h__TP06_OneToMany,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP07_BurstWindow.settings,corpus_v1,C3_Hackathon_24h__TP07_BurstWindow,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP08_HubTarget.settings,corpus_v1,C3_Hackathon_24h__TP08_HubTarget,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP09_Bimodal.settings,corpus_v1,C3_Hackathon_24h__TP09_Bimodal,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP10_Storm.settings,corpus_v1,C3_Hackathon_24h__TP10_Storm,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP11_ManyToOne.settings,corpus_v1,C3_Hackathon_24h__TP11_ManyToOne,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP12_GroupToGroup.settings,corpus_v1,C3_Hackathon_24h__TP12_GroupToGroup,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,86400,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP01_Baseline.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP01_Baseline,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP02_LowLoad.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP02_LowLoad,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP03_ManySmall.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP03_ManySmall,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP04_FewLarge.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP04_FewLarge,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP05_CriticalTTL.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP05_CriticalTTL,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP06_OneToMany.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP06_OneToMany,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP07_BurstWindow.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP07_BurstWindow,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP08_HubTarget.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP08_HubTarget,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP09_Bimodal.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP09_Bimodal,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP10_Storm.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP10_Storm,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP11_ManyToOne.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP11_ManyToOne,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C4_CampusEvent_IngressEgress__TP12_GroupToGroup.settings,corpus_v1,C4_CampusEvent_IngressEgress__TP12_GroupToGroup,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,10800,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP01_Baseline.settings,corpus_v1,C5_Library_Quiet__TP01_Baseline,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP02_LowLoad.settings,corpus_v1,C5_Library_Quiet__TP02_LowLoad,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP03_ManySmall.settings,corpus_v1,C5_Library_Quiet__TP03_ManySmall,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP04_FewLarge.settings,corpus_v1,C5_Library_Quiet__TP04_FewLarge,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
