scenario_settings,tree,reason,resimulation_recommended
V1_TaxiLow_ManhattanMidtownGrid.settings,base_scenarios,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V2_TaxiHigh_ManhattanMidtownGrid.settings,base_scenarios,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V3_BusOnlyCarriers_ManhattanMidtownGrid.settings,base_scenarios,vehicle_map_wkt_or_settings,yes_if_wkt_or_route_changed
V4_CarOwnership_0_ManhattanMidtownGrid.settings,base_scenarios,vehicle_map_wkt_or_settings,yes_if_wkt_or_route_changed
V5_CarOwnership_100_ManhattanMidtownGrid.settings,base_scenarios,vehicle_map_wkt_or_settings,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP01_Baseline.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP02_LowLoad.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP03_ManySmall.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP04_FewLarge.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP05_CriticalTTL.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP06_OneToMany.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP07_BurstWindow.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP08_HubTarget.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP09_Bimodal.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP10_Storm.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP11_ManyToOne.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
V1_TaxiLow_ManhattanMidtownGrid__TP12_GroupToGroup.settings,corpus_v1,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
