settings_path,tree,scenario_name,map_file1,world_size,group_movement,group1_movement,group1_route_file,group2_route_file,legacy_bus_route_refs,uses_poi_files,issues,status
scenarios/base_scenarios/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid.settings,base_scenarios,V1_TaxiLow_ManhattanMidtownGrid,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/base_scenarios/03_vehicles/V2_TaxiHigh_ManhattanMidtownGrid.settings,base_scenarios,V2_TaxiHigh_ManhattanMidtownGrid,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/base_scenarios/03_vehicles/V3_BusOnlyCarriers_ManhattanMidtownGrid.settings,base_scenarios,V3_BusOnlyCarriers_ManhattanMidtownGrid,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",,BusMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,data/ManhattanMidtownGrid/B_vehicle_route.wkt,0,False,,PASS
scenarios/base_scenarios/03_vehicles/V4_CarOwnership_0_ManhattanMidtownGrid.settings,base_scenarios,V4_CarOwnership_0_ManhattanMidtownGrid,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",WorkingDayMovement,BusMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,data/ManhattanMidtownGrid/A_vehicle_route.wkt,0,True,,PASS
scenarios/base_scenarios/03_vehicles/V5_CarOwnership_100_ManhattanMidtownGrid.settings,base_scenarios,V5_CarOwnership_100_ManhattanMidtownGrid,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",WorkingDayMovement,BusMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,data/ManhattanMidtownGrid/A_vehicle_route.wkt,0,True,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP01_Baseline.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP01_Baseline,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP02_LowLoad.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP02_LowLoad,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP03_ManySmall.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP03_ManySmall,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP04_FewLarge.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP04_FewLarge,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP05_CriticalTTL.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP05_CriticalTTL,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP06_OneToMany.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP06_OneToMany,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP07_BurstWindow.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP07_BurstWindow,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP08_HubTarget.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP08_HubTarget,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP09_Bimodal.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP09_Bimodal,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP10_Storm.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP10_Storm,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
scenarios/corpus_v1/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid__TP11_ManyToOne.settings,corpus_v1,V1_TaxiLow_ManhattanMidtownGrid__TP11_ManyToOne,data/ManhattanMidtownGrid/roads.wkt,"2500, 2366",MapRouteMovement,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,,0,False,,PASS
