scenario_settings,tree,reason,resimulation_recommended
R10_TinyRange_5m.settings,base_scenarios,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R11_SpeedExtremeLow.settings,base_scenarios,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R12_SpeedExtremeHigh.settings,base_scenarios,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R1_Rural_SparseSPMM.settings,base_scenarios,r1_rename_sparse_sppm,yes_if_wkt_or_route_changed
R2_VillagesTrails_ThreeClusters.settings,base_scenarios,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R3_WildlifeTracking.settings,base_scenarios,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R4_ParkRangers_NuuksioSparseTrails.settings,base_scenarios,legacy_A_bus_routeFile_fix,yes_if_wkt_or_route_changed
R5_MountainRescue.settings,base_scenarios,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R6_SparseLongRange.settings,base_scenarios,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R7_SparseTinyBuffer.settings,base_scenarios,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R8_IntermittentPower.settings,base_scenarios,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R9_ExtremeRange_200m.settings,base_scenarios,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP01_Baseline.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP02_LowLoad.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP03_ManySmall.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP04_FewLarge.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP05_CriticalTTL.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP06_OneToMany.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP07_BurstWindow.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP08_HubTarget.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP09_Bimodal.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP10_Storm.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP11_ManyToOne.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R10_TinyRange_5m__TP12_GroupToGroup.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R11_SpeedExtremeLow__TP01_Baseline.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R11_SpeedExtremeLow__TP02_LowLoad.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
R11_SpeedExtremeLow__TP03_ManySmall.settings,corpus_v1,rural_map_wkt_or_settings,yes_if_wkt_or_route_changed
