scenario_stem,scenario_name,category,role_notes,map_file1,uses_nuuksio_map,movement_model,group1_movement,n_host_groups,n_hosts,transmit_range_m,uses_ranger_patrol,route_file
R10_TinyRange_5m,R10_TinyRange_5m,rural_extreme_control,Sensitivity: 5 m range; low delivery expected by design,data/NuuksioSparseTrails/roads.wkt,True,ShortestPathMapBasedMovement,ShortestPathMapBasedMovement,1,32,5,False,
R11_SpeedExtremeLow,R11_SpeedExtremeLow,rural_extreme_control,Sensitivity: very low movement speed,data/NuuksioSparseTrails/roads.wkt,True,ShortestPathMapBasedMovement,ShortestPathMapBasedMovement,1,28,10,False,
R12_SpeedExtremeHigh,R12_SpeedExtremeHigh,rural_extreme_control,Sensitivity: very high movement speed on trails,data/NuuksioSparseTrails/roads.wkt,True,ShortestPathMapBasedMovement,ShortestPathMapBasedMovement,1,40,10,False,
R1_Rural_SparseSPMM,R1_Rural_SparseSPMM,rural_realistic,Sparse SPMM on trails; few hosts; renamed from RandomWaypoint misnomer,data/NuuksioSparseTrails/roads.wkt,True,ShortestPathMapBasedMovement,ShortestPathMapBasedMovement,1,25,10,False,
R2_VillagesTrails_ThreeClusters,R2_VillagesTrails_ThreeClusters,rural_realistic,Three ClusterMovement villages on trail graph,data/NuuksioSparseTrails/roads.wkt,True,ClusterMovement,ClusterMovement,3,12,10,False,
R3_WildlifeTracking,R3_WildlifeTracking,rural_realistic,Dispersed wildlife/sensor nodes; SPMM,data/NuuksioSparseTrails/roads.wkt,True,ShortestPathMapBasedMovement,ShortestPathMapBasedMovement,1,20,10,False,
R4_ParkRangers_NuuksioSparseTrails,R4_ParkRangers_NuuksioSparseTrails,rural_realistic,Anchor scenario: MapRouteMovement on A_ranger_patrol.wkt,data/NuuksioSparseTrails/roads.wkt,True,MapRouteMovement,MapRouteMovement,1,3,10,True,data/NuuksioSparseTrails/A_ranger_patrol.wkt
R5_MountainRescue,R5_MountainRescue,rural_realistic,Mountain rescue proxy; SPMM on sparse trails,data/NuuksioSparseTrails/roads.wkt,True,ShortestPathMapBasedMovement,ShortestPathMapBasedMovement,1,26,12,False,
R6_SparseLongRange,R6_SparseLongRange,rural_extreme_control,Sensitivity: elevated transmitRange in sparse environment,data/NuuksioSparseTrails/roads.wkt,True,ShortestPathMapBasedMovement,ShortestPathMapBasedMovement,1,18,200,False,
R7_SparseTinyBuffer,R7_SparseTinyBuffer,rural_extreme_control,Sensitivity: minimal buffer in sparse environment,data/NuuksioSparseTrails/roads.wkt,True,ShortestPathMapBasedMovement,ShortestPathMapBasedMovement,1,38,12,False,
R8_IntermittentPower,R8_IntermittentPower,rural_realistic,Rural technology: intermittent connectivity/power,data/NuuksioSparseTrails/roads.wkt,True,ShortestPathMapBasedMovement,ShortestPathMapBasedMovement,1,35,10,False,
R9_ExtremeRange_200m,R9_ExtremeRange_200m,rural_extreme_control,Sensitivity: 200 m range (extreme for rural radio),data/NuuksioSparseTrails/roads.wkt,True,ShortestPathMapBasedMovement,ShortestPathMapBasedMovement,1,40,200,False,
