settings_path,tree,scenario_name,map_file1,world_size,group_movement,group1_movement,route_files,legacy_bus_refs,issues,status
scenarios/base_scenarios/04_rural/R10_TinyRange_5m.settings,base_scenarios,R10_TinyRange_5m,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/base_scenarios/04_rural/R11_SpeedExtremeLow.settings,base_scenarios,R11_SpeedExtremeLow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/base_scenarios/04_rural/R12_SpeedExtremeHigh.settings,base_scenarios,R12_SpeedExtremeHigh,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/base_scenarios/04_rural/R1_Rural_SparseSPMM.settings,base_scenarios,R1_Rural_SparseSPMM,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/base_scenarios/04_rural/R2_VillagesTrails_ThreeClusters.settings,base_scenarios,R2_VillagesTrails_ThreeClusters,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ClusterMovement,ClusterMovement,,0,,PASS
scenarios/base_scenarios/04_rural/R3_WildlifeTracking.settings,base_scenarios,R3_WildlifeTracking,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/base_scenarios/04_rural/R4_ParkRangers_NuuksioSparseTrails.settings,base_scenarios,R4_ParkRangers_NuuksioSparseTrails,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",MapRouteMovement,MapRouteMovement,Group.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt; Group1.routeFile=data/NuuksioSparseTrails/A_ranger_patrol.wkt,0,,PASS
scenarios/base_scenarios/04_rural/R5_MountainRescue.settings,base_scenarios,R5_MountainRescue,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/base_scenarios/04_rural/R6_SparseLongRange.settings,base_scenarios,R6_SparseLongRange,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/base_scenarios/04_rural/R7_SparseTinyBuffer.settings,base_scenarios,R7_SparseTinyBuffer,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/base_scenarios/04_rural/R8_IntermittentPower.settings,base_scenarios,R8_IntermittentPower,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/base_scenarios/04_rural/R9_ExtremeRange_200m.settings,base_scenarios,R9_ExtremeRange_200m,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP01_Baseline.settings,corpus_v1,R10_TinyRange_5m__TP01_Baseline,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP02_LowLoad.settings,corpus_v1,R10_TinyRange_5m__TP02_LowLoad,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP03_ManySmall.settings,corpus_v1,R10_TinyRange_5m__TP03_ManySmall,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP04_FewLarge.settings,corpus_v1,R10_TinyRange_5m__TP04_FewLarge,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP05_CriticalTTL.settings,corpus_v1,R10_TinyRange_5m__TP05_CriticalTTL,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP06_OneToMany.settings,corpus_v1,R10_TinyRange_5m__TP06_OneToMany,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP07_BurstWindow.settings,corpus_v1,R10_TinyRange_5m__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP08_HubTarget.settings,corpus_v1,R10_TinyRange_5m__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP09_Bimodal.settings,corpus_v1,R10_TinyRange_5m__TP09_Bimodal,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP10_Storm.settings,corpus_v1,R10_TinyRange_5m__TP10_Storm,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP11_ManyToOne.settings,corpus_v1,R10_TinyRange_5m__TP11_ManyToOne,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R10_TinyRange_5m__TP12_GroupToGroup.settings,corpus_v1,R10_TinyRange_5m__TP12_GroupToGroup,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP01_Baseline.settings,corpus_v1,R11_SpeedExtremeLow__TP01_Baseline,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP02_LowLoad.settings,corpus_v1,R11_SpeedExtremeLow__TP02_LowLoad,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP03_ManySmall.settings,corpus_v1,R11_SpeedExtremeLow__TP03_ManySmall,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP04_FewLarge.settings,corpus_v1,R11_SpeedExtremeLow__TP04_FewLarge,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP05_CriticalTTL.settings,corpus_v1,R11_SpeedExtremeLow__TP05_CriticalTTL,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP06_OneToMany.settings,corpus_v1,R11_SpeedExtremeLow__TP06_OneToMany,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R11_SpeedExtremeLow__TP07_BurstWindow.settings,corpus_v1,R11_SpeedExtremeLow__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
