scenario,scenario_base,traffic_profile_id,Scenario.endTime,n_created,t_min,t_max,t_mean,t_median,t_p10,t_p25,t_p75,t_p90,pct_at_t0,pct_first_10pct_sim,pct_last_10pct_sim,data_source
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,U1_CBD_Commuting_HelsinkiDowntown,TP01,43200.0,492,87.0,43163.0,21684.04674796748,21711.0,4494.5,11085.0,32255.0,38882.0,0.0,9.75609756097561,10.16260162601626,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP02_LowLoad,U1_CBD_Commuting_HelsinkiDowntown,TP02,43200.0,96,327.0,42947.0,21519.072916666668,21563.5,4328.0,10570.75,32186.75,38967.5,0.0,10.416666666666666,10.416666666666666,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP03_ManySmall,U1_CBD_Commuting_HelsinkiDowntown,TP03,43200.0,2218,17.0,43192.0,21422.60099188458,21310.0,4354.4,10500.5,32230.0,38843.7,0.0,9.963931469792605,9.963931469792605,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP04_FewLarge,U1_CBD_Commuting_HelsinkiDowntown,TP04,43200.0,179,267.0,43122.0,21681.31843575419,21915.0,4538.2,11114.0,32218.0,38830.0,0.0,9.497206703910615,10.05586592178771,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP05_CriticalTTL,U1_CBD_Commuting_HelsinkiDowntown,TP05,43200.0,492,87.0,43163.0,21684.04674796748,21711.0,4494.5,11085.0,32255.0,38882.0,0.0,9.75609756097561,10.16260162601626,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP06_OneToMany,U1_CBD_Commuting_HelsinkiDowntown,TP06,43200.0,970,57.0,43173.0,21617.198969072164,21518.5,4363.6,10764.25,32507.5,38945.1,0.0,10.0,10.206185567010309,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP07_BurstWindow,U1_CBD_Commuting_HelsinkiDowntown,TP07,43200.0,366,8652.0,12089.0,10405.939890710382,10437.5,8996.5,9552.0,11284.75,11769.5,0.0,0.0,0.0,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP08_HubTarget,U1_CBD_Commuting_HelsinkiDowntown,TP08,43200.0,970,57.0,43173.0,21617.198969072164,21518.5,4363.6,10764.25,32507.5,38945.1,0.0,10.0,10.206185567010309,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP09_Bimodal,U1_CBD_Commuting_HelsinkiDowntown,TP09,43200.0,588,87.0,43163.0,21724.76530612245,21711.0,4533.5,11146.75,32321.0,38919.899999999994,0.0,9.523809523809524,10.204081632653061,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP10_Storm,U1_CBD_Commuting_HelsinkiDowntown,TP10,43200.0,6173,7.0,43197.0,21598.80803499109,21615.0,4277.6,10811.0,32412.0,38845.200000000004,0.0,10.108537178033371,9.93034181111291,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP11_ManyToOne,U1_CBD_Commuting_HelsinkiDowntown,TP11,43200.0,970,57.0,43173.0,21617.198969072164,21518.5,4363.6,10764.25,32507.5,38945.1,0.0,10.0,10.206185567010309,MessageEventGenerator_sim
U1_CBD_Commuting_HelsinkiDowntown__TP12_GroupToGroup,U1_CBD_Commuting_HelsinkiDowntown,TP12,43200.0,489,87.0,43147.0,21651.969325153375,21754.0,4470.4,11012.0,32283.0,38672.0,0.0,9.815950920245399,9.611451942740286,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP01_Baseline,U2_SparseUrban_HelsinkiDowntown,TP01,43200.0,478,87.0,43151.0,21536.725941422595,21609.0,4143.900000000001,10551.75,32428.5,38720.7,0.0,10.460251046025105,9.623430962343097,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP02_LowLoad,U2_SparseUrban_HelsinkiDowntown,TP02,43200.0,97,327.0,43011.0,21509.443298969072,21324.0,4303.0,10917.0,32206.0,39125.600000000006,0.0,10.309278350515465,11.34020618556701,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP03_ManySmall,U2_SparseUrban_HelsinkiDowntown,TP03,43200.0,2230,17.0,43193.0,21428.320627802692,21327.5,4215.0,10549.0,32247.75,38817.899999999994,0.0,10.269058295964125,9.910313901345292,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP04_FewLarge,U2_SparseUrban_HelsinkiDowntown,TP04,43200.0,181,267.0,42979.0,21480.46961325967,21553.0,4540.0,10858.0,32112.0,38543.0,0.0,9.392265193370166,9.392265193370166,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP05_CriticalTTL,U2_SparseUrban_HelsinkiDowntown,TP05,43200.0,478,87.0,43151.0,21536.725941422595,21609.0,4143.900000000001,10551.75,32428.5,38720.7,0.0,10.460251046025105,9.623430962343097,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP06_OneToMany,U2_SparseUrban_HelsinkiDowntown,TP06,43200.0,970,57.0,43173.0,21617.198969072164,21518.5,4363.6,10764.25,32507.5,38945.1,0.0,10.0,10.206185567010309,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP07_BurstWindow,U2_SparseUrban_HelsinkiDowntown,TP07,43200.0,374,8652.0,12090.0,10363.163101604277,10383.0,8945.0,9467.5,11235.0,11746.5,0.0,0.0,0.0,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP08_HubTarget,U2_SparseUrban_HelsinkiDowntown,TP08,43200.0,970,57.0,43173.0,21617.198969072164,21518.5,4363.6,10764.25,32507.5,38945.1,0.0,10.0,10.206185567010309,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP09_Bimodal,U2_SparseUrban_HelsinkiDowntown,TP09,43200.0,576,87.0,43151.0,21608.70486111111,21693.5,4297.0,10698.75,32435.5,38713.5,0.0,10.069444444444445,9.54861111111111,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP10_Storm,U2_SparseUrban_HelsinkiDowntown,TP10,43200.0,6156,7.0,43196.0,21564.213287849252,21587.5,4253.5,10764.75,32355.25,38824.5,0.0,10.152696556205328,9.876543209876543,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP11_ManyToOne,U2_SparseUrban_HelsinkiDowntown,TP11,43200.0,970,57.0,43173.0,21617.198969072164,21518.5,4363.6,10764.25,32507.5,38945.1,0.0,10.0,10.206185567010309,MessageEventGenerator_sim
U2_SparseUrban_HelsinkiDowntown__TP12_GroupToGroup,U2_SparseUrban_HelsinkiDowntown,TP12,43200.0,489,87.0,43147.0,21651.969325153375,21754.0,4470.4,11012.0,32283.0,38672.0,0.0,9.815950920245399,9.611451942740286,MessageEventGenerator_sim
U3_MicroMobility_HelsinkiDowntown__TP01_Baseline,U3_MicroMobility_HelsinkiDowntown,TP01,43200.0,481,87.0,43182.0,21570.361746361745,21557.0,4253.0,10741.0,32436.0,38758.0,0.0,10.187110187110187,9.771309771309772,MessageEventGenerator_sim
U3_MicroMobility_HelsinkiDowntown__TP02_LowLoad,U3_MicroMobility_HelsinkiDowntown,TP02,43200.0,95,327.0,42945.0,21382.726315789474,21273.0,4272.6,10850.5,31700.5,38402.2,0.0,10.526315789473685,9.473684210526315,MessageEventGenerator_sim
