prev_batch,batch,threshold,near_redundant_new_count,near_redundant_new_fraction,invalid_new_fraction,redundant_plus_invalid,extension_eligible,extension_majority_pass
100,200,0.15,11,0.12941176470588237,0.15,0.27941176470588236,False,False
100,200,0.2,16,0.18823529411764706,0.15,0.3382352941176471,False,False
100,200,0.25,18,0.21176470588235294,0.15,0.36176470588235293,False,False
100,200,0.3,21,0.24705882352941178,0.15,0.3970588235294118,False,False
100,200,0.35,22,0.25882352941176473,0.15,0.4088235294117647,False,False
200,400,0.15,31,0.18023255813953487,0.14,0.3202325581395349,False,False
200,400,0.2,39,0.22674418604651161,0.14,0.3667441860465116,False,False
200,400,0.25,45,0.2616279069767442,0.14,0.4016279069767442,False,False
200,400,0.3,52,0.3023255813953488,0.14,0.44232558139534883,False,False
200,400,0.35,64,0.37209302325581395,0.14,0.512093023255814,False,False
400,600,0.15,52,0.28888888888888886,0.1,0.38888888888888884,False,False
400,600,0.2,66,0.36666666666666664,0.1,0.4666666666666667,False,False
400,600,0.25,74,0.4111111111111111,0.1,0.5111111111111111,False,False
400,600,0.3,79,0.4388888888888889,0.1,0.5388888888888889,False,False
400,600,0.35,84,0.4666666666666667,0.1,0.5666666666666667,False,False
600,800,0.15,58,0.3314285714285714,0.125,0.4564285714285714,False,False
600,800,0.2,73,0.41714285714285715,0.125,0.5421428571428571,False,False
600,800,0.25,77,0.44,0.125,0.565,False,False
600,800,0.3,86,0.49142857142857144,0.125,0.6164285714285714,False,False
600,800,0.35,93,0.5314285714285715,0.125,0.6564285714285715,False,False
800,1000,0.15,71,0.39226519337016574,0.095,0.4872651933701657,True,False
800,1000,0.2,82,0.4530386740331492,0.095,0.5480386740331492,True,True
800,1000,0.25,89,0.49171270718232046,0.095,0.5867127071823205,True,True
800,1000,0.3,98,0.5414364640883977,0.095,0.6364364640883977,True,True
800,1000,0.35,105,0.580110497237569,0.095,0.675110497237569,True,True
1000,1200,0.15,71,0.398876404494382,0.11,0.508876404494382,True,True
1000,1200,0.2,83,0.46629213483146065,0.11,0.5762921348314607,True,True
1000,1200,0.25,93,0.5224719101123596,0.11,0.6324719101123596,True,True
1000,1200,0.3,100,0.5617977528089888,0.11,0.6717977528089888,True,True
1000,1200,0.35,106,0.5955056179775281,0.11,0.7055056179775281,True,True
1200,1600,0.15,6,0.03636363636363636,0.5875,0.6238636363636364,True,True
1200,1600,0.2,10,0.06060606060606061,0.5875,0.6481060606060607,True,True
1200,1600,0.25,22,0.13333333333333333,0.5875,0.7208333333333333,True,True
1200,1600,0.3,34,0.20606060606060606,0.5875,0.7935606060606061,True,True
1200,1600,0.35,43,0.2606060606060606,0.5875,0.8481060606060606,True,True
1600,2000,0.15,6,0.0379746835443038,0.605,0.6429746835443038,True,True
1600,2000,0.2,12,0.0759493670886076,0.605,0.6809493670886075,True,True
1600,2000,0.25,24,0.1518987341772152,0.605,0.7568987341772152,True,True
1600,2000,0.3,45,0.2848101265822785,0.605,0.8898101265822784,True,True
1600,2000,0.35,61,0.3860759493670886,0.605,0.9910759493670886,True,True
