scenario,delivery_ratio,latency_mean,overhead_ratio,drop_ratio
C1_Campus_ClassChange,0.9286,1863.4769,58.0769,33.714285714285715
C2_ExamDay_LongStays,0.2857,2354.7301,42.6176,12.789915966386555
C3_Hackathon_24h,0.5561,10912.9843,39.1839,20.71072319201995
C4_Stadium_IngressEgress,1.0,2202.4995,77.3057,0.0
C5_Festival_MultiHotspots_HelsinkiMedium,0.2014,8560.2275,70.2576,7.841638225255973
C6_Conference_Networking_HelsinkiMedium,0.1393,7834.5749,59.8966,4.7089910775566235
C7_Library_Quiet,0.6556,9614.211,42.5506,22.922544951590595
C8_EmergencyDrill_Evacuation,0.5081,0.4399,77.2128,0.0
D1_ShelterHotspots_Clusters,0.3034,552.9778,81.6818,14.89655172413793
D2_PartitionedCity_MuleBridge,0.4429,3829.9325,68.589,20.07608695652174
D3_Aftershock_ErraticMobility,0.0,,,1.0288
D4_MedicalTriage_TwoClasses,0.0175,21161.86,33.8333,0.8674065420560748
D5_UAVMule_FastRoute_HelsinkiMedium,0.0052,366.75,36.5,0.7242268041237113
D6_ShortTtlCritical_5to10min,0.0,,,0.9821138211382113
D7_HighLoad_TrafficStorm,0.0198,6163.4596,34.2193,0.0
D8_InfrastructureReturns_BackboneLinks,0.4607,2015.7523,79.3182,22.976439790575917
D9_Critical_1minTTL,0.0,,,1.0
R10_TinyRange_5m,0.0,,,0.7164750957854407
R11_SpeedExtremeLow,0.0,,,0.6504854368932039
R12_SpeedExtremeHigh,0.8611,4581.7161,27.1952,19.519444444444446
R1_Rural_RandomWaypoint,0.0,,,0.5741758241758241
R2_VillagesTrails_ThreeClusters,0.2061,7519.8667,39.4074,6.282442748091603
R3_WildlifeTracking,0.0,,,0.0
R4_ParkRangers_HelsinkiMedium,0.5263,4585.8936,0.8364,0.9138755980861244
R5_MountainRescue,0.0,,,0.9602649006622517
R6_SparseLongRange,0.0276,8385.9,22.0,1.1767955801104972
R7_SparseTinyBuffer,0.0013,2983.9,25.5,0.954915466499687
R8_IntermittentPower,0.0131,11138.7714,20.7143,0.8408239700374532
R9_ExtremeRange_200m,0.8797,6599.8016,37.0521,22.97134670487106
S01A_Urban_WorkingDay_HelsinkiMedium,,,,
S01A_Urban_WorkingDay,,,,
S1_StrongCommunities_SeparateClusters,0.2322,930.2812,110.7412,15.55464480874317
S2_WeakCommunities_HighMixing,0.7058,9286.4354,74.5392,40.61283185840708
S3_PeriodicMeetings_RegularRhythm,0.0144,5313.68,82.0,1.8645533141210375
S4_RandomMixing_NoHotspots,0.0374,10118.7692,39.6923,1.7528735632183907
S5_TwoLayer_StudentsStaff,0.0853,10002.4892,67.6757,5.493087557603687
S6_FamilyGroups_SmallPersistent,0.0728,1869.8133,33.2667,2.029126213592233
T10_HighRateLowSpeed_Congestion,0.0108,7291.5789,13.6842,0.696590909090909
T11_TTL_1min,0.0,,,1.0
T12_TTL_Infinite_Buffer200M,0.0458,20102.7385,31.3846,0.0
T13_Buffer_256k,0.0069,7036.0,17.6667,0.6889400921658986
T14_Buffer_200M,0.0358,4197.9643,43.5714,2.3222506393861893
T15_TransmitSpeed_256k,0.0942,8784.6333,23.4762,2.1300448430493275
T1_ManySmallMsgs_HighRate,0.0279,9117.8914,32.0156,1.2441632118699542
T2_FewHugeMsgs_LowRate,0.0,,,1.553191489361702
T3_MixedBimodal_SmallAndLarge,0.0205,9614.3529,44.4706,1.2671480144404332
T4_VeryShortTtl_5to10min,0.0,,,0.9946524064171123
T5_VeryLongTtl_6to24h,0.0932,24025.4,47.8,0.0
T6_UniformSources_RandomFromTo,0.0143,8596.06,37.6,1.0342857142857143
T7_TargetedToHubs_FewDestinations,0.0278,5908.6538,37.6923,1.3811563169164882
T8_BurstTraffic_TimeWindows,0.0271,9507.3667,37.8333,2.024830699774266
T9_BufferStress_SmallBufferHighTraffic,0.0119,9680.7906,39.9063,0.9974045235446792
U10_WorkdayLong_HelsinkiMedium,0.0376,1468.5727,76.6182,2.8673957621326043
U11_OfficeWaitHeavyTail_HelsinkiMedium,0.1285,8205.5324,75.1064,7.7053998632946
U12_HighTimeVariance_HelsinkiMedium,0.1825,7816.6536,77.1086,8.349282296650717
U1_CBD_Commuting_HelsinkiMedium,0.2262,8446.5668,72.9003,9.371838687628161
U2_RetailHeavy_HelsinkiMedium,0.1989,8474.2402,79.6082,8.48462064251538
U3_NightlifeClusters_HelsinkiMedium,0.2126,8567.7328,75.8971,12.24606971975393
U4_RainyDay_SlowMobility_HelsinkiMedium,0.1599,8757.8162,72.5726,7.122351332877649
U5_SparseSuburb_HelsinkiMedium,0.1616,7393.6388,32.962,3.7184730743012953
U6_DenseDowntown_HelsinkiMedium,0.1549,8514.092,117.615,11.901302261823167
U7_MicroMobility_HelsinkiMedium,0.2321,7990.6238,142.4971,19.30580204778157
U8_CongestionHotspot_HelsinkiMedium,0.1709,8192.202,72.536,7.917293233082707
U9_WorkdayShort_HelsinkiMedium,0.1613,7978.3449,80.9195,13.4066985645933
V1_TaxiLow_HelsinkiMedium,0.8101,4054.0638,2.4879,1.9040247678018576
V2_TaxiHigh_HelsinkiMedium,0.8426,1255.374,404.5909,337.1209213051823
V3_BusOnlyCarriers_HelsinkiMedium,0.2276,3728.1967,2.1205,0.9033584647018505
V4_MixedBusPed_HelsinkiMedium,0.1839,7915.552,81.0706,8.404647983595352
V5_RushHourBusDensity_HelsinkiMedium,0.176,8144.2226,79.284,11.032876712328767
V6_CarOwnership_0_HelsinkiMedium,0.2064,7249.5262,78.8841,9.941216678058783
V7_CarOwnership_100_HelsinkiMedium,0.1442,8155.664,62.9716,3.96514012303486
V8_RoadClosure_HelsinkiMedium,0.1422,8829.7572,79.2019,6.432672590567328
default_scenario,,,,
