family,scenario_base,scenario_name,traffic_profile_id,traffic_profile_name,settings_file,n_hosts,Scenario.endTime,Group.msgTtl_minutes,Events.nrof,Events1.interval,Events1.size,note
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP01_Baseline,TP01,Baseline,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP01_Baseline.settings,80,43200,7200,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP02_LowLoad,TP02,LowLoad,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP02_LowLoad.settings,80,43200,21600,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP03_ManySmall,TP03,ManySmall,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP03_ManySmall.settings,80,43200,7200,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP04_FewLarge,TP04,FewLarge,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP04_FewLarge.settings,80,43200,14400,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP05_CriticalTTL,TP05,CriticalTTL,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP05_CriticalTTL.settings,80,43200,5,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP06_OneToMany,TP06,OneToMany,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP06_OneToMany.settings,80,43200,7200,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP07_BurstWindow,TP07,BurstWindow,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP07_BurstWindow.settings,80,43200,7200,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP08_HubTarget,TP08,HubTarget,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP08_HubTarget.settings,80,43200,7200,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP09_Bimodal,TP09,Bimodal,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP09_Bimodal.settings,80,43200,7200,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP10_Storm,TP10,Storm,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP10_Storm.settings,80,43200,60,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP11_ManyToOne,TP11,ManyToOne,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP11_ManyToOne.settings,80,43200,7200,,,,
05_disaster,D1_ShelterHotspots_EmergencyMobility,D1_ShelterHotspots_EmergencyMobility__TP12_GroupToGroup,TP12,GroupToGroup,scenarios/corpus_v1/05_disaster/D1_ShelterHotspots_EmergencyMobility__TP12_GroupToGroup.settings,80,43200,7200,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP01_Baseline,TP01,Baseline,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP01_Baseline.settings,36,43200,7200,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP02_LowLoad,TP02,LowLoad,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP02_LowLoad.settings,36,43200,21600,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP03_ManySmall,TP03,ManySmall,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP03_ManySmall.settings,36,43200,7200,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP04_FewLarge,TP04,FewLarge,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP04_FewLarge.settings,36,43200,14400,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP05_CriticalTTL,TP05,CriticalTTL,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP05_CriticalTTL.settings,36,43200,5,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP06_OneToMany,TP06,OneToMany,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP06_OneToMany.settings,36,43200,7200,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP07_BurstWindow,TP07,BurstWindow,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP07_BurstWindow.settings,36,43200,7200,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP08_HubTarget,TP08,HubTarget,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP08_HubTarget.settings,36,43200,7200,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP09_Bimodal,TP09,Bimodal,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP09_Bimodal.settings,36,43200,7200,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP10_Storm,TP10,Storm,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP10_Storm.settings,36,43200,60,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP11_ManyToOne,TP11,ManyToOne,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP11_ManyToOne.settings,36,43200,7200,,,,
04_rural,R2_VillagesTrails_InterVillage,R2_VillagesTrails_InterVillage__TP12_GroupToGroup,TP12,GroupToGroup,scenarios/corpus_v1/04_rural/R2_VillagesTrails_InterVillage__TP12_GroupToGroup.settings,36,43200,7200,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP01_Baseline,TP01,Baseline,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP01_Baseline.settings,110,43200,7200,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP02_LowLoad,TP02,LowLoad,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP02_LowLoad.settings,110,43200,21600,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP03_ManySmall,TP03,ManySmall,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP03_ManySmall.settings,110,43200,7200,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP04_FewLarge,TP04,FewLarge,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP04_FewLarge.settings,110,43200,14400,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP05_CriticalTTL,TP05,CriticalTTL,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP05_CriticalTTL.settings,110,43200,5,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP06_OneToMany,TP06,OneToMany,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP06_OneToMany.settings,110,43200,7200,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP07_BurstWindow,TP07,BurstWindow,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP07_BurstWindow.settings,110,43200,7200,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP08_HubTarget,TP08,HubTarget,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP08_HubTarget.settings,110,43200,7200,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP09_Bimodal,TP09,Bimodal,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP09_Bimodal.settings,110,43200,7200,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP10_Storm,TP10,Storm,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP10_Storm.settings,110,43200,60,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP11_ManyToOne,TP11,ManyToOne,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP11_ManyToOne.settings,110,43200,7200,,,,
06_social,S1_StrongCommunities_LimitedMixing,S1_StrongCommunities_LimitedMixing__TP12_GroupToGroup,TP12,GroupToGroup,scenarios/corpus_v1/06_social/S1_StrongCommunities_LimitedMixing__TP12_GroupToGroup.settings,110,43200,7200,,,,
06_social,S6_FamilyGroups_LocalRoutines,S6_FamilyGroups_LocalRoutines__TP01_Baseline,TP01,Baseline,scenarios/corpus_v1/06_social/S6_FamilyGroups_LocalRoutines__TP01_Baseline.settings,46,43200,7200,,,,
06_social,S6_FamilyGroups_LocalRoutines,S6_FamilyGroups_LocalRoutines__TP02_LowLoad,TP02,LowLoad,scenarios/corpus_v1/06_social/S6_FamilyGroups_LocalRoutines__TP02_LowLoad.settings,46,43200,21600,,,,
06_social,S6_FamilyGroups_LocalRoutines,S6_FamilyGroups_LocalRoutines__TP03_ManySmall,TP03,ManySmall,scenarios/corpus_v1/06_social/S6_FamilyGroups_LocalRoutines__TP03_ManySmall.settings,46,43200,7200,,,,
06_social,S6_FamilyGroups_LocalRoutines,S6_FamilyGroups_LocalRoutines__TP04_FewLarge,TP04,FewLarge,scenarios/corpus_v1/06_social/S6_FamilyGroups_LocalRoutines__TP04_FewLarge.settings,46,43200,14400,,,,
06_social,S6_FamilyGroups_LocalRoutines,S6_FamilyGroups_LocalRoutines__TP05_CriticalTTL,TP05,CriticalTTL,scenarios/corpus_v1/06_social/S6_FamilyGroups_LocalRoutines__TP05_CriticalTTL.settings,46,43200,5,,,,
06_social,S6_FamilyGroups_LocalRoutines,S6_FamilyGroups_LocalRoutines__TP06_OneToMany,TP06,OneToMany,scenarios/corpus_v1/06_social/S6_FamilyGroups_LocalRoutines__TP06_OneToMany.settings,46,43200,7200,,,,
