scenario,family,scenario_base,traffic_profile_id,Scenario.endTime,map_dataset,final_coverage_pct,cells_visited_pct,time_to_50pct,time_to_80pct,time_to_90pct,map_name,grid_size,world_width,world_height,world_total_cells,world_visited_cells,coverage_world_pct,map_bbox_total_cells,map_bbox_visited_cells,coverage_map_bbox_pct,road_total_cells,road_visited_cells,coverage_road_cells_pct,road_buffer_10m_total_cells,road_buffer_10m_visited_cells,coverage_road_buffer_10m_pct,road_buffer_15m_total_cells,road_buffer_15m_visited_cells,coverage_road_buffer_15m_pct,road_buffer_25m_total_cells,road_buffer_25m_visited_cells,coverage_road_buffer_25m_pct,world_x,world_y,source_file,delivery_ratio,latency_mean,overhead_ratio,drop_ratio
R2_VillagesTrails_ThreeClusters__TP01_Baseline,04_rural,R2_VillagesTrails_ThreeClusters,TP01,43200.0,NuuksioSparseTrails,6.24,6.24,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,156.0,6.24,1936.0,156.0,8.0579,392.0,25.0,6.3776,799.0,47.0,5.8824,799.0,47.0,5.8824,799.0,47.0,5.8824,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
R2_VillagesTrails_ThreeClusters__TP02_LowLoad,04_rural,R2_VillagesTrails_ThreeClusters,TP02,43200.0,NuuksioSparseTrails,6.24,6.24,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,156.0,6.24,1936.0,156.0,8.0579,392.0,25.0,6.3776,799.0,47.0,5.8824,799.0,47.0,5.8824,799.0,47.0,5.8824,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
R2_VillagesTrails_ThreeClusters__TP03_ManySmall,04_rural,R2_VillagesTrails_ThreeClusters,TP03,43200.0,NuuksioSparseTrails,6.24,6.24,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,156.0,6.24,1936.0,156.0,8.0579,392.0,25.0,6.3776,799.0,47.0,5.8824,799.0,47.0,5.8824,799.0,47.0,5.8824,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
R2_VillagesTrails_ThreeClusters__TP04_FewLarge,04_rural,R2_VillagesTrails_ThreeClusters,TP04,43200.0,NuuksioSparseTrails,6.24,6.24,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,156.0,6.24,1936.0,156.0,8.0579,392.0,25.0,6.3776,799.0,47.0,5.8824,799.0,47.0,5.8824,799.0,47.0,5.8824,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
R2_VillagesTrails_ThreeClusters__TP05_CriticalTTL,04_rural,R2_VillagesTrails_ThreeClusters,TP05,43200.0,NuuksioSparseTrails,6.24,6.24,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,156.0,6.24,1936.0,156.0,8.0579,392.0,25.0,6.3776,799.0,47.0,5.8824,799.0,47.0,5.8824,799.0,47.0,5.8824,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
R2_VillagesTrails_ThreeClusters__TP06_OneToMany,04_rural,R2_VillagesTrails_ThreeClusters,TP06,43200.0,NuuksioSparseTrails,6.2,6.2,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,155.0,6.2,1936.0,155.0,8.0062,392.0,24.0,6.1224,799.0,46.0,5.7572,799.0,46.0,5.7572,799.0,46.0,5.7572,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
R2_VillagesTrails_ThreeClusters__TP07_BurstWindow,04_rural,R2_VillagesTrails_ThreeClusters,TP07,43200.0,NuuksioSparseTrails,6.2,6.2,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,155.0,6.2,1936.0,155.0,8.0062,392.0,24.0,6.1224,799.0,46.0,5.7572,799.0,46.0,5.7572,799.0,46.0,5.7572,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
R2_VillagesTrails_ThreeClusters__TP08_HubTarget,04_rural,R2_VillagesTrails_ThreeClusters,TP08,43200.0,NuuksioSparseTrails,6.2,6.2,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,155.0,6.2,1936.0,155.0,8.0062,392.0,24.0,6.1224,799.0,46.0,5.7572,799.0,46.0,5.7572,799.0,46.0,5.7572,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
R2_VillagesTrails_ThreeClusters__TP09_Bimodal,04_rural,R2_VillagesTrails_ThreeClusters,TP09,43200.0,NuuksioSparseTrails,6.24,6.24,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,156.0,6.24,1936.0,156.0,8.0579,392.0,25.0,6.3776,799.0,47.0,5.8824,799.0,47.0,5.8824,799.0,47.0,5.8824,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
R2_VillagesTrails_ThreeClusters__TP10_Storm,04_rural,R2_VillagesTrails_ThreeClusters,TP10,43200.0,NuuksioSparseTrails,6.16,6.16,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,154.0,6.16,1936.0,154.0,7.9545,392.0,25.0,6.3776,799.0,47.0,5.8824,799.0,47.0,5.8824,799.0,47.0,5.8824,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
R2_VillagesTrails_ThreeClusters__TP11_ManyToOne,04_rural,R2_VillagesTrails_ThreeClusters,TP11,43200.0,NuuksioSparseTrails,6.2,6.2,,,,NuuksioSparseTrails,50.0,2848.0,2945.0,2500.0,155.0,6.2,1936.0,155.0,8.0062,392.0,24.0,6.1224,799.0,46.0,5.7572,799.0,46.0,5.7572,799.0,46.0,5.7572,2848.0,2945.0,spatial_occupancy_metrics.csv,,,,
