scenario_name,tree,family,map_name,group_id,movement_model,route_file,route_file_exists,route_validation_status,uses_poi_files,settings_path,notes
U1_CBD_Commuting_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,1,BusMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U1_CBD_Commuting_HelsinkiDowntown.settings,
U1_CBD_Commuting_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,2,WorkingDayMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U1_CBD_Commuting_HelsinkiDowntown.settings,
U2_SparseSuburb_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,1,BusMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U2_SparseSuburb_HelsinkiDowntown.settings,
U2_SparseSuburb_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,2,WorkingDayMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U2_SparseSuburb_HelsinkiDowntown.settings,
U3_MicroMobility_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,1,BusMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U3_MicroMobility_HelsinkiDowntown.settings,
U3_MicroMobility_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,2,WorkingDayMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U3_MicroMobility_HelsinkiDowntown.settings,
U4_CongestionHotspot_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,1,BusMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U4_CongestionHotspot_HelsinkiDowntown.settings,
U4_CongestionHotspot_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,2,WorkingDayMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U4_CongestionHotspot_HelsinkiDowntown.settings,
U5_WorkdayShort_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,1,BusMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U5_WorkdayShort_HelsinkiDowntown.settings,
U5_WorkdayShort_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,2,WorkingDayMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U5_WorkdayShort_HelsinkiDowntown.settings,
U6_OfficeWaitHeavyTail_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,1,BusMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown.settings,
U6_OfficeWaitHeavyTail_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,2,WorkingDayMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown.settings,
U7_HighTimeVariance_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,1,BusMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U7_HighTimeVariance_HelsinkiDowntown.settings,
U7_HighTimeVariance_HelsinkiDowntown,base_scenarios,01_urban,HelsinkiDowntown,2,WorkingDayMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/base_scenarios/01_urban/U7_HighTimeVariance_HelsinkiDowntown.settings,
V1_TaxiLow_ManhattanMidtownGrid,base_scenarios,03_vehicles,ManhattanMidtownGrid,1,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,True,WARNING,False,scenarios/base_scenarios/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid.settings,
V2_TaxiHigh_ManhattanMidtownGrid,base_scenarios,03_vehicles,ManhattanMidtownGrid,1,MapRouteMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,True,WARNING,False,scenarios/base_scenarios/03_vehicles/V2_TaxiHigh_ManhattanMidtownGrid.settings,
V3_BusOnlyCarriers_ManhattanMidtownGrid,base_scenarios,03_vehicles,ManhattanMidtownGrid,1,BusMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,True,WARNING,False,scenarios/base_scenarios/03_vehicles/V3_BusOnlyCarriers_ManhattanMidtownGrid.settings,
V3_BusOnlyCarriers_ManhattanMidtownGrid,base_scenarios,03_vehicles,ManhattanMidtownGrid,2,BusMovement,data/ManhattanMidtownGrid/B_vehicle_route.wkt,True,PASS,False,scenarios/base_scenarios/03_vehicles/V3_BusOnlyCarriers_ManhattanMidtownGrid.settings,
V4_CarOwnership_0_ManhattanMidtownGrid,base_scenarios,03_vehicles,ManhattanMidtownGrid,1,BusMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,True,WARNING,True,scenarios/base_scenarios/03_vehicles/V4_CarOwnership_0_ManhattanMidtownGrid.settings,
V4_CarOwnership_0_ManhattanMidtownGrid,base_scenarios,03_vehicles,ManhattanMidtownGrid,2,WorkingDayMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,True,WARNING,True,scenarios/base_scenarios/03_vehicles/V4_CarOwnership_0_ManhattanMidtownGrid.settings,
V5_CarOwnership_100_ManhattanMidtownGrid,base_scenarios,03_vehicles,ManhattanMidtownGrid,1,BusMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,True,WARNING,True,scenarios/base_scenarios/03_vehicles/V5_CarOwnership_100_ManhattanMidtownGrid.settings,
V5_CarOwnership_100_ManhattanMidtownGrid,base_scenarios,03_vehicles,ManhattanMidtownGrid,2,WorkingDayMovement,data/ManhattanMidtownGrid/A_vehicle_route.wkt,True,WARNING,True,scenarios/base_scenarios/03_vehicles/V5_CarOwnership_100_ManhattanMidtownGrid.settings,
R4_ParkRangers_NuuksioSparseTrails,base_scenarios,04_rural,NuuksioSparseTrails,1,MapRouteMovement,data/NuuksioSparseTrails/A_ranger_patrol.wkt,True,PASS,False,scenarios/base_scenarios/04_rural/R4_ParkRangers_NuuksioSparseTrails.settings,
D5_UAVMule_FastRoute_HelsinkiDisrupted,base_scenarios,05_disaster,HelsinkiDisrupted,1,MapRouteMovement,data/HelsinkiDisrupted/roads.wkt,True,,False,scenarios/base_scenarios/05_disaster/D5_UAVMule_FastRoute_HelsinkiDisrupted.settings,
D5_UAVMule_FastRoute_HelsinkiDisrupted,base_scenarios,05_disaster,HelsinkiDisrupted,2,MapRouteMovement,data/HelsinkiDisrupted/A_emergency_route.wkt,True,WARNING,False,scenarios/base_scenarios/05_disaster/D5_UAVMule_FastRoute_HelsinkiDisrupted.settings,
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,corpus_v1,01_urban,HelsinkiDowntown,1,BusMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline.settings,
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,corpus_v1,01_urban,HelsinkiDowntown,2,WorkingDayMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline.settings,
U1_CBD_Commuting_HelsinkiDowntown__TP02_LowLoad,corpus_v1,01_urban,HelsinkiDowntown,1,BusMovement,data/HelsinkiDowntown/A_bus.wkt,True,WARNING,True,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP02_LowLoad.settings,
