scenario,family,scenario_base,tp,map_dataset,movement_models,n_hosts,delivery_ratio,overhead_ratio,drop_ratio,total_encounters,coverage_world_ratio,coverage_accessible_ratio,delivery_std_by_base,problem_flags,priority,recommended_action_hint
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP01,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.4756,76.2949,0.0,3267.0,0.2824,1.0,0.2147762951763927,MAP_TOO_LARGE,P1,change_map_or_worldSize
U1_CBD_Commuting_HelsinkiDowntown__TP02_LowLoad,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP02,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.4896,80.0,0.0,3542.0,0.2732,1.0,0.2147762951763927,MAP_TOO_LARGE,P1,change_map_or_worldSize
U1_CBD_Commuting_HelsinkiDowntown__TP03_ManySmall,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP03,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.4585,68.0678,0.0,3298.0,0.28,1.0,0.2147762951763927,MAP_TOO_LARGE,P1,change_map_or_worldSize
U1_CBD_Commuting_HelsinkiDowntown__TP04_FewLarge,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP04,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3296,697.8305,217.88826815642457,3238.0,0.2872,1.0,0.2147762951763927,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U1_CBD_Commuting_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP05,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.0081,102.25,1.8252032520325203,3267.0,0.2824,1.0,0.2147762951763927,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
U1_CBD_Commuting_HelsinkiDowntown__TP06_OneToMany,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP06,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.6495,106.1413,23.457731958762885,3512.0,0.2876,1.0,0.2147762951763927,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
U1_CBD_Commuting_HelsinkiDowntown__TP07_BurstWindow,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP07,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.6148,73.5422,0.0,3266.0,0.2716,1.0,0.2147762951763927,MAP_TOO_LARGE,P1,change_map_or_worldSize
U1_CBD_Commuting_HelsinkiDowntown__TP08_HubTarget,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP08,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3876,359.0957,113.24845360824742,3512.0,0.2876,1.0,0.2147762951763927,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U1_CBD_Commuting_HelsinkiDowntown__TP09_Bimodal,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP09,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.3588,480.7251,158.23979591836735,3267.0,0.2824,1.0,0.2147762951763927,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U1_CBD_Commuting_HelsinkiDowntown__TP10_Storm,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP10,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,81,0.0899,247.5018,23.127839065541856,3108.0,0.2812,1.0,0.2147762951763927,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
