archetype,pool_count,selected_count,fraction_selected
bus_route_urban_suburban,38,4,0.10526315789473684
campus_compact,98,4,0.04081632653061224
clustered_communities,45,4,0.08888888888888889
compact_residential,41,7,0.17073170731707318
conference_event_compact,45,7,0.15555555555555556
corridor_linear,70,8,0.11428571428571428
dense_urban_irregular,169,5,0.029585798816568046
hub_and_spoke,45,4,0.08888888888888889
industrial_disrupted,128,4,0.03125
island_or_partitioned,86,6,0.06976744186046512
radial_city,42,3,0.07142857142857142
rural_roads,52,5,0.09615384615384616
sparse_trails,85,6,0.07058823529411765
suburban_low_density,33,4,0.12121212121212122
urban_grid,78,4,0.05128205128205128
