method,target_n,epsilon,n_selected,mean_distance_to_selected,median_distance_to_selected,p95_distance_to_selected,max_distance_to_selected,mean_pairwise_selected_distance,min_pairwise_selected_distance,archetype_coverage,source_type_coverage,anchor_coverage,min_maps_per_archetype,max_single_archetype_fraction,osm_fraction,synthetic_fraction,trace_reference_synthetic_fraction,outlier_preservation,redundancy_within_selected,constraints_satisfied,notes
kmedoids,30,,30,1.4466546250686514,1.3515338131120418,3.044278926721541,8.97971634167065,11.550710354781392,2.1592212511624735,12,3,12,1,0.16666666666666666,0.4,0.4,0.2,0.09433962264150944,0.0,False,min_maps_per_archetype<2: 1; archetype_coverage<15; max_single_archetype_fraction>0.15; max_single_anchor_fraction>0.1
kmedoids,45,,45,1.1450328486155812,1.0198641168269602,2.7317820855085504,7.771793935734349,10.66263671871059,1.3390254175126315,14,3,17,1,0.17777777777777778,0.4,0.4,0.2,0.1320754716981132,0.0,False,min_maps_per_archetype<2: 1; archetype_coverage<15; max_single_archetype_fraction>0.15
kmedoids,60,,60,0.9385554376224045,0.8625447753931559,2.203887825832834,4.622549775870852,10.216831970941097,1.4223776496445741,15,3,18,1,0.18333333333333332,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.2641509433962264,0.0,False,min_maps_per_archetype<2: 1; max_single_archetype_fraction>0.15
kmedoids,75,,75,0.8372075821577802,0.7670994982257446,1.9953939771304172,4.622549775870852,9.720047858294256,0.8322345270971746,15,3,19,2,0.14666666666666667,0.41333333333333333,0.41333333333333333,0.17333333333333334,0.24528301886792453,0.0,True,
kmedoids,90,,89,0.7334767181440306,0.6555394831159294,1.829793393065343,4.622549775870852,10.153309363265272,0.7269154855575995,15,3,19,2,0.1348314606741573,0.42696629213483145,0.4044943820224719,0.16853932584269662,0.07547169811320754,0.0,True,
kmedoids,120,,120,0.5998963217098193,0.5527034444502742,1.5779410045089908,3.579670685743298,9.567290659624232,0.05866572799064295,15,3,19,3,0.15,0.4166666666666667,0.43333333333333335,0.15,0.1509433962264151,0.016666666666666666,True,
farthest,30,,30,2.227392893413625,2.2784688639992177,3.5987862193313713,4.209409495569451,13.966571528351887,4.229806044255795,12,3,9,1,0.16666666666666666,0.26666666666666666,0.5666666666666667,0.16666666666666666,0.660377358490566,0.0,False,min_maps_per_archetype<2: 1; archetype_coverage<15; max_single_archetype_fraction>0.15
farthest,45,,45,1.8678428960525508,2.0242371375524293,3.0205442625059837,3.4984637586458924,12.313357046782672,3.563583713856714,14,3,12,1,0.13333333333333333,0.3111111111111111,0.5111111111111111,0.17777777777777778,0.33962264150943394,0.0,False,min_maps_per_archetype<2: 1; archetype_coverage<15
farthest,60,,60,1.620118360700738,1.737620507175225,2.722114071228611,3.03565867717447,11.830738214526207,3.099218435710411,14,3,13,1,0.13333333333333333,0.3,0.5333333333333333,0.16666666666666666,0.6037735849056604,0.0,False,min_maps_per_archetype<2: 1; archetype_coverage<15
farthest,75,,75,1.3236280093100274,1.4435333777916932,2.1502989603605887,2.5634888506538243,10.984442328232756,2.567967547938873,15,3,14,1,0.14666666666666667,0.32,0.5333333333333333,0.14666666666666667,0.6226415094339622,0.0,False,min_maps_per_archetype<2: 1
farthest,90,,90,1.1858112521933728,1.3260572652466198,2.0108619223111273,2.1702216451270844,10.477332025118836,2.1906510850085965,15,3,16,1,0.14444444444444443,0.34444444444444444,0.5222222222222223,0.13333333333333333,0.9056603773584906,0.0,False,min_maps_per_archetype<2: 1
farthest,120,,120,0.8654776473825705,0.9430372941102337,1.5483931255602617,1.7842721551183587,9.715478458040016,1.786933718596932,15,3,19,1,0.15,0.31666666666666665,0.525,0.15833333333333333,0.37735849056603776,0.0,False,min_maps_per_archetype<2: 1
stratified-kmedoids,30,,30,1.5359619475103616,1.1578519786371924,4.40550731988371,18.725697137842463,8.724464465450941,0.5600689296880389,15,3,14,2,0.06666666666666667,0.4666666666666667,0.36666666666666664,0.16666666666666666,0.11320754716981132,0.0,True,
