queue_position,scenario_name,family,traffic_profile,settings_file,batch_status,last_batch_fallo,simulation_status,overlay_reports_ok,needs_run,reason
1,U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,01_urban,TP01,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline.settings,finished_in_batch,no,failed,2,yes,FALLO_or_empty_MessageStats
2,U1_CBD_Commuting_HelsinkiDowntown__TP02_LowLoad,01_urban,TP02,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP02_LowLoad.settings,finished_in_batch,no,failed,0,yes,FALLO_or_empty_MessageStats
3,U1_CBD_Commuting_HelsinkiDowntown__TP03_ManySmall,01_urban,TP03,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP03_ManySmall.settings,finished_in_batch,no,failed,2,yes,FALLO_or_empty_MessageStats
4,U1_CBD_Commuting_HelsinkiDowntown__TP04_FewLarge,01_urban,TP04,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP04_FewLarge.settings,finished_in_batch,no,failed,0,yes,FALLO_or_empty_MessageStats
5,U1_CBD_Commuting_HelsinkiDowntown__TP05_CriticalTTL,01_urban,TP05,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP05_CriticalTTL.settings,finished_in_batch,no,failed,0,yes,FALLO_or_empty_MessageStats
6,U1_CBD_Commuting_HelsinkiDowntown__TP06_OneToMany,01_urban,TP06,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP06_OneToMany.settings,finished_in_batch,no,failed,2,yes,FALLO_or_empty_MessageStats
7,U1_CBD_Commuting_HelsinkiDowntown__TP07_BurstWindow,01_urban,TP07,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP07_BurstWindow.settings,finished_in_batch,no,failed,2,yes,FALLO_or_empty_MessageStats
8,U1_CBD_Commuting_HelsinkiDowntown__TP08_HubTarget,01_urban,TP08,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP08_HubTarget.settings,finished_in_batch,no,failed,2,yes,FALLO_or_empty_MessageStats
9,U1_CBD_Commuting_HelsinkiDowntown__TP09_Bimodal,01_urban,TP09,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP09_Bimodal.settings,finished_in_batch,no,failed,2,yes,FALLO_or_empty_MessageStats
10,U1_CBD_Commuting_HelsinkiDowntown__TP10_Storm,01_urban,TP10,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP10_Storm.settings,finished_in_batch,no,failed,2,yes,FALLO_or_empty_MessageStats
11,U1_CBD_Commuting_HelsinkiDowntown__TP11_ManyToOne,01_urban,TP11,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP11_ManyToOne.settings,finished_in_batch,no,failed,2,yes,FALLO_or_empty_MessageStats
12,U1_CBD_Commuting_HelsinkiDowntown__TP12_GroupToGroup,01_urban,TP12,scenarios/corpus_v1/01_urban/U1_CBD_Commuting_HelsinkiDowntown__TP12_GroupToGroup.settings,finished_in_batch,no,completed,7,no,
13,U2_SparseSuburb_HelsinkiDowntown__TP01_Baseline,01_urban,TP01,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP01_Baseline.settings,finished_in_batch,no,completed,7,no,
14,U2_SparseSuburb_HelsinkiDowntown__TP02_LowLoad,01_urban,TP02,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP02_LowLoad.settings,finished_in_batch,no,completed,7,no,
15,U2_SparseSuburb_HelsinkiDowntown__TP03_ManySmall,01_urban,TP03,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP03_ManySmall.settings,finished_in_batch,no,completed,7,no,
16,U2_SparseSuburb_HelsinkiDowntown__TP04_FewLarge,01_urban,TP04,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP04_FewLarge.settings,finished_in_batch,no,completed,7,no,
17,U2_SparseSuburb_HelsinkiDowntown__TP05_CriticalTTL,01_urban,TP05,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP05_CriticalTTL.settings,finished_in_batch,no,completed,7,no,
18,U2_SparseSuburb_HelsinkiDowntown__TP06_OneToMany,01_urban,TP06,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP06_OneToMany.settings,finished_in_batch,no,completed,7,no,
19,U2_SparseSuburb_HelsinkiDowntown__TP07_BurstWindow,01_urban,TP07,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP07_BurstWindow.settings,finished_in_batch,no,completed,7,no,
20,U2_SparseSuburb_HelsinkiDowntown__TP08_HubTarget,01_urban,TP08,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP08_HubTarget.settings,finished_in_batch,no,completed,7,no,
21,U2_SparseSuburb_HelsinkiDowntown__TP09_Bimodal,01_urban,TP09,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP09_Bimodal.settings,finished_in_batch,no,completed,7,no,
22,U2_SparseSuburb_HelsinkiDowntown__TP10_Storm,01_urban,TP10,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP10_Storm.settings,finished_in_batch,no,completed,7,no,
23,U2_SparseSuburb_HelsinkiDowntown__TP11_ManyToOne,01_urban,TP11,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP11_ManyToOne.settings,finished_in_batch,no,completed,7,no,
24,U2_SparseSuburb_HelsinkiDowntown__TP12_GroupToGroup,01_urban,TP12,scenarios/corpus_v1/01_urban/U2_SparseSuburb_HelsinkiDowntown__TP12_GroupToGroup.settings,finished_in_batch,no,completed,7,no,
