scenario_name,family,traffic_profile,simulation_status,has_message_stats_report,report_bytes,settings_file,included_in_core,included_in_stress
C1_Campus_ClassChange__TP01_Baseline,02_campus,TP01,OK,yes,393,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP01_Baseline.settings,TRUE,FALSE
C1_Campus_ClassChange__TP02_LowLoad,02_campus,TP02,OK,yes,388,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP02_LowLoad.settings,TRUE,FALSE
C1_Campus_ClassChange__TP03_ManySmall,02_campus,TP03,OK,yes,398,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP03_ManySmall.settings,TRUE,FALSE
C1_Campus_ClassChange__TP04_FewLarge,02_campus,TP04,OK,yes,412,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP04_FewLarge.settings,TRUE,FALSE
C1_Campus_ClassChange__TP05_CriticalTTL,02_campus,TP05,OK,yes,402,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP05_CriticalTTL.settings,TRUE,FALSE
C1_Campus_ClassChange__TP06_OneToMany,02_campus,TP06,OK,yes,411,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP06_OneToMany.settings,TRUE,FALSE
C1_Campus_ClassChange__TP07_BurstWindow,02_campus,TP07,OK,yes,396,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP07_BurstWindow.settings,TRUE,FALSE
C1_Campus_ClassChange__TP08_HubTarget,02_campus,TP08,OK,yes,414,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP08_HubTarget.settings,TRUE,FALSE
C1_Campus_ClassChange__TP09_Bimodal,02_campus,TP09,OK,yes,415,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP09_Bimodal.settings,TRUE,FALSE
C1_Campus_ClassChange__TP10_Storm,02_campus,TP10,OK,yes,412,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP10_Storm.settings,TRUE,FALSE
C1_Campus_ClassChange__TP11_ManyToOne,02_campus,TP11,OK,yes,412,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP11_ManyToOne.settings,TRUE,FALSE
C1_Campus_ClassChange__TP12_GroupToGroup,02_campus,TP12,OK,yes,397,scenarios/corpus_v1/02_campus/C1_Campus_ClassChange__TP12_GroupToGroup.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP01_Baseline,02_campus,TP01,OK,yes,392,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP01_Baseline.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP02_LowLoad,02_campus,TP02,OK,yes,387,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP02_LowLoad.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP03_ManySmall,02_campus,TP03,OK,yes,395,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP03_ManySmall.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP04_FewLarge,02_campus,TP04,OK,yes,410,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP04_FewLarge.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP05_CriticalTTL,02_campus,TP05,OK,yes,399,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP05_CriticalTTL.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP06_OneToMany,02_campus,TP06,OK,yes,410,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP06_OneToMany.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP07_BurstWindow,02_campus,TP07,OK,yes,395,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP07_BurstWindow.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP08_HubTarget,02_campus,TP08,OK,yes,413,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP08_HubTarget.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP09_Bimodal,02_campus,TP09,OK,yes,410,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP09_Bimodal.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP10_Storm,02_campus,TP10,OK,yes,408,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP10_Storm.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP11_ManyToOne,02_campus,TP11,OK,yes,410,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP11_ManyToOne.settings,TRUE,FALSE
C2_ExamDay_LongStays__TP12_GroupToGroup,02_campus,TP12,OK,yes,396,scenarios/corpus_v1/02_campus/C2_ExamDay_LongStays__TP12_GroupToGroup.settings,TRUE,FALSE
C3_Hackathon_24h__TP01_Baseline,02_campus,TP01,OK,yes,410,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP01_Baseline.settings,TRUE,FALSE
C3_Hackathon_24h__TP02_LowLoad,02_campus,TP02,OK,yes,386,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP02_LowLoad.settings,TRUE,FALSE
C3_Hackathon_24h__TP03_ManySmall,02_campus,TP03,OK,yes,395,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP03_ManySmall.settings,TRUE,FALSE
C3_Hackathon_24h__TP04_FewLarge,02_campus,TP04,OK,yes,407,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP04_FewLarge.settings,TRUE,FALSE
C3_Hackathon_24h__TP05_CriticalTTL,02_campus,TP05,OK,yes,393,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP05_CriticalTTL.settings,TRUE,FALSE
C3_Hackathon_24h__TP06_OneToMany,02_campus,TP06,OK,yes,413,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP06_OneToMany.settings,TRUE,FALSE
C3_Hackathon_24h__TP07_BurstWindow,02_campus,TP07,OK,yes,413,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP07_BurstWindow.settings,TRUE,FALSE
C3_Hackathon_24h__TP08_HubTarget,02_campus,TP08,OK,yes,413,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP08_HubTarget.settings,TRUE,FALSE
C3_Hackathon_24h__TP09_Bimodal,02_campus,TP09,OK,yes,410,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP09_Bimodal.settings,TRUE,FALSE
C3_Hackathon_24h__TP10_Storm,02_campus,TP10,OK,yes,403,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP10_Storm.settings,TRUE,FALSE
C3_Hackathon_24h__TP11_ManyToOne,02_campus,TP11,OK,yes,413,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP11_ManyToOne.settings,TRUE,FALSE
C3_Hackathon_24h__TP12_GroupToGroup,02_campus,TP12,OK,yes,414,scenarios/corpus_v1/02_campus/C3_Hackathon_24h__TP12_GroupToGroup.settings,TRUE,FALSE
C4_Stadium_IngressEgress__TP01_Baseline,02_campus,TP01,OK,yes,394,scenarios/corpus_v1/02_campus/C4_Stadium_IngressEgress__TP01_Baseline.settings,TRUE,FALSE
C4_Stadium_IngressEgress__TP02_LowLoad,02_campus,TP02,OK,yes,391,scenarios/corpus_v1/02_campus/C4_Stadium_IngressEgress__TP02_LowLoad.settings,TRUE,FALSE
C4_Stadium_IngressEgress__TP03_ManySmall,02_campus,TP03,OK,yes,397,scenarios/corpus_v1/02_campus/C4_Stadium_IngressEgress__TP03_ManySmall.settings,TRUE,FALSE
C4_Stadium_IngressEgress__TP04_FewLarge,02_campus,TP04,OK,yes,410,scenarios/corpus_v1/02_campus/C4_Stadium_IngressEgress__TP04_FewLarge.settings,TRUE,FALSE
C4_Stadium_IngressEgress__TP05_CriticalTTL,02_campus,TP05,OK,yes,403,scenarios/corpus_v1/02_campus/C4_Stadium_IngressEgress__TP05_CriticalTTL.settings,TRUE,FALSE
