scenario,family,end_time,coverage_total,time_to_50pct,time_to_80pct,time_to_90pct,total_encounters,delivery_ratio,recommended_warmup,recommended_cutoff,recommended_useful_window,decision,justification
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,01_urban,43200,0.2824,,,,5269.0,0.4756,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP02_LowLoad,01_urban,43200,0.2732,,,,5109.0,0.4896,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP03_ManySmall,01_urban,43200,0.28,,,,5103.0,0.4585,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP04_FewLarge,01_urban,43200,0.2872,,,,5109.0,0.3296,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP05_CriticalTTL,01_urban,43200,0.2824,,,,5269.0,0.0081,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP06_OneToMany,01_urban,43200,0.2876,,,,4970.0,0.6495,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP07_BurstWindow,01_urban,43200,0.2716,,,,4922.0,0.6148,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP08_HubTarget,01_urban,43200,0.2876,,,,4970.0,0.3876,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP09_Bimodal,01_urban,43200,0.2824,,,,5144.0,0.3588,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP10_Storm,01_urban,43200,0.2812,,,,5237.0,0.0899,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP11_ManyToOne,01_urban,43200,0.2876,,,,4970.0,0.6794,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U1_CBD_Commuting_HelsinkiDowntown__TP12_GroupToGroup,01_urban,43200,0.2732,,,,5101.0,0.6442,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP01_Baseline,01_urban,43200,0.18,,,,,0.3243,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP02_LowLoad,01_urban,43200,0.18,,,,,0.3196,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP03_ManySmall,01_urban,43200,0.1684,,,,,0.3161,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP04_FewLarge,01_urban,43200,0.18,,,,,0.2376,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP05_CriticalTTL,01_urban,43200,0.18,,,,,0.0126,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP06_OneToMany,01_urban,43200,0.18,,,,,0.5093,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP07_BurstWindow,01_urban,43200,0.1732,,,,,0.4679,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP08_HubTarget,01_urban,43200,0.18,,,,,0.2247,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP09_Bimodal,01_urban,43200,0.18,,,,,0.2674,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP10_Storm,01_urban,43200,0.1696,,,,,0.0822,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP11_ManyToOne,01_urban,43200,0.18,,,,,0.5619,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U2_SparseUrban_HelsinkiDowntown__TP12_GroupToGroup,01_urban,43200,0.18,,,,,0.5051,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U3_MicroMobility_HelsinkiDowntown__TP01_Baseline,01_urban,43200,0.31079999999999997,,,,12380.0,0.1143,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U3_MicroMobility_HelsinkiDowntown__TP02_LowLoad,01_urban,43200,0.30760000000000004,,,,12220.0,0.4316,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U3_MicroMobility_HelsinkiDowntown__TP03_ManySmall,01_urban,43200,0.302,,,,11744.0,0.3193,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U3_MicroMobility_HelsinkiDowntown__TP04_FewLarge,01_urban,43200,0.3104,,,,12537.0,0.0989,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U3_MicroMobility_HelsinkiDowntown__TP05_CriticalTTL,01_urban,43200,0.31079999999999997,,,,12380.0,0.0042,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U3_MicroMobility_HelsinkiDowntown__TP06_OneToMany,01_urban,43200,0.3044,,,,12274.0,0.5619,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U3_MicroMobility_HelsinkiDowntown__TP07_BurstWindow,01_urban,43200,0.312,,,,12338.0,0.2283,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U3_MicroMobility_HelsinkiDowntown__TP08_HubTarget,01_urban,43200,0.3044,,,,12274.0,0.1216,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U3_MicroMobility_HelsinkiDowntown__TP09_Bimodal,01_urban,43200,0.2984,,,,12942.0,0.2007,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
U3_MicroMobility_HelsinkiDowntown__TP10_Storm,01_urban,43200,0.3072,,,,12676.0,0.0356,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
