scenario,time_bin_end,cells_new_in_bin,cumulative_unique_cells,coverage_world_pct,coverage_map_bbox_pct,coverage_road_cells_pct,coverage_road_buffer_10m_pct,coverage_road_buffer_15m_pct,coverage_road_buffer_25m_pct
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,300.0,88,88,3.52,5.2381,10.2564,7.2259,7.2259,7.2259
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,600.0,20,108,4.32,6.4286,13.1222,8.887,8.887,8.887
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,900.0,53,161,6.44,9.5833,21.1161,13.289,13.289,13.289
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,1200.0,30,191,7.64,11.369,25.4902,15.6977,15.6977,15.6977
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,1500.0,23,214,8.56,12.7381,28.5068,17.608,17.608,17.608
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,1800.0,35,249,9.96,14.8214,33.4842,20.515,20.515,20.515
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,2100.0,37,286,11.44,17.0238,38.914,23.588,23.588,23.588
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,2400.0,26,312,12.48,18.5714,42.6848,25.7475,25.7475,25.7475
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,2700.0,10,322,12.88,19.1667,44.0422,26.5781,26.5781,26.5781
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,3000.0,13,335,13.4,19.9405,45.2489,27.6578,27.6578,27.6578
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,3300.0,10,345,13.8,20.5357,46.6063,28.4884,28.4884,28.4884
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,3600.0,5,350,14.0,20.8333,47.0588,28.9037,28.9037,28.9037
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,3900.0,10,360,14.4,21.4286,48.1146,29.7342,29.7342,29.7342
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,4200.0,6,366,14.64,21.7857,49.0196,30.2326,30.2326,30.2326
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,4500.0,3,369,14.76,21.9643,49.1704,30.4817,30.4817,30.4817
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,4800.0,3,372,14.88,22.1429,49.4721,30.7309,30.7309,30.7309
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,5100.0,6,378,15.12,22.5,50.3771,31.2292,31.2292,31.2292
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,5400.0,3,381,15.24,22.6786,50.3771,31.4784,31.4784,31.4784
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,5700.0,3,384,15.36,22.8571,50.8296,31.7276,31.7276,31.7276
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,6000.0,2,386,15.44,22.9762,50.9804,31.8937,31.8937,31.8937
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,6300.0,2,388,15.52,23.0952,51.1312,32.0598,32.0598,32.0598
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,6600.0,6,394,15.76,23.4524,51.5837,32.4751,32.4751,32.4751
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,6900.0,2,396,15.84,23.5714,51.8854,32.6412,32.6412,32.6412
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,7200.0,0,396,15.84,23.5714,51.8854,32.6412,32.6412,32.6412
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,7500.0,1,397,15.88,23.631,51.8854,32.7243,32.7243,32.7243
