scenario,world_size_mismatch,family,scenario_base,traffic_profile_id,Scenario.endTime,map_dataset,final_coverage_pct,cells_visited_pct,time_to_50pct,time_to_80pct,time_to_90pct,map_name,grid_size,world_width,world_height,world_total_cells,world_visited_cells,coverage_world_pct,map_bbox_total_cells,map_bbox_visited_cells,coverage_map_bbox_pct,road_total_cells,road_visited_cells,coverage_road_cells_pct,road_buffer_10m_total_cells,road_buffer_10m_visited_cells,coverage_road_buffer_10m_pct,road_buffer_15m_total_cells,road_buffer_15m_visited_cells,coverage_road_buffer_15m_pct,road_buffer_25m_total_cells,road_buffer_25m_visited_cells,coverage_road_buffer_25m_pct,world_x,world_y
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,False,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP01,43200,HelsinkiMedium,28.24,28.24,NaN,NaN,NaN,HelsinkiDowntown,50,1713.0,1459.0,2500,706,28.24,2500,706,28.24,881,575,65.2667,1678,695,41.4184,1678,695,41.4184,1678,695,41.4184,1713.0,1459.0
U1_CBD_Commuting_HelsinkiDowntown__TP02_LowLoad,False,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP02,43200,HelsinkiMedium,27.32,27.32,NaN,NaN,NaN,HelsinkiDowntown,50,1713.0,1459.0,2500,683,27.32,2500,683,27.32,881,549,62.3156,1678,674,40.1669,1678,674,40.1669,1678,674,40.1669,1713.0,1459.0
U1_CBD_Commuting_HelsinkiDowntown__TP03_ManySmall,False,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP03,43200,HelsinkiMedium,28.0,28.0,NaN,NaN,NaN,HelsinkiDowntown,50,1713.0,1459.0,2500,700,28.0,2500,700,28.0,881,569,64.5857,1678,692,41.2396,1678,692,41.2396,1678,692,41.2396,1713.0,1459.0
U1_CBD_Commuting_HelsinkiDowntown__TP04_FewLarge,False,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP04,43200,HelsinkiMedium,28.72,28.72,NaN,NaN,NaN,HelsinkiDowntown,50,1713.0,1459.0,2500,718,28.72,2500,718,28.72,881,591,67.0829,1678,707,42.1335,1678,707,42.1335,1678,707,42.1335,1713.0,1459.0
U1_CBD_Commuting_HelsinkiDowntown__TP05_CriticalTTL,False,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP05,43200,HelsinkiMedium,28.24,28.24,NaN,NaN,NaN,HelsinkiDowntown,50,1713.0,1459.0,2500,706,28.24,2500,706,28.24,881,575,65.2667,1678,695,41.4184,1678,695,41.4184,1678,695,41.4184,1713.0,1459.0
U1_CBD_Commuting_HelsinkiDowntown__TP06_OneToMany,False,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP06,43200,HelsinkiMedium,28.76,28.76,NaN,NaN,NaN,HelsinkiDowntown,50,1713.0,1459.0,2500,719,28.76,2500,719,28.76,881,589,66.8558,1678,713,42.4911,1678,713,42.4911,1678,713,42.4911,1713.0,1459.0
U1_CBD_Commuting_HelsinkiDowntown__TP07_BurstWindow,False,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP07,43200,HelsinkiMedium,27.16,27.16,NaN,NaN,NaN,HelsinkiDowntown,50,1713.0,1459.0,2500,679,27.16,2500,679,27.16,881,553,62.7696,1678,669,39.8689,1678,669,39.8689,1678,669,39.8689,1713.0,1459.0
U1_CBD_Commuting_HelsinkiDowntown__TP08_HubTarget,False,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP08,43200,HelsinkiMedium,28.76,28.76,NaN,NaN,NaN,HelsinkiDowntown,50,1713.0,1459.0,2500,719,28.76,2500,719,28.76,881,589,66.8558,1678,713,42.4911,1678,713,42.4911,1678,713,42.4911,1713.0,1459.0
U1_CBD_Commuting_HelsinkiDowntown__TP09_Bimodal,False,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP09,43200,HelsinkiMedium,28.24,28.24,NaN,NaN,NaN,HelsinkiDowntown,50,1713.0,1459.0,2500,706,28.24,2500,706,28.24,881,575,65.2667,1678,695,41.4184,1678,695,41.4184,1678,695,41.4184,1713.0,1459.0
U1_CBD_Commuting_HelsinkiDowntown__TP10_Storm,False,01_urban,U1_CBD_Commuting_HelsinkiDowntown,TP10,43200,HelsinkiMedium,28.12,28.12,NaN,NaN,NaN,HelsinkiDowntown,50,1713.0,1459.0,2500,703,28.12,2500,703,28.12,881,576,65.3802,1678,695,41.4184,1678,695,41.4184,1678,695,41.4184,1713.0,1459.0
