tp_id,tp_name,n_scenarios,n_missing_output,n_delivery_zero,n_latency_empty,n_drop_extreme,n_zero_contacts,n_low_spatial,n_latency_valid,pct_latency_valid,delivery_ratio_mean,delivery_ratio_median,delivery_ratio_std,delivery_ratio_iqr,delivery_ratio_min,delivery_ratio_max,latency_mean_mean,latency_mean_median,latency_mean_std,latency_mean_iqr,latency_mean_min,latency_mean_max,overhead_ratio_mean,overhead_ratio_median,overhead_ratio_std,overhead_ratio_iqr,overhead_ratio_min,overhead_ratio_max,drop_ratio_mean,drop_ratio_median,drop_ratio_std,drop_ratio_iqr,drop_ratio_min,drop_ratio_max,n_created_mean,n_created_median,n_created_std,n_created_iqr,n_created_min,n_created_max,t_median_frac_mean,t_median_frac_median,t_median_frac_std,t_median_frac_iqr,t_median_frac_min,t_median_frac_max,pct_last_10pct_sim_mean,pct_last_10pct_sim_median,pct_last_10pct_sim_std,pct_last_10pct_sim_iqr,pct_last_10pct_sim_min,pct_last_10pct_sim_max,contact_time_per_min_mean,contact_time_per_min_median,contact_time_per_min_std,contact_time_per_min_iqr,contact_time_per_min_min,contact_time_per_min_max,total_encounters_mean,total_encounters_median,total_encounters_std,total_encounters_iqr,total_encounters_min,total_encounters_max,ratio_contact_nodes_mean,ratio_contact_nodes_median,ratio_contact_nodes_std,ratio_contact_nodes_iqr,ratio_contact_nodes_min,ratio_contact_nodes_max,popularity_top10_ratio_mean,popularity_top10_ratio_median,popularity_top10_ratio_std,popularity_top10_ratio_iqr,popularity_top10_ratio_min,popularity_top10_ratio_max,final_coverage_pct_mean,final_coverage_pct_median,final_coverage_pct_std,final_coverage_pct_iqr,final_coverage_pct_min,final_coverage_pct_max,useful_time_ratio_mean,useful_time_ratio_median,useful_time_ratio_std,useful_time_ratio_iqr,useful_time_ratio_min,useful_time_ratio_max,delivery_ratio_delta_mean,delivery_ratio_delta_median,delivery_ratio_rel_delta_median,latency_mean_delta_mean,latency_mean_delta_median,latency_mean_rel_delta_median,overhead_ratio_delta_mean,overhead_ratio_delta_median,overhead_ratio_rel_delta_median,drop_ratio_delta_mean,drop_ratio_delta_median,drop_ratio_rel_delta_median,n_created_delta_mean,n_created_delta_median,n_created_rel_delta_median,t_median_frac_delta_mean,t_median_frac_delta_median,t_median_frac_rel_delta_median,popularity_top10_ratio_delta_mean,popularity_top10_ratio_delta_median,popularity_top10_ratio_rel_delta_median,rank_delivery_ratio,rank_overhead_ratio,rank_drop_ratio,rank_latency_mean
TP01,Baseline,45,1,1,0,5,8,7,44,97.78,0.712532,0.8564,0.277089,0.470725,0.1042,0.9958,5220.533507,3184.59585,4749.923723,7047.664975,176.5857,14958.9699,262.627955,58.70855,966.913289,46.456675,0.9727,6331.0727,67.814175,0.0,228.226424,0.0,0.0,1151.95679,460.315789,482.5,134.304663,10.25,81.0,964.0,0.500561,0.500388,0.003036,0.004497,0.494375,0.507083,10.073225,10.093563,0.218209,0.224713,9.445585,10.559006,10.938157,3.780556,15.966632,11.876389,0.041667,68.834722,6538.756757,2722.0,10377.748439,4811.0,30.0,49561.0,0.721871,0.820405,0.256333,0.460577,0.12011,1.0,0.828296,0.916139,0.20098,0.269231,0.299296,1.0,23.420444,20.4,11.846523,21.4,2.96,40.32,0.995737,0.9998,0.013899,0.001575,0.9162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,1,8
TP02,LowLoad,45,1,1,0,2,8,7,44,97.78,0.743516,0.875,0.257844,0.467275,0.1684,0.9896,4810.267382,3202.01435,4311.042381,6057.6573,191.6579,14333.039,240.634832,52.21455,1206.1615,45.602275,1.0233,8144.4634,81.259347,0.0,517.008919,0.0,0.0,3469.947368,91.236842,96.0,26.574062,1.0,17.0,193.0,0.495316,0.497338,0.007021,0.007749,0.474722,0.519444,9.973484,9.473684,1.056842,1.016996,6.25,12.121212,10.888983,3.740278,15.922723,11.615278,0.041667,68.705556,6497.27027,2693.0,10315.47609,4868.0,30.0,49468.0,0.723444,0.820405,0.255164,0.460894,0.121437,1.0,0.827982,0.911765,0.200362,0.272283,0.308219,1.0,23.396444,20.52,11.811144,21.36,2.92,40.24,0.995808,0.99975,0.01392,0.00075,0.9162,1.0,0.030984,0.00865,0.009697,-410.266125,-82.71945,-0.031494,-21.993123,0.0415,0.002073,13.445172,0.0,-1.0,-369.078947,-387.0,-0.801653,-0.005245,-0.003906,-0.007816,-0.000314,0.0,0.0,2,3,2,9
TP03,ManySmall,45,1,1,0,2,8,7,44,97.78,0.716241,0.84875,0.272292,0.493275,0.0905,0.9951,5472.727961,3138.52745,4949.480571,9524.905875,183.9373,15331.9587,73.341055,51.87695,131.023783,38.467775,0.038,896.8057,8.034287,0.0,41.587598,0.0,0.0,267.460598,2109.921053,2213.5,619.485159,18.25,370.0,4460.0,0.499164,0.500081,0.003871,0.006114,0.493287,0.507222,9.98529,9.984239,0.129799,0.123591,9.686221,10.318182,10.827496,3.811111,15.922639,11.5875,0.041667,69.248611,6456.432432,2744.0,10307.390116,4869.0,30.0,49859.0,0.721084,0.820405,0.256735,0.460577,0.123288,1.0,0.82797,0.916139,0.200308,0.270096,0.305556,1.0,23.391111,19.84,11.895282,21.04,2.84,40.68,0.995505,0.9996,0.01394,0.001425,0.9162,1.0,0.003709,-0.00365,-0.003858,252.194455,50.3125,0.021298,-189.2869,-0.1153,-0.005232,-59.779889,0.0,-1.0,1649.605263,1728.0,3.585301,-0.001397,-6.4e-05,-0.000128,-0.000325,0.0,0.0,5,2,3,6
TP04,FewLarge,45,1,2,0,33,7,7,43,95.56,0.501525,0.5027,0.234433,0.35435,0.0,1.0,5571.321823,3963.7745,4321.5158,6552.82105,334.8448,13743.8098,1203.167195,394.7547,3835.981738,563.9506,0.3451,25534.2885,423.652646,168.162983,1113.454205,279.389588,0.0,7353.488889,171.236842,179.5,49.842612,2.0,29.0,354.0,0.50393,0.504288,0.004344,0.006241,0.491528,0.510093,9.805302,9.972376,0.56708,0.558659,6.896552,10.382514,11.190296,3.855556,15.97711,13.2375,0.041667,69.244444,6724.684211,2776.0,10336.291672,5026.0,30.0,49856.0,0.730714,0.828162,0.25487,0.467121,0.127565,1.0,0.832604,0.91798,0.199699,0.268701,0.307143,1.0,23.422222,20.4,11.799168,21.36,2.96,40.24,0.995789,0.9996,0.013897,0.00165,0.9162,1.0,-0.211007,-0.19995,-0.298078,305.052479,433.529,0.177889,936.187972,279.9053,4.446037,355.838471,112.968888,-0.504866,-289.078947,-303.0,-0.627594,0.003369,0.004381,0.0087,-0.000216,0.0,0.0,10,12,12,12
TP05,CriticalTTL,45,0,1,0,0,7,7,44,97.78,0.079711,0.0267,0.132974,0.1103,0.0,0.8067,122.445514,125.5866,66.947334,75.5695,14.945,402.5818,55.454234,43.0909,52.29055,39.81575,0.619,342.5,4.375388,2.006098,5.742562,2.718094,1.02079,28.348739,460.315789,482.5,134.304663,10.25,81.0,964.0,0.500561,0.500388,0.003036,0.004497,0.494375,0.507083,10.073225,10.093563,0.218209,0.224713,9.445585,10.559006,11.13401,3.845833,15.800121,13.367361,0.041667,68.834722,6714.947368,2769.0,10296.218215,4971.0,30.0,49561.0,0.728873,0.827754,0.256499,0.472631,0.12011,1.0,0.832814,0.917189,0.200214,0.268693,0.299296,1.0,23.420444,20.4,11.846523,21.4,2.96,40.32,0.995737,0.9998,0.013899,0.001575,0.9162,1.0,-0.634527,-0.75465,-0.953007,-5047.620712,-3021.9992,-0.961642,-211.150105,-4.1145,-0.128788,-63.489499,1.891592,-0.989357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,7,1
TP06,OneToMany,45,1,1,0,11,7,7,44,97.78,0.756389,0.8474,0.228612,0.3263,0.0577,0.9887,4396.343443,2835.736,3790.786752,6463.84965,194.2467,13213.5291,155.417968,74.0147,220.178849,114.803475,0.3172,1084.011,74.067845,12.052577,155.549067,50.090722,0.0,680.37732,923.394737,970.0,269.831677,0.0,161.0,1943.0,0.498498,0.498113,0.001899,0.0,0.4925,0.504028,10.189161,10.206186,0.055797,0.0,9.937888,10.206186,11.144645,3.892361,15.958016,13.263542,0.041667,68.952778,6693.789474,2802.5,10332.443348,4958.75,30.0,49646.0,0.72793,0.830611,0.258182,0.473508,0.129756,1.0,0.831942,0.918771,0.200352,0.271999,0.321181,1.0,23.448,20.4,11.849172,21.28,2.96,40.24,0.99575,0.9999,0.013955,0.0013,0.9162,1.0,0.043857,0.01135,0.012374,-824.190064,-45.2317,-0.016385,-107.209986,4.4484,0.11629,6.25367,4.124742,-0.154192,463.078947,485.5,1.010365,-0.002062,-0.002274,-0.004545,-0.000896,0.0,0.0,6,9,8,3
TP07,BurstWindow,45,1,1,0,4,7,7,44,97.78,0.812973,1.0,0.267277,0.3859,0.1331,1.0,6852.325134,3322.70675,6771.767006,10390.441725,194.7767,22055.3012,225.832318,55.0,652.97976,46.9957,1.0,3464.9643,110.2271,0.0,418.988161,0.0,0.0,2399.854396,345.763158,362.5,100.734261,7.0,66.0,724.0,0.240375,0.240249,0.000804,0.000807,0.237986,0.241609,0.0,0.0,0.0,0.0,0.0,0.0,11.073447,3.845139,15.749445,13.147569,0.040278,68.934722,6664.631579,2768.5,10225.537581,4971.5,29.0,49633.0,0.729145,0.82043,0.254667,0.448378,0.115023,1.0,0.833022,0.91343,0.200419,0.26794,0.286972,1.0,23.443556,20.0,11.881261,21.56,2.92,39.64,0.995692,0.9997,0.014049,0.000675,0.9162,1.0,0.100441,0.07495,0.10957,1631.791627,360.86475,0.147683,-36.795636,0.02955,0.001423,42.412924,0.0,0.403836,-114.552632,-121.5,-0.251821,-0.260185,-0.259844,-0.519253,0.000214,0.0,0.0,1,5,4,10
TP08,HubTarget,45,0,0,0,27,7,7,45,100.0,0.613944,0.6845,0.25714,0.4082,0.0289,0.9691,5268.359911,3102.4519,4768.51347,7707.7229,201.6531,16319.9464,511.015482,215.2672,977.565938,302.2528,0.5011,5120.427,257.846793,105.074227,480.904484,261.826804,0.0,2771.01134,923.657895,970.0,269.881872,0.0,161.0,1943.0,0.498551,0.498113,0.001915,0.0,0.4925,0.504028,10.183735,10.206186,0.063387,0.0,9.937888,10.206186,11.112262,3.892361,15.977762,13.376389,0.041667,68.952778,6670.473684,2802.5,10345.252971,5140.5,30.0,49646.0,0.724858,0.830611,0.262976,0.473508,0.129756,1.0,0.829702,0.918771,0.202682,0.271999,0.321181,1.0,23.448,20.4,11.849172,21.28,2.96,40.24,0.99575,0.9999,0.013955,0.0013,0.9162,1.0,-0.08918,-0.0783,-0.114445,162.978832,165.7618,0.059352,259.007373,112.2895,2.436432,195.892772,61.208247,-0.282652,463.342105,485.5,1.010365,-0.00201,-0.002274,-0.004545,-0.003196,0.0,0.0,8,10,10,5
TP09,Bimodal,45,1,1,0,30,7,7,44,97.78,0.565941,0.618,0.227171,0.39525,0.1028,0.9583,5771.355598,3859.4606,4708.83415,6882.068625,382.2228,14230.6595,879.062366,305.92075,2299.832144,424.4915,0.1625,15098.8125,398.585899,143.258331,898.044277,321.713071,0.0,5726.758503,551.368421,579.0,161.212743,9.75,96.0,1156.0,0.5011,0.501331,0.003054,0.003388,0.496042,0.510729,10.031305,10.017423,0.220911,0.308248,9.605489,10.416667,11.172387,3.853472,15.897838,13.279167,0.041667,68.969444,6719.131579,2774.5,10305.74261,5031.25,30.0,49658.0,0.730005,0.827754,0.255555,0.466275,0.11758,1.0,0.834506,0.921145,0.200233,0.258293,0.293403,1.0,23.425778,20.68,11.817766,21.4,3.0,40.28,0.995882,0.9998,0.013934,0.0012,0.9162,1.0,-0.146591,-0.1649,-0.214776,550.822091,522.84955,0.191702,616.434411,210.17585,3.15754,330.771723,98.869685,0.372033,91.052632,96.0,0.197531,0.00054,0.0,0.0,0.001737,0.0,0.0,9,11,11,11
TP10,Storm,45,1,1,0,9,7,7,44,97.78,0.383986,0.40425,0.285149,0.51595,0.0211,0.9643,1515.308909,1669.77275,523.159458,622.74115,231.1507,2229.4102,123.318607,53.92465,208.146934,93.1876,0.054,1321.6364,39.84729,22.448272,51.861311,37.751106,0.927944,213.482955,5863.526316,6160.0,1713.445217,20.5,1025.0,12322.0,0.499976,0.500203,0.001029,0.000972,0.496111,0.501806,9.928866,9.936692,0.078797,0.076504,9.718173,10.102157,11.200311,3.841667,16.015185,13.296181,0.041667,69.005556,6718.815789,2766.0,10329.007126,5106.5,30.0,49684.0,0.727472,0.821605,0.256165,0.46801,0.114916,1.0,0.832365,0.915534,0.200214,0.266443,0.288194,1.0,23.493333,19.92,11.892451,21.4,2.92,40.48,0.9958,0.9998,0.013919,0.0015,0.9162,1.0,-0.328545,-0.3049,-0.521121,-3705.224598,-1858.31655,-0.500269,-139.309348,1.45285,0.033185,-27.966885,10.285107,-0.919637,5403.210526,5676.0,11.747424,-0.000585,-0.000428,-0.000856,-0.000461,0.0,0.0,11,4,9,2
