scenario_name,scenario_base,traffic_profile_id,sim_end_time_s,traffic_gen_start_s,traffic_gen_end_s,traffic_gen_fraction,traffic_gen_note,Group.msgTtl_minutes,msg_ttl_seconds,Report.warmup_s
U1_CBD_Commuting_HelsinkiMedium__TP01_Baseline,U1_CBD_Commuting_HelsinkiMedium,TP01,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U1_CBD_Commuting_HelsinkiMedium__TP02_LowLoad,U1_CBD_Commuting_HelsinkiMedium,TP02,43200,0.0,43200.0,1.0,full_simulation,21600,1296000,0
U1_CBD_Commuting_HelsinkiMedium__TP03_ManySmall,U1_CBD_Commuting_HelsinkiMedium,TP03,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge,U1_CBD_Commuting_HelsinkiMedium,TP04,43200,0.0,43200.0,1.0,full_simulation,14400,864000,0
U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL,U1_CBD_Commuting_HelsinkiMedium,TP05,43200,0.0,43200.0,1.0,full_simulation,5,300,0
U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany,U1_CBD_Commuting_HelsinkiMedium,TP06,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U1_CBD_Commuting_HelsinkiMedium__TP07_BurstWindow,U1_CBD_Commuting_HelsinkiMedium,TP07,43200,8640,12096,0.08,burst_only,7200,432000,0
U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget,U1_CBD_Commuting_HelsinkiMedium,TP08,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal,U1_CBD_Commuting_HelsinkiMedium,TP09,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U1_CBD_Commuting_HelsinkiMedium__TP10_Storm,U1_CBD_Commuting_HelsinkiMedium,TP10,43200,0.0,43200.0,1.0,full_simulation,60,3600,0
U1_CBD_Commuting_HelsinkiMedium__TP11_ManyToOne,U1_CBD_Commuting_HelsinkiMedium,TP11,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U1_CBD_Commuting_HelsinkiMedium__TP12_GroupToGroup,U1_CBD_Commuting_HelsinkiMedium,TP12,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U2_SparseSuburb_Manhattan__TP01_Baseline,U2_SparseSuburb_Manhattan,TP01,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U2_SparseSuburb_Manhattan__TP02_LowLoad,U2_SparseSuburb_Manhattan,TP02,43200,0.0,43200.0,1.0,full_simulation,21600,1296000,0
U2_SparseSuburb_Manhattan__TP03_ManySmall,U2_SparseSuburb_Manhattan,TP03,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U2_SparseSuburb_Manhattan__TP04_FewLarge,U2_SparseSuburb_Manhattan,TP04,43200,0.0,43200.0,1.0,full_simulation,14400,864000,0
U2_SparseSuburb_Manhattan__TP05_CriticalTTL,U2_SparseSuburb_Manhattan,TP05,43200,0.0,43200.0,1.0,full_simulation,5,300,0
U2_SparseSuburb_Manhattan__TP06_OneToMany,U2_SparseSuburb_Manhattan,TP06,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U2_SparseSuburb_Manhattan__TP07_BurstWindow,U2_SparseSuburb_Manhattan,TP07,43200,8640,12096,0.08,burst_only,7200,432000,0
U2_SparseSuburb_Manhattan__TP08_HubTarget,U2_SparseSuburb_Manhattan,TP08,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U2_SparseSuburb_Manhattan__TP09_Bimodal,U2_SparseSuburb_Manhattan,TP09,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U2_SparseSuburb_Manhattan__TP10_Storm,U2_SparseSuburb_Manhattan,TP10,43200,0.0,43200.0,1.0,full_simulation,60,3600,0
U2_SparseSuburb_Manhattan__TP11_ManyToOne,U2_SparseSuburb_Manhattan,TP11,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U2_SparseSuburb_Manhattan__TP12_GroupToGroup,U2_SparseSuburb_Manhattan,TP12,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U3_MicroMobility_HelsinkiMedium__TP01_Baseline,U3_MicroMobility_HelsinkiMedium,TP01,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U3_MicroMobility_HelsinkiMedium__TP02_LowLoad,U3_MicroMobility_HelsinkiMedium,TP02,43200,0.0,43200.0,1.0,full_simulation,21600,1296000,0
