scenario,base_scenario,traffic_profile,end_time,first_contact_time,last_contact_time,total_encounters,contact_time_per_min,ratio_contact_nodes,pct_nodes_ever_contacted,time_to_50pct_contact_nodes,time_to_80pct_contact_nodes,time_to_90pct_contact_nodes,first_contact_time_median,pair_coverage_final_pct,time_to_90pct_pair_coverage,useful_time_recommendation,useful_time_ratio,tail_time_ratio,classification,data_source,spatial_data_available
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline,U1_CBD_Commuting_HelsinkiDowntown,TP01,43200.0,0.1,43175.8,5269.0,7.3181,0.6968,88.89,643.0,1968.9,nan,533.05,54.97,34755.0,43175.8,0.9994,0.0006,sufficient_activity,ConnectivityONEReport,no
U1_CBD_Commuting_HelsinkiDowntown__TP02_LowLoad,U1_CBD_Commuting_HelsinkiDowntown,TP02,43200.0,0.1,43124.7,5109.0,7.0958,0.707,87.65,643.0,1968.9,nan,483.3,54.23,34710.5,43124.7,0.9983,0.0017,sufficient_activity,ConnectivityONEReport,no
U1_CBD_Commuting_HelsinkiDowntown__TP03_ManySmall,U1_CBD_Commuting_HelsinkiDowntown,TP03,43200.0,0.1,42955.0,5103.0,7.0875,0.7115,87.65,643.0,1968.9,nan,483.3,54.57,34294.6,42955.0,0.9943,0.0057,sufficient_activity,ConnectivityONEReport,no
U1_CBD_Commuting_HelsinkiDowntown__TP04_FewLarge,U1_CBD_Commuting_HelsinkiDowntown,TP04,43200.0,0.1,43124.7,5109.0,7.0958,0.707,87.65,643.0,1968.9,nan,483.3,54.23,34710.5,43124.7,0.9983,0.0017,sufficient_activity,ConnectivityONEReport,no
U1_CBD_Commuting_HelsinkiDowntown__TP05_CriticalTTL,U1_CBD_Commuting_HelsinkiDowntown,TP05,43200.0,0.1,43175.8,5269.0,7.3181,0.6968,88.89,643.0,1968.9,nan,533.05,54.97,34755.0,43175.8,0.9994,0.0006,sufficient_activity,ConnectivityONEReport,no
U1_CBD_Commuting_HelsinkiDowntown__TP06_OneToMany,U1_CBD_Commuting_HelsinkiDowntown,TP06,43200.0,0.1,43004.8,4970.0,6.9028,0.7062,87.65,643.0,1968.9,nan,483.3,54.17,34504.9,43004.8,0.9955,0.0045,sufficient_activity,ConnectivityONEReport,no
U1_CBD_Commuting_HelsinkiDowntown__TP07_BurstWindow,U1_CBD_Commuting_HelsinkiDowntown,TP07,43200.0,0.1,43102.7,4922.0,6.8361,0.6644,90.12,643.0,1968.9,34289.0,582.8,53.89,34653.9,43102.7,0.9977,0.0023,sufficient_activity,ConnectivityONEReport,no
U1_CBD_Commuting_HelsinkiDowntown__TP08_HubTarget,U1_CBD_Commuting_HelsinkiDowntown,TP08,43200.0,0.1,43004.8,4970.0,6.9028,0.7062,87.65,643.0,1968.9,nan,483.3,54.17,34504.9,43004.8,0.9955,0.0045,sufficient_activity,ConnectivityONEReport,no
U1_CBD_Commuting_HelsinkiDowntown__TP09_Bimodal,U1_CBD_Commuting_HelsinkiDowntown,TP09,43200.0,0.1,43199.9,5144.0,7.1444,0.7131,87.65,643.0,1968.9,nan,483.3,54.69,34628.3,43199.9,1.0,0.0,sufficient_activity,ConnectivityONEReport,no
U1_CBD_Commuting_HelsinkiDowntown__TP10_Storm,U1_CBD_Commuting_HelsinkiDowntown,TP10,43200.0,0.1,42977.8,5237.0,7.2736,0.6917,88.89,643.0,1968.9,nan,533.05,54.57,34813.1,42977.8,0.9949,0.0051,sufficient_activity,ConnectivityONEReport,no
