page,broken_links_count,broken_links,references_corpus_v2,references_corpus_v3,references_720,status,recommended_action,canonical_source_reports,notes
.wiki-clone/01-Research-Goal.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/02-Corpus-Overview.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/03-Base-Scenarios.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/04-Scenario-Families.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/05-Traffic-Profiles.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/06-Feature-Space.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/07-Diversity-Validation.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/08-Output-Metrics.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/09-Spatial-Occupancy.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/10-Message-Creation-Time.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/11-Simulation-Time-Policy.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/12-Message-Analysis-Window.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/13-Benchmark-Protocol-Comparison.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/14-Dashboard-and-Reproducibility.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/15-Paper-Freeze-Checklist.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/CHANGELOG.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/Glossary.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/Home.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/README.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
.wiki-clone/References.md,0,,False,False,False,OK,none,analysis/reports/canonical/* + RESULTADOS_ACTUALES.md,
