# Escenarios a diversificar (aparecen en pares con |r| >= 0.7)
# Generado por run_analysis.py --phase correlation. Total: 540 escenarios.
# Criterio: trabajar en estos para que su vector de features difiera del resto y baje |r|.

D3_Aftershock_ErraticMobility__TP08_HubTarget  (# pares con |r|>=0.7: 34)
D3_Aftershock_ErraticMobility__TP11_ManyToOne  (# pares con |r|>=0.7: 34)
D3_Aftershock_ErraticMobility__TP06_OneToMany  (# pares con |r|>=0.7: 34)
D3_Aftershock_ErraticMobility__TP12_GroupToGroup  (# pares con |r|>=0.7: 32)
C1_Campus_ClassChange__TP11_ManyToOne  (# pares con |r|>=0.7: 31)
C1_Campus_ClassChange__TP12_GroupToGroup  (# pares con |r|>=0.7: 31)
C1_Campus_ClassChange__TP08_HubTarget  (# pares con |r|>=0.7: 31)
C1_Campus_ClassChange__TP06_OneToMany  (# pares con |r|>=0.7: 31)
S3_PeriodicMeetings_RegularRhythm__TP08_HubTarget  (# pares con |r|>=0.7: 27)
S3_PeriodicMeetings_RegularRhythm__TP12_GroupToGroup  (# pares con |r|>=0.7: 27)
S3_PeriodicMeetings_RegularRhythm__TP06_OneToMany  (# pares con |r|>=0.7: 27)
S3_PeriodicMeetings_RegularRhythm__TP11_ManyToOne  (# pares con |r|>=0.7: 27)
C2_ExamDay_LongStays__TP11_ManyToOne  (# pares con |r|>=0.7: 23)
C2_ExamDay_LongStays__TP06_OneToMany  (# pares con |r|>=0.7: 23)
R10_TinyRange_5m__TP11_ManyToOne  (# pares con |r|>=0.7: 23)
U4_CongestionHotspot_HelsinkiDowntown__TP08_HubTarget  (# pares con |r|>=0.7: 23)
R1_Rural_SparseSPMM__TP06_OneToMany  (# pares con |r|>=0.7: 23)
R11_SpeedExtremeLow__TP06_OneToMany  (# pares con |r|>=0.7: 23)
C2_ExamDay_LongStays__TP08_HubTarget  (# pares con |r|>=0.7: 23)
U4_CongestionHotspot_HelsinkiDowntown__TP06_OneToMany  (# pares con |r|>=0.7: 23)
R10_TinyRange_5m__TP08_HubTarget  (# pares con |r|>=0.7: 23)
R1_Rural_SparseSPMM__TP12_GroupToGroup  (# pares con |r|>=0.7: 23)
R10_TinyRange_5m__TP06_OneToMany  (# pares con |r|>=0.7: 23)
C2_ExamDay_LongStays__TP12_GroupToGroup  (# pares con |r|>=0.7: 23)
U4_CongestionHotspot_HelsinkiDowntown__TP11_ManyToOne  (# pares con |r|>=0.7: 23)
R11_SpeedExtremeLow__TP12_GroupToGroup  (# pares con |r|>=0.7: 23)
R1_Rural_SparseSPMM__TP11_ManyToOne  (# pares con |r|>=0.7: 23)
R11_SpeedExtremeLow__TP11_ManyToOne  (# pares con |r|>=0.7: 23)
R1_Rural_SparseSPMM__TP08_HubTarget  (# pares con |r|>=0.7: 23)
R10_TinyRange_5m__TP12_GroupToGroup  (# pares con |r|>=0.7: 23)
R11_SpeedExtremeLow__TP08_HubTarget  (# pares con |r|>=0.7: 23)
R3_WildlifeTracking__TP06_OneToMany  (# pares con |r|>=0.7: 22)
R3_WildlifeTracking__TP11_ManyToOne  (# pares con |r|>=0.7: 22)
R10_TinyRange_5m__TP01_Baseline  (# pares con |r|>=0.7: 22)
R3_WildlifeTracking__TP08_HubTarget  (# pares con |r|>=0.7: 22)
R3_WildlifeTracking__TP12_GroupToGroup  (# pares con |r|>=0.7: 20)
V1_TaxiLow_ManhattanMidtownGrid__TP01_Baseline  (# pares con |r|>=0.7: 20)
V1_TaxiLow_ManhattanMidtownGrid__TP03_ManySmall  (# pares con |r|>=0.7: 20)
U4_CongestionHotspot_HelsinkiDowntown__TP12_GroupToGroup  (# pares con |r|>=0.7: 20)
U4_CongestionHotspot_HelsinkiDowntown__TP10_Storm  (# pares con |r|>=0.7: 20)
