# Escenarios a diversificar (core 23) — aparecen en pares con |r| >= 0.7 en espacio de 23 features
# Referencia para investigación. Total: 540 escenarios.

U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP01_Baseline  (# pares |r|>=0.7 en core23: 52)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP03_ManySmall  (# pares |r|>=0.7 en core23: 51)
U1_CBD_Commuting_HelsinkiDowntown__TP01_Baseline  (# pares |r|>=0.7 en core23: 51)
U7_HighTimeVariance_HelsinkiDowntown__TP01_Baseline  (# pares |r|>=0.7 en core23: 49)
U4_CongestionHotspot_HelsinkiDowntown__TP01_Baseline  (# pares |r|>=0.7 en core23: 48)
U1_CBD_Commuting_HelsinkiDowntown__TP03_ManySmall  (# pares |r|>=0.7 en core23: 47)
U1_CBD_Commuting_HelsinkiDowntown__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 46)
U2_SparseSuburb_HelsinkiDowntown__TP01_Baseline  (# pares |r|>=0.7 en core23: 46)
U7_HighTimeVariance_HelsinkiDowntown__TP03_ManySmall  (# pares |r|>=0.7 en core23: 46)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 45)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 45)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP08_HubTarget  (# pares |r|>=0.7 en core23: 45)
U6_OfficeWaitHeavyTail_HelsinkiDowntown__TP06_OneToMany  (# pares |r|>=0.7 en core23: 45)
U4_CongestionHotspot_HelsinkiDowntown__TP03_ManySmall  (# pares |r|>=0.7 en core23: 44)
U2_SparseSuburb_HelsinkiDowntown__TP08_HubTarget  (# pares |r|>=0.7 en core23: 43)
U7_HighTimeVariance_HelsinkiDowntown__TP08_HubTarget  (# pares |r|>=0.7 en core23: 43)
U1_CBD_Commuting_HelsinkiDowntown__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 43)
