# Escenarios a diversificar (core 23) — aparecen en pares con |r| >= 0.7 en espacio de 23 features
# Referencia para investigación. Total: 719 escenarios.

S4_RandomMixing_NoHotspots__TP08_HubTarget  (# pares |r|>=0.7 en core23: 94)
S4_RandomMixing_NoHotspots__TP06_OneToMany  (# pares |r|>=0.7 en core23: 93)
S4_RandomMixing_NoHotspots__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 93)
T3_MixedBimodal_SmallAndLarge__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 91)
T2_FewHugeMsgs_LowRate__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 91)
D6_ShortTtlCritical_5to10min__TP06_OneToMany  (# pares |r|>=0.7 en core23: 91)
D6_ShortTtlCritical_5to10min__TP08_HubTarget  (# pares |r|>=0.7 en core23: 91)
D6_ShortTtlCritical_5to10min__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 91)
T7_TargetedToHubs_FewDestinations__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 91)
D6_ShortTtlCritical_5to10min__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 91)
S4_RandomMixing_NoHotspots__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 91)
T2_FewHugeMsgs_LowRate__TP08_HubTarget  (# pares |r|>=0.7 en core23: 90)
T7_TargetedToHubs_FewDestinations__TP08_HubTarget  (# pares |r|>=0.7 en core23: 90)
T3_MixedBimodal_SmallAndLarge__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 90)
T3_MixedBimodal_SmallAndLarge__TP06_OneToMany  (# pares |r|>=0.7 en core23: 90)
T7_TargetedToHubs_FewDestinations__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 90)
T2_FewHugeMsgs_LowRate__TP06_OneToMany  (# pares |r|>=0.7 en core23: 90)
T7_TargetedToHubs_FewDestinations__TP06_OneToMany  (# pares |r|>=0.7 en core23: 90)
T2_FewHugeMsgs_LowRate__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 90)
T3_MixedBimodal_SmallAndLarge__TP08_HubTarget  (# pares |r|>=0.7 en core23: 90)
S3_PeriodicMeetings_RegularRhythm__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 87)
S3_PeriodicMeetings_RegularRhythm__TP06_OneToMany  (# pares |r|>=0.7 en core23: 87)
S3_PeriodicMeetings_RegularRhythm__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 87)
S3_PeriodicMeetings_RegularRhythm__TP08_HubTarget  (# pares |r|>=0.7 en core23: 87)
V4_CarOwnership_0_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 85)
D4_MedicalTriage_TwoClasses__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 83)
R8_IntermittentPower__TP08_HubTarget  (# pares |r|>=0.7 en core23: 82)
R8_IntermittentPower__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 82)
T1_ManySmallMsgs_HighRate__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 82)
R8_IntermittentPower__TP06_OneToMany  (# pares |r|>=0.7 en core23: 82)
T1_ManySmallMsgs_HighRate__TP06_OneToMany  (# pares |r|>=0.7 en core23: 82)
D4_MedicalTriage_TwoClasses__TP06_OneToMany  (# pares |r|>=0.7 en core23: 82)
D4_MedicalTriage_TwoClasses__TP08_HubTarget  (# pares |r|>=0.7 en core23: 82)
D4_MedicalTriage_TwoClasses__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 82)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 81)
T9_BufferStress_SmallBufferHighTraffic__TP06_OneToMany  (# pares |r|>=0.7 en core23: 80)
T9_BufferStress_SmallBufferHighTraffic__TP08_HubTarget  (# pares |r|>=0.7 en core23: 80)
V4_CarOwnership_0_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 80)
T9_BufferStress_SmallBufferHighTraffic__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 80)
R8_IntermittentPower__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 79)
T4_VeryShortTtl_5to10min__TP08_HubTarget  (# pares |r|>=0.7 en core23: 79)
T4_VeryShortTtl_5to10min__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 79)
T4_VeryShortTtl_5to10min__TP06_OneToMany  (# pares |r|>=0.7 en core23: 79)
T1_ManySmallMsgs_HighRate__TP08_HubTarget  (# pares |r|>=0.7 en core23: 79)
U1_CBD_Commuting_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 79)
R10_TinyRange_5m__TP06_OneToMany  (# pares |r|>=0.7 en core23: 78)
C1_Campus_ClassChange__TP06_OneToMany  (# pares |r|>=0.7 en core23: 78)
C1_Campus_ClassChange__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 78)
R10_TinyRange_5m__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 78)
T5_VeryLongTtl_6to24h__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 78)
T5_VeryLongTtl_6to24h__TP08_HubTarget  (# pares |r|>=0.7 en core23: 78)
T5_VeryLongTtl_6to24h__TP06_OneToMany  (# pares |r|>=0.7 en core23: 78)
C1_Campus_ClassChange__TP08_HubTarget  (# pares |r|>=0.7 en core23: 78)
R10_TinyRange_5m__TP08_HubTarget  (# pares |r|>=0.7 en core23: 78)
U4_CongestionHotspot_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 77)
D7_HighLoad_TrafficStorm__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 77)
D7_HighLoad_TrafficStorm__TP06_OneToMany  (# pares |r|>=0.7 en core23: 77)
D7_HighLoad_TrafficStorm__TP08_HubTarget  (# pares |r|>=0.7 en core23: 77)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 77)
V4_CarOwnership_0_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 77)
T4_VeryShortTtl_5to10min__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 76)
T1_ManySmallMsgs_HighRate__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 76)
U1_CBD_Commuting_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 76)
U7_HighTimeVariance_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 76)
T6_UniformSources_RandomFromTo__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 75)
D3_Aftershock_ErraticMobility__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 75)
D3_Aftershock_ErraticMobility__TP08_HubTarget  (# pares |r|>=0.7 en core23: 75)
D3_Aftershock_ErraticMobility__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 75)
T6_UniformSources_RandomFromTo__TP06_OneToMany  (# pares |r|>=0.7 en core23: 75)
C1_Campus_ClassChange__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 75)
V4_CarOwnership_0_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 75)
T6_UniformSources_RandomFromTo__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 75)
T5_VeryLongTtl_6to24h__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 75)
T6_UniformSources_RandomFromTo__TP08_HubTarget  (# pares |r|>=0.7 en core23: 75)
D3_Aftershock_ErraticMobility__TP06_OneToMany  (# pares |r|>=0.7 en core23: 75)
U7_HighTimeVariance_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 74)
U4_CongestionHotspot_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 74)
R10_TinyRange_5m__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 73)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 73)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 72)
D7_HighLoad_TrafficStorm__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 71)
T9_BufferStress_SmallBufferHighTraffic__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 69)
T8_BurstTraffic_TimeWindows__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 68)
T8_BurstTraffic_TimeWindows__TP06_OneToMany  (# pares |r|>=0.7 en core23: 68)
T8_BurstTraffic_TimeWindows__TP08_HubTarget  (# pares |r|>=0.7 en core23: 68)
U1_CBD_Commuting_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 67)
U7_HighTimeVariance_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 67)
U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 67)
U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 67)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 67)
U4_CongestionHotspot_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 67)
U4_CongestionHotspot_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 67)
U4_CongestionHotspot_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 67)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 67)
U1_CBD_Commuting_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 67)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 67)
U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 67)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 67)
U1_CBD_Commuting_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 67)
U4_CongestionHotspot_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 67)
