family,scenario_base,settings_file,source_tp_template,n_hosts,map_profile,movement_models,world_size,Scenario.endTime,notes
01_urban,U1_CBD_Commuting_HelsinkiDowntown,scenarios/base_scenarios/01_urban/U1_CBD_Commuting_HelsinkiDowntown.settings,TP01_Baseline,81,HelsinkiDowntown,BusMovement|WorkingDayMovement,"1713, 1459",43200,structural base; traffic block is scenario-specific (not TP overlay)
01_urban,U2_SparseUrban_HelsinkiDowntown,scenarios/base_scenarios/01_urban/U2_SparseUrban_HelsinkiDowntown.settings,TP01_Baseline,36,HelsinkiDowntown,BusMovement|WorkingDayMovement,"1713, 1459",43200,structural base; traffic block is scenario-specific (not TP overlay)
01_urban,U3_MicroMobility_HelsinkiDowntown,scenarios/base_scenarios/01_urban/U3_MicroMobility_HelsinkiDowntown.settings,TP01_Baseline,151,HelsinkiDowntown,BusMovement|WorkingDayMovement,"1713, 1459",43200,structural base; traffic block is scenario-specific (not TP overlay)
01_urban,U4_CongestionHotspot_HelsinkiDowntown,scenarios/base_scenarios/01_urban/U4_CongestionHotspot_HelsinkiDowntown.settings,TP01_Baseline,81,HelsinkiDowntown,BusMovement|WorkingDayMovement,"1713, 1459",43200,structural base; traffic block is scenario-specific (not TP overlay)
01_urban,U5_WorkdayShort_HelsinkiDowntown,scenarios/base_scenarios/01_urban/U5_WorkdayShort_HelsinkiDowntown.settings,TP01_Baseline,81,HelsinkiDowntown,BusMovement|WorkingDayMovement,"1713, 1459",43200,structural base; traffic block is scenario-specific (not TP overlay)
01_urban,U6_OfficeWaitHeavyTail_HelsinkiDowntown,scenarios/base_scenarios/01_urban/U6_OfficeWaitHeavyTail_HelsinkiDowntown.settings,TP01_Baseline,81,HelsinkiDowntown,BusMovement|WorkingDayMovement,"1713, 1459",43200,structural base; traffic block is scenario-specific (not TP overlay)
01_urban,U7_HighTimeVariance_HelsinkiDowntown,scenarios/base_scenarios/01_urban/U7_HighTimeVariance_HelsinkiDowntown.settings,TP01_Baseline,81,HelsinkiDowntown,BusMovement|WorkingDayMovement,"1713, 1459",43200,structural base; traffic block is scenario-specific (not TP overlay)
02_campus,C1_Campus_ClassChange,scenarios/base_scenarios/02_campus/C1_Campus_ClassChange.settings,TP01_Baseline,60,KumpulaCampus,ShortestPathMapBasedMovement,"1148, 1036",43200,structural base; traffic block is scenario-specific (not TP overlay)
02_campus,C2_ExamDay_LongStays,scenarios/base_scenarios/02_campus/C2_ExamDay_LongStays.settings,TP01_Baseline,48,KumpulaCampus,ShortestPathMapBasedMovement,"1148, 1036",43200,structural base; traffic block is scenario-specific (not TP overlay)
02_campus,C3_Hackathon_24h,scenarios/base_scenarios/02_campus/C3_Hackathon_24h.settings,TP01_Baseline,40,KumpulaCampus,ShortestPathMapBasedMovement,"1148, 1036",86400,structural base; traffic block is scenario-specific (not TP overlay)
02_campus,C4_CampusEvent_IngressEgress,scenarios/base_scenarios/02_campus/C4_CampusEvent_IngressEgress.settings,TP01_Baseline,80,KumpulaCampus,ShortestPathMapBasedMovement,"1148, 1036",10800,structural base; traffic block is scenario-specific (not TP overlay)
02_campus,C5_Library_Quiet,scenarios/base_scenarios/02_campus/C5_Library_Quiet.settings,TP01_Baseline,42,KumpulaCampus,ShortestPathMapBasedMovement,"1148, 1036",43200,structural base; traffic block is scenario-specific (not TP overlay)
02_campus,C6_EmergencyDrill_Evacuation,scenarios/base_scenarios/02_campus/C6_EmergencyDrill_Evacuation.settings,TP01_Baseline,80,KumpulaCampus,ShortestPathMapBasedMovement,"1148, 1036",7200,structural base; traffic block is scenario-specific (not TP overlay)
03_vehicles,V1_TaxiLow_ManhattanMidtownGridMidtownGrid,scenarios/base_scenarios/03_vehicles/V1_TaxiLow_ManhattanMidtownGrid.settings,TP01_Baseline,5,ManhattanMidtownGrid,MapRouteMovement,"2120, 1986",43200,structural base; traffic block is scenario-specific (not TP overlay)
03_vehicles,V2_TaxiHigh_ManhattanMidtownGridMidtownGrid,scenarios/base_scenarios/03_vehicles/V2_TaxiHigh_ManhattanMidtownGrid.settings,TP01_Baseline,26,ManhattanMidtownGrid,MapRouteMovement,"2120, 1986",43200,structural base; traffic block is scenario-specific (not TP overlay)
03_vehicles,V3_BusOnlyCarriers_ManhattanMidtownGridMidtownGrid,scenarios/base_scenarios/03_vehicles/V3_BusOnlyCarriers_ManhattanMidtownGrid.settings,TP01_Baseline,9,ManhattanMidtownGrid,BusMovement,"2120, 1986",43200,structural base; traffic block is scenario-specific (not TP overlay)
03_vehicles,V4_CarOwnership_0_ManhattanMidtownGridMidtownGrid,scenarios/base_scenarios/03_vehicles/V4_CarOwnership_0_ManhattanMidtownGrid.settings,TP01_Baseline,81,ManhattanMidtownGrid,BusMovement|WorkingDayMovement,"2120, 1986",43200,structural base; traffic block is scenario-specific (not TP overlay)
03_vehicles,V5_CarOwnership_100_ManhattanMidtownGridMidtownGrid,scenarios/base_scenarios/03_vehicles/V5_CarOwnership_100_ManhattanMidtownGrid.settings,TP01_Baseline,82,ManhattanMidtownGrid,BusMovement|WorkingDayMovement,"2120, 1986",43200,structural base; traffic block is scenario-specific (not TP overlay)
04_rural,R10_TinyRange_5m,scenarios/base_scenarios/04_rural/R10_TinyRange_5m.settings,TP01_Baseline,32,NuuksioSparseTrails,ShortestPathMapBasedMovement,"2470, 2565",43200,structural base; traffic block is scenario-specific (not TP overlay)
