family,scenario_base,scenario_name,traffic_profile_id,traffic_profile_name,settings_file,n_hosts,Scenario.endTime,Group.msgTtl_minutes,Events.nrof,Events1.interval,Events1.size,note
01_urban,U1_CBD_Commuting_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium__TP01_Baseline,TP01,Baseline,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP01_Baseline.settings,81,43200,7200,1,"60, 120","50k, 150k",
01_urban,U1_CBD_Commuting_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium__TP02_LowLoad,TP02,LowLoad,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP02_LowLoad.settings,81,43200,21600,1,"300, 600","10k, 100k",
01_urban,U1_CBD_Commuting_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium__TP03_ManySmall,TP03,ManySmall,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP03_ManySmall.settings,81,43200,7200,1,"10, 30","1k, 10k",
01_urban,U1_CBD_Commuting_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge,TP04,FewLarge,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP04_FewLarge.settings,81,43200,14400,1,"180, 300","1M, 5M",
01_urban,U1_CBD_Commuting_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL,TP05,CriticalTTL,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL.settings,81,43200,5,1,"60, 120","10k, 100k",
01_urban,U1_CBD_Commuting_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany,TP06,OneToMany,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany.settings,81,43200,7200,1,"30, 60","10k, 100k",
01_urban,U1_CBD_Commuting_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium__TP07_BurstWindow,TP07,BurstWindow,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP07_BurstWindow.settings,81,43200,7200,1,"5, 15",,
01_urban,U1_CBD_Commuting_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget,TP08,HubTarget,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget.settings,81,43200,7200,1,"30, 60",,
01_urban,U1_CBD_Commuting_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal,TP09,Bimodal,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP09_Bimodal.settings,81,43200,7200,2,,,
01_urban,U1_CBD_Commuting_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium__TP10_Storm,TP10,Storm,scenarios/corpus_v2/01_urban/U1_CBD_Commuting_HelsinkiMedium__TP10_Storm.settings,81,43200,60,1,"5, 10","100k, 500k",
